Lat	Lon	MeanDateLeaf
52.1800	-10.2500	 106.3
52.0100	-10.0900	 105.7
52.1800	-10.0900	 105.1
52.3400	-10.0900	 115.5
51.8400	-9.9200	 107.7
52.0100	-9.9200	 109.7
52.1800	-9.9200	 111.0
52.3400	-9.9200	 114.2
53.5100	-9.9200	 106.1
53.6700	-9.9200	 108.8
54.0000	-9.9200	 112.6
54.3400	-9.9200	 108.8
51.8400	-9.7600	 108.0
52.0100	-9.7600	 115.7
52.1800	-9.7600	 106.6
52.3400	-9.7600	 114.0
53.5100	-9.7600	 109.7
53.6700	-9.7600	 115.8
53.8400	-9.7600	 110.5
54.0000	-9.7600	 114.4
54.1700	-9.7600	 109.7
54.3400	-9.7600	 110.6
51.6800	-9.5900	 103.6
51.8400	-9.5900	 112.9
52.0100	-9.5900	 116.9
52.1800	-9.5900	 108.5
52.3400	-9.5900	 109.9
52.5100	-9.5900	 106.1
52.6700	-9.5900	 105.4
53.5100	-9.5900	 112.2
53.6700	-9.5900	 121.1
53.8400	-9.5900	 117.1
54.0000	-9.5900	 116.2
54.1700	-9.5900	 115.1
54.3400	-9.5900	 113.6
51.6800	-9.4200	 104.6
51.8400	-9.4200	 111.0
52.0100	-9.4200	 112.2
52.1800	-9.4200	 108.3
52.3400	-9.4200	 108.3
52.5100	-9.4200	 107.6
52.6700	-9.4200	 106.6
52.8400	-9.4200	 104.2
53.3400	-9.4200	 106.8
53.5100	-9.4200	 113.5
53.6700	-9.4200	 122.0
53.8400	-9.4200	 116.2
54.0000	-9.4200	 116.2
54.1700	-9.4200	 118.5
54.3400	-9.4200	 117.7
38.9000	-9.2600	  99.8
39.0600	-9.2600	 100.0
39.2300	-9.2600	 102.0
51.6800	-9.2600	 104.6
51.8400	-9.2600	 112.4
52.0100	-9.2600	 120.1
52.1800	-9.2600	 110.9
52.3400	-9.2600	 112.7
52.5100	-9.2600	 109.1
52.6700	-9.2600	 105.2
52.8400	-9.2600	 107.2
53.0100	-9.2600	 109.9
53.3400	-9.2600	 111.0
53.5100	-9.2600	 114.7
53.6700	-9.2600	 115.1
53.8400	-9.2600	 117.1
54.0000	-9.2600	 116.8
54.1700	-9.2600	 116.6
54.3400	-9.2600	 117.5
38.7300	-9.0900	 102.9
38.9000	-9.0900	 100.0
39.0600	-9.0900	  98.1
39.2300	-9.0900	 100.3
39.4000	-9.0900	 100.1
39.5600	-9.0900	 100.7
43.0500	-9.0900	  92.4
43.2100	-9.0900	  91.7
51.6800	-9.0900	 105.4
51.8400	-9.0900	 116.0
52.0100	-9.0900	 118.5
52.1800	-9.0900	 117.0
52.3400	-9.0900	 119.9
52.5100	-9.0900	 112.6
52.6700	-9.0900	 107.7
52.8400	-9.0900	 110.3
