min,max,complex,distance
34.81300354,49.26054764,Acer_pensylvanicum,14.4475441
25.54669615,49.40100208,Acer_rubrum,23.85430592
33.45682705,49.42209637,Acer_saccharum,15.96526932
19.44993691,47.92627364,Fagus_grandifolia,28.47633673
30.75609838,49.08564498,Quercus_rubra,18.3295466
34.77789189,49.95027107,Betula_alleghaniensis,15.17237918
33.19020384,48.70293416,Betula_lenta,15.51273031
35.02700154,68.50498075,Betula_papyrifera,33.47797921
34.4879303,60.06910324,Alnus_rubra,25.58117294
37.91426464,68.54483885,Alnus_incana,30.63057421
32.8271875,57.07546088,Corylus_cornuta,24.24827339
42.71046448,69.57937622,Picea_glauca,26.86891174
18.88322988,55.41713639,Pseudotsuga_menziesii,36.53390651
37.55469958,51.50689168,Fraxinus_nigra,13.9521921
34.80802084,62.31178877,Prunus_pensylvanica,27.50376793
35.13372354,49.99322279,Populus_grandidentata,14.85949924
