ID,Lat,Long,PSS,LMA,LA,LM,HV,LWC,Nmass,Delta13C,Wdens,RW10M,FO_tree,FO_branch,FW_mean,DBH,Height,Comp20,Martin1,Martin2,Martin3,Martin4,Martin5,Martin6,Martin7,Martin8,Martin9,Martin10,Martin11,Martin12,Martin13,Martin14,Martin15,Martin16,Martin17,Martin18,Martin19,Martin21,Martin22,Martin23,Martin24,Martin25,Martin26,Martin27,Martin28,Martin29,Martin30
257_2_68,213526.67,831649.46,47.5,103.88,114.56,1.19,11.66,0.5441,2.52,-26.28,0.7467,0.1178,3,4,0.65,16.14,1121,65,0.74869847,1.751463293,6.212277475,7.812942308,10.70486494,12.98606473,14.57264126,15.88423302,20.21265178,21.08524488,26.9289945,28.13785465,32.30784176,35.63205997,39.94697116,45.83948589,53.11621448,55.7275631,60.0184812,68.1796407,70.87706514,74.97472191,82.58433165,86.70678628,93.48719169,95.03921886,99.81671408,103.6023397,106.3501495
257_2_70,213529.11,831644.37,48,130.81,25.73,0.47,NA,0.5053,1.8,-26.77,NA,NA,1,1,0.15,16.93,1138,56.7,0,0,0.713266218,1.592940678,3.183072601,8.104828572,12.84206543,17.20808769,18.54950681,23.76190778,26.15908988,29.1930439,32.47769515,35.01642641,39.49041993,42.03416831,46.19609604,49.47385556,53.75907691,60.36283189,64.00259769,66.950373,70.87152478,73.40701228,77.12304961,82.72828194,87.19387798,92.69179394,95.09809488
257_2_71,213522.36,831645.51,49,117.8,52.63,0.62,33.7,0.554,1.96,-26.34,0.6928,0.6755,4,3,0.62,22.12,1401,47.2,0,0,1.115172137,1.115172137,2.216462938,2.791530708,5.16055777,6.176649146,9.401034607,11.86360498,17.74775736,20.05148144,24.58089125,29.44905296,31.90143344,34.24616163,35.4854134,39.82402005,42.48736817,50.80578122,54.67751925,56.63976633,60.20220494,63.62665947,68.24771452,70.90371591,72.81730076,74.16012873,76.50462353
257_2_72,213523.9,831644.04,33,NA,NA,NA,NA,NA,NA,NA,0.7792,0.1105,0,NA,NA,12.86,1127,70,1.086342682,1.086342682,3.704753623,4.580441281,4.580441281,6.351541244,10.01069896,13.76667178,19.9568306,21.82986111,28.37499615,34.95148458,42.55876491,46.88439134,50.46050741,55.21848869,56.44679163,60.90114528,63.85980497,75.36380035,82.64593746,85.91829602,89.25690097,93.17465005,97.84162307,101.5553153,105.4604149,109.0122719,111.5563846
257_2_73,213523.32,831641.28,37,102.1,95.98,0.98,6.52,0.5075,2.29,-26.21,0.6832,0.3373,1,0,0,15.92,1289,57.3,0,0.841405293,2.286349946,2.286349946,5.195819121,7.418576984,11.72817874,13.69513309,16.8353449,21.63995756,26.26745684,28.71237617,32.15767567,38.12814236,42.59487205,45.12708441,47.07791461,50.60603678,55.86060684,62.77657431,67.26088439,70.60104605,74.17787497,77.84608628,80.2436282,82.8221476,86.29275493,88.67941851,93.13463201
257_2_74,213516.35,831642.85,45,139.47,43.02,0.6,12.39,0.5313,2.1,-26.35,0.6659,0.1755,4,1,0.22,20.69,1168,47.6,0,0,0.849673785,0.849673785,3.420269084,4.083121832,7.485928894,10.29412185,11.92107417,13.29853089,15.88389864,16.26272982,20.32139439,21.9660422,28.60968963,31.52357193,35.01396915,36.14618093,39.59079881,51.25680242,52.47065765,54.33260947,57.39408394,60.47550475,63.1711903,63.93139193,67.89305555,70.48529136,72.07483502
257_2_75,213516.06,831647.41,44,110.27,52.86,0.85,37.79,0.5198,2.07,-26.63,0.6926,0.4083,2,2,0.39,17.35,1367,52.2,0,0,0,0,2.576665146,4.459223753,5.435871788,6.496948975,8.990200332,10.11312836,13.31255542,19.38007681,23.08056906,28.01706406,32.97965501,38.56434749,41.40017094,44.9421929,48.50844031,56.64641606,59.6209439,62.58987469,66.46512607,71.50191485,75.94983509,79.11303893,82.34183893,85.53729342,89.02016629
257_2_76,213510.9,831645.31,34,124.51,69.43,1.9,10.72,0.5202,1.87,-25.23,0.6899,0.3909,0,0,0,17.6,1312,44.7,0,0,1.245281739,3.47666856,3.47666856,5.156122026,5.156122026,7.527858278,12.31831335,13.09048958,13.09048958,16.27597826,18.39288963,24.94913469,28.60348498,31.31649012,34.40100311,36.45539167,40.36459055,48.46612684,51.23989627,51.75839923,55.92477478,59.35002764,63.64017177,68.12550426,73.03951695,74.82726096,77.11685278
257_2_77,213517.8,831634.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0726,1,NA,NA,11.46,1000,64.8,1.392874028,3.196177814,6.353300318,9.018736398,12.28420156,16.84658669,19.07779767,20.30723754,22.32552121,23.91041607,32.17884988,39.32175136,46.92256908,49.36727593,50.71343828,54.68637949,56.32891897,58.85282122,62.34410415,69.53127979,76.81049572,79.60875328,82.20254823,86.18005147,90.8330427,94.53672383,97.58028255,99.96751402,103.0850228
257_2_78,213519.87,831635.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10.73,NA,74.6,1.316036834,5.557622876,9.675422825,12.02605495,15.16034575,15.16034575,20.93600408,22.97803363,28.22886868,31.32645906,34.58082084,42.39290849,48.2818382,51.73313992,56.72332712,58.49605458,65.35224036,66.7652117,69.67476844,77.18438457,86.27407423,89.36434883,91.81036762,93.91882299,98.20212958,103.9554601,107.0647006,109.8525758,112.591231
