"datasetID","study","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","chilltemp","chilldays","fieldsample.date","provenance.lat","provenance.long","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports","latbi","complex","force.z","photo.z","chill.z","spps","phylo"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",22,949,"0","0","21-Jan-2015",42.531705,-72.18992,10,12,2.36041666666667,22,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",45.33333333,949,"0","0","21-Jan-2015",42.531705,-72.18992,10,12,2.36041666666667,45.33333333,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",20.83333333,949,"0","0","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,2.36041666666667,20.83333333,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",44.4,949,"0","0","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,2.36041666666667,44.4,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",16.8,949,"0","0","21-Jan-2015",42.531705,-72.18992,15,12,2.36041666666667,16.8,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",27,949,"0","0","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,2.36041666666667,27,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",68,949,"0","0","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,2.36041666666667,68,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",22.33333333,965,"0","0","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,2.38541666666667,22.33333333,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",43.16666667,965,"0","0","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,2.38541666666667,43.16666667,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",32,949,"0","0","21-Jan-2015",42.531705,-72.18992,15,12,2.36041666666667,32,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",19,965,"0","0","26-Jan-2015",45.932675,-74.02507,15,12,2.38541666666667,19,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",39,965,"0","0","26-Jan-2015",45.932675,-74.02507,15,12,2.38541666666667,39,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum"
"flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",31,965,"0","0","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,2.38541666666667,31,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum"
