"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,5.06593133237119,3.26529540269925,9.290625,20.5082522350378,19.8534621195414,19.1986720040451,18.5438818885487,17.8890917730523,17.2343016575559,16.5795115420596,15.9247214265632,52.9,12.8167
"bb.wintemp.1",1,6.06593133237119,4.26529540269925,10.2429166666667,19.3177789520072,18.6629888365108,18.0081987210144,17.353408605518,16.6986184900217,16.0438283745253,15.3890382590289,14.7342481435325,52.9,12.8167
"bb.wintemp.2",2,7.06593133237119,5.18555467678206,10.849375,18.5596368109216,17.9048466954252,17.2500565799288,16.5952664644324,15.9404763489361,15.2856862334397,14.6308961179433,13.976106002447,52.9,12.8167
"bb.wintemp.3",3,8.06593133237119,6.20532669039511,11.1902777777778,18.1334694262211,17.4786793107247,16.8238891952284,16.169099079732,15.5143089642356,14.8595188487392,14.2047287332429,13.5499386177465,52.9,12.8167
"bb.wintemp.4",4,9.06593133237119,7.23073097515665,11.2747916666667,18.0278174182397,17.3730273027434,16.718237187247,16.0634470717506,15.4086569562543,14.7538668407579,14.0990767252615,13.4442866097651,52.9,12.8167
"bb.wintemp.5",5,10.0659313323712,8.2498372251725,11.1944583333333,18.1282432545855,17.4734531390892,16.8186630235928,16.1638729080964,15.5090827926,14.8542926771037,14.1995025616073,13.5447124461109,52.9,12.8167
"bb.wintemp.6",6,11.0659313323712,9.27174962052529,10.9345833333333,18.453116668117,17.7983265526207,17.1435364371243,16.4887463216279,15.8339562061315,15.1791660906352,14.5243759751388,13.8695858596424,52.9,12.8167
"bb.wintemp.7",7,12.0659313323712,10.2535411791917,10.4880357142857,19.0113521632757,18.3565620477793,17.701771932283,17.0469818167866,16.3921917012902,15.7374015857938,15.0826114702975,14.4278213548011,52.9,12.8167
