"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,6.21523085958845,3.4798173551193,9.120625,19.9796606187906,19.3248705032943,18.6700803877979,18.0152902723015,17.3605001568051,16.7057100413088,16.0509199258124,15.396129810316,50.1667,10.6167
"bb.wintemp.1",1,7.21523085958845,4.4798173551193,10.0035416666667,18.8759140045959,18.2211238890996,17.5663337736032,16.9115436581068,16.2567535426104,15.6019634271141,14.9471733116177,14.2923831961213,50.1667,10.6167
"bb.wintemp.2",2,8.21523085958845,5.450032085832,10.5629166666667,18.1766314045222,17.5218412890258,16.8670511735294,16.212261058033,15.5574709425367,14.9026808270403,14.2478907115439,13.5931005960475,50.1667,10.6167
"bb.wintemp.3",3,9.21523085958845,6.4715806344542,10.8497916666667,17.8180049090653,17.1632147935689,16.5084246780726,15.8536345625762,15.1988444470798,14.5440543315834,13.8892642160871,13.2344741005907,50.1667,10.6167
"bb.wintemp.4",4,10.2152308595884,7.47940620600102,10.8976041666667,17.7582338264892,17.1034437109928,16.4486535954964,15.7938634800001,15.1390733645037,14.4842832490073,13.8294931335109,13.1747030180146,50.1667,10.6167
"bb.wintemp.5",5,11.2152308595884,8.48960720918341,10.8267083333333,17.8468617105879,17.1920715950915,16.5372814795952,15.8824913640988,15.2277012486024,14.572911133106,13.9181210176097,13.2633309021133,50.1667,10.6167
"bb.wintemp.6",6,12.2152308595884,9.51580692380729,10.5818402777778,18.1529747305904,17.498184615094,16.8433944995977,16.1886043841013,15.5338142686049,14.8790241531086,14.2242340376122,13.5694439221158,50.1667,10.6167
"bb.wintemp.7",7,13.2152308595884,10.4991072013151,10.1490178571429,18.6940521610652,18.0392620455688,17.3844719300724,16.7296818145761,16.0748916990797,15.4201015835833,14.7653114680869,14.1105213525906,50.1667,10.6167
