"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,6.64412056684255,3.86489236422856,9.37625,19.3685270784083,18.713736962912,18.0589468474156,17.4041567319192,16.7493666164228,16.0945765009265,15.4397863854301,14.7849962699337,48.5,15.75
"bb.wintemp.1",1,7.64412056684255,4.86489236422857,10.094375,18.4707888577549,17.8159987422586,17.1612086267622,16.5064185112658,15.8516283957694,15.1968382802731,14.5420481647767,13.8872580492803,48.5,15.75
"bb.wintemp.2",2,8.64412056684255,5.84826064511675,10.5485416666667,17.9030286833934,17.248238567897,16.5934484524006,15.9386583369042,15.2838682214079,14.6290781059115,13.9742879904151,13.3194978749187,48.5,15.75
"bb.wintemp.3",3,9.64412056684255,6.86756196732241,10.7288194444444,17.6776608832951,17.0228707677987,16.3680806523023,15.713290536806,15.0585004213096,14.4037103058132,13.7489201903168,13.0941300748205,48.5,15.75
"bb.wintemp.4",4,10.6441205668426,7.90393550518643,10.6569791666667,17.7674694307534,17.112679315257,16.4578891997606,15.8030990842642,15.1483089687679,14.4935188532715,13.8387287377751,13.1839386222787,48.5,15.75
"bb.wintemp.5",5,11.6441205668426,8.91365774138289,10.4395,18.0393432133295,17.3845530978332,16.7297629823368,16.0749728668404,15.420182751344,14.7653926358477,14.1106025203513,13.4558124048549,48.5,15.75
"bb.wintemp.6",6,12.6441205668426,9.93083564548559,10.09375,18.4715701790958,17.8167800635994,17.1619899481031,16.5071998326067,15.8524097171103,15.1976196016139,14.5428294861176,13.8880393706212,48.5,15.75
"bb.wintemp.7",7,13.6441205668426,10.9182168726731,9.56470238095238,19.1329400912486,18.4781499757522,17.8233598602559,17.1685697447595,16.5137796292631,15.8589895137667,15.2041993982704,14.549409282774,48.5,15.75
