"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,5.52570777514952,2.7506652653847,8.39583333333333,21.3049251804492,20.6501350649528,19.9953449494564,19.3405548339601,18.6857647184637,18.0309746029673,17.376184487471,16.7213943719746,48.0167,9.65
"bb.wintemp.1",1,6.52570777514952,3.7506652653847,9.3125,20.1589872138478,19.5041970983514,18.8494069828551,18.1946168673587,17.5398267518623,16.885036636366,16.2302465208696,15.5754564053732,48.0167,9.65
"bb.wintemp.2",2,7.52570777514952,4.73641203800375,9.86875,19.4636112204784,18.808821104982,18.1540309894856,17.4992408739892,16.8444507584929,16.1896606429965,15.5348705275001,14.8800804120037,48.0167,9.65
"bb.wintemp.3",3,8.52570777514952,5.76001583874289,10.2846527777778,18.9436852748741,18.2888951593778,17.6341050438814,16.979314928385,16.3245248128887,15.6697346973923,15.0149445818959,14.3601544663995,48.0167,9.65
"bb.wintemp.4",4,9.52570777514952,6.76896278634608,10.4573958333333,18.7277367376074,18.072946622111,17.4181565066147,16.7633663911183,16.1085762756219,15.4537861601255,14.7989960446292,14.1442059291328,48.0167,9.65
"bb.wintemp.5",5,10.5257077751495,7.77107152101859,10.5405,18.6238470433171,17.9690569278207,17.3142668123244,16.659476696828,16.0046865813316,15.3498964658353,14.6951063503389,14.0403162348425,48.0167,9.65
"bb.wintemp.6",6,11.5257077751495,8.79224608427991,10.4585069444444,18.7263477218903,18.0715576063939,17.4167674908976,16.7619773754012,16.1071872599048,15.4523971444084,14.7976070289121,14.1428169134157,48.0167,9.65
"bb.wintemp.7",7,12.5257077751495,9.78056663678525,10.2061607142857,19.0418093137459,18.3870191982495,17.7322290827532,17.0774389672568,16.4226488517604,15.767858736264,15.1130686207677,14.4582785052713,48.0167,9.65
