"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,5.80276440084952,4.21741906376328,10.7008333333333,18.2529657898939,17.5981756743975,16.9433855589012,16.2885954434048,15.6338053279084,14.979015212412,14.3242250969157,13.6694349814193,52.0667,9.58333
"bb.wintemp.1",1,6.80276440084952,5.21741906376328,11.3422916666667,17.4510696537199,16.7962795382235,16.1414894227272,15.4866993072308,14.8319091917344,14.177119076238,13.5223289607417,12.8675388452453,52.0667,9.58333
"bb.wintemp.2",2,7.80276440084952,6.1498055969647,11.7051041666667,16.997512615348,16.3427224998517,15.6879323843553,15.0331422688589,14.3783521533625,13.7235620378662,13.0687719223698,12.4139818068734,52.0667,9.58333
"bb.wintemp.3",3,8.80276440084952,7.17340654813794,11.7722916666667,16.9135205712051,16.2587304557087,15.6039403402123,14.949150224716,14.2943601092196,13.6395699937232,12.9847798782268,12.3299897627305,52.0667,9.58333
"bb.wintemp.4",4,9.80276440084952,8.17533556168106,11.6125520833333,17.1132132839077,16.4584231684113,15.803633052915,15.1488429374186,14.4940528219222,13.8392627064259,13.1844725909295,12.5296824754331,52.0667,9.58333
"bb.wintemp.5",5,10.8027644008495,9.1874825922028,11.2953333333333,17.5097729304635,16.8549828149672,16.2001926994708,15.5454025839744,14.890612468478,14.2358223529817,13.5810322374853,12.9262421219889,52.0667,9.58333
"bb.wintemp.6",6,11.8027644008495,10.2105179055259,10.7917013888889,18.1393703482804,17.4845802327841,16.8297901172877,16.1750000017913,15.5202098862949,14.8654197707986,14.2106296553022,13.5558395398058,52.0667,9.58333
"bb.wintemp.7",7,12.8027644008495,11.1855675661772,10.1085119047619,18.9934351863647,18.3386450708683,17.683854955372,17.0290648398756,16.3742747243792,15.7194846088828,15.0646944933865,14.4099043778901,52.0667,9.58333
