"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,2.17297312579688,0.539327807061037,6.55895833333333,25.8093485477261,25.1545584322297,24.4997683167334,23.844978201237,23.1901880857406,22.5353979702442,21.8806078547479,21.2258177392515,47.4333,11.7
"bb.wintemp.1",1,3.17297312579688,1.53932780706104,7.58541666666667,24.5261584655795,23.8713683500832,23.2165782345868,22.5617881190904,21.906998003594,21.2522078880977,20.5974177726013,19.9426276571049,47.4333,11.7
"bb.wintemp.2",2,4.17297312579688,2.4671229084402,8.24708333333333,23.6989996060509,23.0442094905545,22.3894193750582,21.7346292595618,21.0798391440654,20.425049028569,19.7702589130727,19.1154687975763,47.4333,11.7
"bb.wintemp.3",3,5.17297312579688,3.49694961980146,8.75423611111111,23.0650007446805,22.4102106291841,21.7554205136877,21.1006303981913,20.445840282695,19.7910501671986,19.1362600517022,18.4814699362059,47.4333,11.7
"bb.wintemp.4",4,6.17297312579688,4.47401450934693,9.22770833333333,22.4731064222344,21.818316306738,21.1635261912416,20.5087360757453,19.8539459602489,19.1991558447525,18.5443657292562,17.8895756137598,47.4333,11.7
"bb.wintemp.5",5,7.17297312579688,5.46736617876429,9.63666666666667,21.961861824862,21.3070717093656,20.6522815938693,19.9974914783729,19.3427013628765,18.6879112473801,18.0331211318838,17.3783310163874,47.4333,11.7
"bb.wintemp.6",6,8.17297312579688,6.4876166005885,9.955,21.563908821915,20.9091187064186,20.2543285909222,19.5995384754259,18.9447483599295,18.2899582444331,17.6351681289368,16.9803780134404,47.4333,11.7
"bb.wintemp.7",7,9.17297312579688,7.47434074240628,10.0938392857143,21.3903438669086,20.7355537514123,20.0807636359159,19.4259735204195,18.7711834049232,18.1163932894268,17.4616031739304,16.806813058434,47.4333,11.7
