"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,5.59530538909315,4.22618063456576,10.7427083333333,18.3735613612605,17.7187712457642,17.0639811302678,16.4091910147714,15.754400899275,15.0996107837787,14.4448206682823,13.7900305527859,53.5167,9.48333
"bb.wintemp.1",1,6.59530538909315,5.22618063456576,11.545625,17.3698238786965,16.7150337632002,16.0602436477038,15.4054535322074,14.750663416711,14.0958733012147,13.4410831857183,12.7862930702219,53.5167,9.48333
"bb.wintemp.2",2,7.59530538909315,6.13682280205602,11.9516666666667,16.8622254475815,16.2074353320851,15.5526452165888,14.8978551010924,14.243064985596,13.5882748700996,12.9334847546033,12.2786946391069,53.5167,9.48333
"bb.wintemp.3",3,8.59530538909315,7.1539878083529,12.0452083333333,16.7452876868988,16.0904975714024,15.435707455906,14.7809173404097,14.1261272249133,13.4713371094169,12.8165469939205,12.1617568784242,53.5167,9.48333
"bb.wintemp.4",4,9.59530538909315,8.15510686827193,11.900625,16.9260333570854,16.2712432415891,15.6164531260927,14.9616630105963,14.3068728951,13.6520827796036,12.9972926641072,12.3425025486108,53.5167,9.48333
"bb.wintemp.5",5,10.5953053890931,9.1642325493174,11.586875,17.3182566701995,16.6634665547031,16.0086764392067,15.3538863237103,14.699096208214,14.0443060927176,13.3895159772212,12.7347258617249,53.5167,9.48333
"bb.wintemp.6",6,11.5953053890931,10.1802028188766,11.0830208333333,17.9481318911598,17.2933417756634,16.638551660167,15.9837615446707,15.3289714291743,14.6741813136779,14.0193911981815,13.3646010826852,53.5167,9.48333
"bb.wintemp.7",7,12.5953053890931,11.1570528062386,10.4031547619048,18.7980420840188,18.1432519685224,17.4884618530261,16.8336717375297,16.1788816220333,15.524091506537,14.8693013910406,14.2145112755442,53.5167,9.48333
