"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,6.29876289945012,3.63458062785814,9.19583333333333,19.7945976910681,19.1398075755717,18.4850174600754,17.830227344579,17.1754372290826,16.5206471135863,15.8658569980899,15.2110668825935,48.2,16.1833
"bb.wintemp.1",1,7.29876289945012,4.63458062785814,9.87916666666667,18.9403530250562,18.2855629095598,17.6307727940634,16.9759826785671,16.3211925630707,15.6664024475743,15.0116123320779,14.3568222165816,48.2,16.1833
"bb.wintemp.2",2,8.29876289945013,5.61950847443916,10.3810416666667,18.3129519883419,17.6581618728456,17.0033717573492,16.3485816418528,15.6937915263564,15.0390014108601,14.3842112953637,13.7294211798673,48.2,16.1833
"bb.wintemp.3",3,9.29876289945013,6.63929098960953,10.6126388888889,18.0234290248105,17.3686389093141,16.7138487938177,16.0590586783213,15.404268562825,14.7494784473286,14.0946883318322,13.4398982163358,48.2,16.1833
"bb.wintemp.4",4,10.2987628994501,7.67666573714645,10.6014583333333,18.0374059954637,17.3826158799673,16.727825764471,16.0730356489746,15.4182455334782,14.7634554179818,14.1086653024855,13.4538751869891,48.2,16.1833
"bb.wintemp.5",5,11.2987628994501,8.68675190669912,10.4577916666667,18.2170057276838,17.5622156121874,16.907425496691,16.2526353811946,15.5978452656983,14.9430551502019,14.2882650347055,13.6334749192092,48.2,16.1833
"bb.wintemp.6",6,12.2987628994501,9.70328107679796,10.1726041666667,18.5735226555203,17.9187325400239,17.2639424245275,16.6091523090311,15.9543621935348,15.2995720780384,14.644781962542,13.9899918470457,48.2,16.1833
"bb.wintemp.7",7,13.2987628994501,10.6916196133339,9.70529761904762,19.1577091809291,18.5029190654327,17.8481289499363,17.19333883444,16.5385487189436,15.8837586034472,15.2289684879508,14.5741783724545,48.2,16.1833
