"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,8.03477627346389,5.312401865491,10.8585416666667,16.5802520430277,15.9254619275313,15.2706718120349,14.6158816965386,13.9610915810422,13.3063014655458,12.6515113500494,11.9967212345531,50.1667,8.68333
"bb.wintemp.1",1,9.03477627346389,6.312401865491,11.2189583333333,16.1296900697958,15.4748999542994,14.820109838803,14.1653197233067,13.5105296078103,12.8557394923139,12.2009493768175,11.5461592613212,50.1667,8.68333
"bb.wintemp.2",2,10.0347762734639,7.28158185444279,11.3144791666667,16.010278124867,15.3554880093706,14.7006978938742,14.0459077783779,13.3911176628815,12.7363275473851,12.0815374318887,11.4267473163924,50.1667,8.68333
"bb.wintemp.3",3,11.0347762734639,8.30275880756735,11.1865972222222,16.1701451525561,15.5153550370597,14.8605649215634,14.205774806067,13.5509846905706,12.8961945750742,12.2414044595779,11.5866143440815,50.1667,8.68333
"bb.wintemp.4",4,12.0347762734639,9.31037853419598,10.805,16.6471852378951,15.9923951223987,15.3376050069023,14.682814891406,14.0280247759096,13.3732346604132,12.7184445449168,12.0636544294205,50.1667,8.68333
"bb.wintemp.5",5,13.0347762734639,10.3202899926953,10.3095833333333,17.2665126207537,16.6117225052574,15.956932389761,15.3021422742646,14.6473521587682,13.9925620432719,13.3377719277755,12.6829818122791,50.1667,8.68333
"bb.wintemp.6",6,14.0347762734639,11.3449460984571,9.64256944444444,18.1003561184209,17.4455660029245,16.7907758874281,16.1359857719317,15.4811956564354,14.826405540939,14.1716154254426,13.5168253099462,50.1667,8.68333
"bb.wintemp.7",7,15.0347762734639,12.3293708443962,8.81580357142857,19.1339078311982,18.4791177157018,17.8243276002054,17.1695374847091,16.5147473692127,15.8599572537163,15.2051671382199,14.5503770227236,50.1667,8.68333
