"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,5.46412804478227,2.70453010165374,8.44625,21.3061258187044,20.651335703208,19.9965455877116,19.3417554722153,18.6869653567189,18.0321752412225,17.3773851257261,16.7225950102298,49.55,11.6833
"bb.wintemp.1",1,6.46412804478227,3.70453010165374,9.41479166666667,20.0953381808113,19.4405480653149,18.7857579498185,18.1309678343221,17.4761777188258,16.8213876033294,16.166597487833,15.5118073723366,49.55,11.6833
"bb.wintemp.2",2,7.46412804478227,4.67234198617602,10.0657291666667,19.2815920043008,18.6268018888044,17.9720117733081,17.3172216578117,16.6624315423153,16.0076414268189,15.3528513113226,14.6980611958262,49.55,11.6833
"bb.wintemp.3",3,8.46412804478227,5.6943173483166,10.4760416666667,18.7686545440232,18.1138644285268,17.4590743130305,16.8042841975341,16.1494940820377,15.4947039665413,14.839913851045,14.1851237355486,49.55,11.6833
"bb.wintemp.4",4,9.46412804478227,6.71061635002289,10.6822395833333,18.5108836116496,17.8560934961533,17.2013033806569,16.5465132651605,15.8917231496641,15.2369330341678,14.5821429186714,13.927352803175,49.55,11.6833
"bb.wintemp.5",5,10.4641280447823,7.72199763780331,10.745,18.4324259270045,17.7776358115081,17.1228456960117,16.4680555805154,15.813265465019,15.1584753495226,14.5036852340263,13.8488951185299,49.55,11.6833
"bb.wintemp.6",6,11.4641280447823,8.74880614832849,10.6497222222222,18.5515340247452,17.8967439092488,17.2419537937524,16.5871636782561,15.9323735627597,15.2775834472633,14.6227933317669,13.9680032162706,49.55,11.6833
"bb.wintemp.7",7,12.4641280447823,9.73205946938688,10.3712797619048,18.8996188830634,18.244828767567,17.5900386520706,16.9352485365742,16.2804584210779,15.6256683055815,14.9708781900851,14.3160880745888,49.55,11.6833
