"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,2.87085686578664,0.774010247116211,6.75229166666667,25.1200582690871,24.4652681535907,23.8104780380943,23.155687922598,22.5008978071016,21.8461076916052,21.1913175761088,20.5365274606125,47.5833,13.5333
"bb.wintemp.1",1,3.87085686578664,1.77401024711621,7.74875,23.874371611302,23.2195814958056,22.5647913803092,21.9100012648129,21.2552111493165,20.6004210338201,19.9456309183238,19.2908408028274,47.5833,13.5333
"bb.wintemp.2",2,4.87085686578664,2.7414160577039,8.37979166666667,23.0854974974757,22.4307073819794,21.775917266483,21.1211271509866,20.4663370354902,19.8115469199939,19.1567568044975,18.5019666890011,47.5833,13.5333
"bb.wintemp.3",3,5.87085686578664,3.75829467626247,8.88194444444444,22.4577492068322,21.8029590913358,21.1481689758395,20.4933788603431,19.8385887448467,19.1837986293503,18.529008513854,17.8742183983576,47.5833,13.5333
"bb.wintemp.4",4,6.87085686578664,4.76992561282891,9.32421875,21.9048558413176,21.2500657258213,20.5952756103249,19.9404854948285,19.2856953793321,18.6309052638358,17.9761151483394,17.321325032843,47.5833,13.5333
"bb.wintemp.5",5,7.87085686578664,5.77560936347696,9.70891666666667,21.4239395339931,20.7691494184968,20.1143593030004,19.459569187504,18.8047790720076,18.1499889565113,17.4951988410149,16.8404087255185,47.5833,13.5333
"bb.wintemp.6",6,8.87085686578664,6.79598437335609,10.0018402777778,21.0577515842264,20.40296146873,19.7481713532336,19.0933812377373,18.4385911222409,17.7838010067445,17.1290108912481,16.4742207757518,47.5833,13.5333
"bb.wintemp.7",7,9.87085686578664,7.78395258013873,10.120119047619,20.9098896209493,20.2550995054529,19.6003093899565,18.9455192744601,18.2907291589638,17.6359390434674,16.981148927971,16.3263588124747,47.5833,13.5333
