"","warming_C","sprT.forecast","winT.forecast","chill.forecast","bb.sprtemp.0","bb.sprtemp.1","bb.sprtemp.2","bb.sprtemp.3","bb.sprtemp.4","bb.sprtemp.5","bb.sprtemp.6","bb.sprtemp.7","lat","lon"
"bb.wintemp.0",0,5.56973161917296,3.41684166115975,9.63208333333333,19.7442569152295,19.0894667997332,18.4346766842368,17.7798865687404,17.125096453244,16.4703063377477,15.8155162222513,15.1607261067549,50.9333,9.68333
"bb.wintemp.1",1,6.56973161917296,4.41684166115975,10.5452083333333,18.6027464362264,17.94795632073,17.2931662052336,16.6383760897373,15.9835859742409,15.3287958587445,14.6740057432482,14.0192156277518,50.9333,9.68333
"bb.wintemp.2",2,7.56973161917296,5.37542388039537,11.0738541666667,17.9418788020784,17.2870886865821,16.6322985710857,15.9775084555893,15.3227183400929,14.6679282245966,14.0131381091002,13.3583479936038,50.9333,9.68333
"bb.wintemp.3",3,8.56973161917296,6.38988588696673,11.3553472222222,17.5899803515013,16.9351902360049,16.2804001205085,15.6256100050121,14.9708198895158,14.3160297740194,13.661239658523,13.0064495430267,50.9333,9.68333
"bb.wintemp.4",4,9.56973161917296,7.39455851766809,11.4097916666667,17.5219185813637,16.8671284658674,16.212338350371,15.5575482348746,14.9027581193782,14.2479680038819,13.5931778883855,12.9383877728891,50.9333,9.68333
"bb.wintemp.5",5,10.569731619173,8.40540219024882,11.3194583333333,17.6348455591634,16.980055443667,16.3252653281706,15.6704752126742,15.0156850971779,14.3608949816815,13.7061048661851,13.0513147506887,50.9333,9.68333
"bb.wintemp.6",6,11.569731619173,9.4279011196039,11.0354513888889,17.9898866578005,17.3350965423041,16.6803064268077,16.0255163113113,15.370726195815,14.7159360803186,14.0611459648222,13.4063558493258,50.9333,9.68333
"bb.wintemp.7",7,12.569731619173,10.4064366062185,10.5640178571429,18.5792323844442,17.9244422689478,17.2696521534514,16.6148620379551,15.9600719224587,15.3052818069623,14.6504916914659,13.9957015759696,50.9333,9.68333
