"","k.means.fit$cluster"
"",4
"ashby62",6
"basler12",6
"basler14",6
"bernier81",6
"biasi12",6
"biran73",6
"boyer",6
"bradford10",6
"caffarra11a",6
"caffarra11b",6
"calme94",6
"campbell75",6
"cannell83",2
"charrier11",6
"chavarria09",5
"cook00b",6
"cook05",5
"cronje03",6
"dantec14",6
"devries82",6
"durner84",6
"falusi03",6
"falusi90",6
"falusi96",6
"falusi97",6
"fu13",6
"gansert02",6
"ghelardini10",6
"gianfagna85",6
"gomory15",6
"granhus09",6
"guak98",6
"guerriero90",6
"gunderson12",6
"gutterman88",6
"hawerroth13",5
"hawkins12",6
"heide01",6
"heide03",6
"heide05",6
"heide07",6
"heide08",6
"heide11",6
"heide12",6
"heide15",6
"heide77",6
"heide93",6
"heide93a",6
"howe95",6
"jones12",6
"junttila12",6
"karlsson03",6
"kinet93",6
"lamb37",6
"laube14a",1
"laube14b",1
"li05",6
"linkosalo06",6
"lyndon77",6
"man10",6
"manson91",6
"morin10",6
"myking95",4
"myking97",6
"myking98",6
"nerd95",6
"nienstaedt66",6
"nishimoto95",6
"okie11",6
"pagter15",6
"partanen01",6
"partanen05",6
"partanen98",6
"pettersen71",6
"pop2000",6
"ramos99",6
"rinne94",6
"rinne97",6
"ruesink98",6
"runger81",6
"sanzperez09",6
"sanzperez10",6
"schnabel87",6
"skre08",3
"skuterud94",6
"smeets80",6
"smeets82",6
"sogaard08",6
"sonsteby06",4
"sonsteby13",4
"sonsteby14",4
"spann04",6
"spiers74",6
"swartz81",6
"takimoto64",6
"thielges75",6
"verheul07",6
"viheraaarnio06",6
"webb78",6
"worrall67",6
"yazdaniha64",6
