"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1953/1954",1954,2327,2215.5,120.209902507413,3.80676884989184
"1954/1955",1955,2185,1877.5,116.123753097128,4.11514148450861
"1955/1956",1956,2119,1763.5,108.283911916356,3.38751172842764
"1956/1957",1957,2548,2547.5,133.3265485889,5.19799523388984
"1957/1958",1958,2608,2288.5,130.643433423256,4.55712260670503
"1958/1959",1959,2552,2308.5,134.261366872808,6.21768860732434
"1959/1960",1960,2464,2419,134.074636015172,5.30647882168562
"1960/1961",1961,2130,2091.5,119.206181192925,6.76665085920502
"1961/1962",1962,1975,1591,109.352277844581,4.81327826135686
"1962/1963",1963,1734,1810.5,112.213911266213,2.9939622642859
"1963/1964",1964,2375,2207.5,118.895079165284,4.33856804519804
"1964/1965",1965,2207,1956.5,124.660052291687,4.52087260751528
"1965/1966",1966,2111,1868,119.554977428909,5.7327357879752
"1966/1967",1967,2460,2151.5,127.582480857397,5.92068389698178
"1967/1968",1968,2003,1784,119.182915858156,6.06800462626043
"1968/1969",1969,1992,1743,106.992153128402,4.59775939824956
"1969/1970",1970,2203,1839,125.487919194104,4.21443393511944
"1970/1971",1971,2411,2206.5,129.695923429355,5.07514146305093
"1971/1972",1972,2493,2311.5,129.611133249144,5.99917833671901
"1972/1973",1973,2384,1782,127.402583789469,4.38271223324492
"1973/1974",1974,3268,2684.5,143.662180705982,5.92617917987782
"1974/1975",1975,2769,2344.5,136.854862419676,5.43174522866513
"1975/1976",1976,2320,2085,124.430093619845,4.88997648357733
"1976/1977",1977,2350,2160,128.318439309598,6.08558955367321
"1977/1978",1978,2452,2087,131.236285588167,5.37294806016802
"1978/1979",1979,2651,2295.5,131.338244908068,4.55476411619171
"1979/1980",1980,2422,1988.5,123.741060224696,5.11605629073062
"1980/1981",1981,1740,1705,114.199098745226,4.33233487588037
"1981/1982",1982,2438,2297,129.539573355791,4.28580185805254
"1982/1983",1983,2258,2157.5,123.522301214967,6.18818389100269
"1983/1984",1984,2258,2012.5,126.020720691903,4.3507276693394
"1984/1985",1985,2353,1914.5,114.948205456624,4.61459902051467
