"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1951/1952",1952,1900,1617.5,110.883092907923,4.16413136232347
"1952/1953",1953,1936,1754,113.221438154473,3.89740557326355
"1953/1954",1954,2178,2279.5,123.122936194428,2.82839616319551
"1954/1955",1955,2342,2052,127.614125791484,3.71441029433495
"1955/1956",1956,2271,1941.5,111.918742561785,2.73988256786683
"1956/1957",1957,2194,2394.5,129.965205080726,4.31799518650415
"1957/1958",1958,2500,2515.5,130.731656506576,3.91740557281652
"1958/1959",1959,2538,2573.5,133.5846992929,5.4319574257561
"1959/1960",1960,2311,2518,130.08862381123,4.33032854170726
"1960/1961",1961,1918,1955,116.326056201845,5.71502345716493
"1961/1962",1962,1997,1724,110.175560636383,3.45974048870651
"1962/1963",1963,1568,1682,98.3556341288403,1.55283015397079
"1963/1964",1964,2021,2135.5,119.835618174516,2.65248820362307
"1964/1965",1965,2153,1777,122.434072044807,3.5470046376994
"1965/1966",1966,2012,1698.5,115.289732038285,4.1519338694612
"1966/1967",1967,2141,2001,122.5776869976,4.57372631286359
"1967/1968",1968,1658,1540.5,108.309180937161,4.13413136299402
"1968/1969",1969,2051,1700.5,108.10506559711,2.9092688028973
"1969/1970",1970,2115,1822,121.142797166301,3.17419804225869
"1970/1971",1971,2095,1941.5,119.085652110995,3.65653293713804
"1971/1972",1972,2182,2237.5,117.359937320887,3.9938731501666
"1972/1973",1973,2198,1927.5,128.127090430221,3.07759427083305
"1973/1974",1974,2898,2624.5,140.499413491885,4.14231122816684
"1974/1975",1975,2676,2418,135.255381228584,4.35549518566596
"1975/1976",1976,2066,1814,117.184726008672,3.45382621388078
"1976/1977",1977,2201,2080,128.657447532702,5.00641498243753
"1977/1978",1978,2139,1947,125.801634186816,4.1255895304274
"1978/1979",1979,2513,2363.5,128.993239499114,2.94176880217087
"1979/1980",1980,2333,1999,126.195597411491,3.9037088329331
"1980/1981",1981,1880,1719,117.544043296944,3.31155652975453
"1981/1982",1982,2254,2307.5,130.66179688164,3.1258489867356
"1982/1983",1983,2110,1902,121.407636568643,5.16931592219263
"1983/1984",1984,2377,1973,122.465264342427,3.21784030366252
"1984/1985",1985,2235,1825,117.572727483456,3.03320747937234
"1985/1986",1986,1905,1682.5,112.889051642471,3.03511785668813
"1986/1987",1987,2051,1958,116.861810677656,2.37547164501728
"1987/1988",1988,2205,1988.5,132.317519805907,5.03122054482045
"1988/1989",1989,1968,2084,129.415319769921,5.01320743511589
"1989/1990",1990,2123,2149.5,127.320443820739,5.26007063714524
"1990/1991",1991,2261,2072.5,125.759841475558,4.05643858857681
"1991/1992",1992,2287,2428.5,129.554127499765,4.51762900700434
"1992/1993",1993,1969,1778.5,115.378490713482,4.40370273175825
"1993/1994",1994,2350,2658.5,135.993383767233,5.42155648259235
"1994/1995",1995,2242,1989,119.339815870765,5.28186308948833
"1995/1996",1996,1770,1565.5,105.642562575366,3.23741776801366
"1996/1997",1997,2373,2011,123.743458735943,4.4988206541605
"1997/1998",1998,1990,1883.5,121.684704122132,5.49768855636237
"1998/1999",1999,1766,1810,122.871112016725,4.53554235145292
"1999/2000",2000,1829,2006,120.489022038755,5.09730035555002
"2000/2001",2001,1983,2006,123.417594904263,6.63917437990477
"2001/2002",2002,2016,2422.5,132.202665937458,5.26469327855135
"2002/2003",2003,2205,2069,126.315174880274,4.5387970683613
"2003/2004",2004,2101,1932,121.732818751933,4.47791069803296
"2004/2005",2005,1784,1734,121.752300984816,4.50561310683887
"2005/2006",2006,1936,1737.5,117.496076436132,3.81445746191004
"2006/2007",2007,2315,2445,125.938116332789,7.41775926816242
"2007/2008",2008,2366,2472.5,132.069120524514,5.35075105411031
"2008/2009",2009,2229,2118.5,123.744228399768,5.61068383685559
"2009/2010",2010,1782,1979.5,119.573993170495,4.85966970269867
"2010/2011",2011,1837,1725.5,115.729051875734,4.66212253730287
"2011/2012",2012,1863,2052,125.071698079496,4.43453041731244
"2012/2013",2013,2224,1984,119.90188571722,4.52047159707279
