date,obs.1,obs.2,time,weath,temp,snow.cov,snow.dep,strm.1,strm.2,strm.3,h.ice,h.wat
1990-03-21,JOK,NA,AM,PC,4,0,0,NA,NA,NA,NA,NA
1990-03-23,JOK,NA,PM,CL,3,0,0,NA,NA,NA,NA,NA
1990-03-27,JOK,NA,NA,SU,3,0,0,NA,NA,NA,NA,NA
1990-04-02,JOK,NA,NA,CL,4,0,0,NA,NA,NA,NA,NA
1990-04-11,JOK,NA,PM,PC,3,0,0,NA,NA,NA,NA,NA
1990-04-23,JOK,NA,PM,SU,7,0,0,NA,NA,NA,33,NA
1990-04-28,JOK,NA,PM,SU,9,0,0,NA,NA,NA,0,NA
1990-05-01,JOK,NA,PM,CL,6,0,0,NA,NA,NA,NA,NA
1990-05-04,JOK,NA,PM,SU,6,0,0,NA,NA,NA,NA,NA
1990-05-07,JOK,NA,NA,CL,5,0,0,NA,NA,NA,NA,NA
1990-05-11,JOK,NA,AM,PC,4,0,0,NA,NA,NA,NA,NA
1990-05-14,JOK,NA,NA,SU,7,0,0,NA,NA,NA,NA,9
1990-05-18,JOK,NA,PM,CL,6,0,0,NA,NA,NA,NA,NA
1990-05-24,JOK,NA,PM,PC,6,0,0,NA,NA,NA,NA,NA
1990-05-30,JOK,SS,AM,PC,5,0,0,NA,NA,NA,NA,NA
1990-06-05,JOK,NA,NA,NA,6,0,0,NA,NA,NA,NA,NA
1990-06-08,JOK,NA,NA,PC,7,0,0,NA,NA,NA,NA,NA
1990-06-12,JOK,NA,NA,SU,7,0,0,NA,NA,NA,NA,NA
1990-06-18,JOK,NA,NA,PC,8,0,0,NA,NA,NA,NA,NA
1990-06-22,JOK,NA,NA,PC,8,0,NA,NA,NA,NA,NA,NA
1990-06-27,JOK,NA,NA,PC,8,0,NA,NA,NA,NA,NA,NA
1990-07-02,JOK,NA,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1990-07-09,JOK,NA,PM,CL,8,0,NA,NA,NA,NA,NA,NA
1991-03-21,JOK,KK,AM,CL,4,1,NA,NA,NA,NA,100,NA
1991-03-28,JOK,KMK,AM,PC,4,0,NA,NA,NA,NA,90,NA
1991-04-02,KMK,NA,AM,SH,3,1,NA,NA,NA,NA,75,NA
1991-04-05,JOK,NA,NA,SU,6,0,NA,NA,NA,NA,45,NA
1991-04-09,KMK,NA,NA,PC,7,0,NA,NA,NA,NA,25,NA
1991-04-12,JOK,NA,NA,SU,5,0,NA,NA,NA,NA,0,NA
1991-04-16,KMK,NA,NA,SU,6,0,NA,NA,NA,NA,0,NA
1991-04-19,JOK,NA,NA,SU,6,0,NA,NA,NA,NA,0,NA
1991-04-22,KMK,NA,NA,SU,6,0,NA,NA,NA,NA,NA,NA
1991-04-26,JOK,NA,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1991-05-02,KMK,NA,PM,PC,7,0,NA,NA,NA,NA,NA,NA
1991-05-07,KMK,NA,NA,CL,6,0,NA,NA,NA,NA,NA,NA
1991-05-10,JOK,NA,NA,PC,6,0,NA,NA,NA,NA,NA,NA
1991-05-13,KMK,NA,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1991-05-17,KMK,NA,PM,SU,7,0,NA,NA,NA,NA,NA,NA
1991-05-20,KMK,NA,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1991-05-23,KMK,NA,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1991-05-28,KMK,NA,AM,CL,7,0,NA,NA,NA,NA,NA,100
1991-05-31,JOK,NA,NA,PC,8,0,NA,NA,NA,NA,NA,100
1991-06-04,KMK,NA,NA,--,7,0,NA,NA,NA,NA,NA,NA
1991-06-10,KMK,NA,AM,PC,7,0,NA,NA,NA,NA,NA,NA
1991-06-14,JOK,NA,NA,SU,7,0,NA,NA,NA,NA,NA,75
1991-06-20,KMK,NA,AM,SU,7,0,NA,NA,NA,NA,NA,NA
1991-06-28,KMK,NA,NA,SU,9,0,NA,NA,NA,NA,NA,NA
1991-07-04,KMK,NA,NA,PC,8,0,NA,NA,NA,NA,NA,NA
1991-07-11,KMK,NA,NA,SU,8,0,NA,NA,NA,NA,NA,NA
1991-07-19,KMK,NA,NA,SU,9,0,NA,NA,NA,NA,NA,NA
1991-08-01,KMK,NA,AM,SU,8,0,NA,NA,NA,NA,NA,0
1991-09-12,KMK,NA,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1991-09-18,KMK,NA,NA,MC,7,0,NA,NA,NA,NA,NA,75
1991-09-27,KMK,NA,AM,PC,6,0,NA,NA,NA,NA,NA,NA
1991-10-03,KMK,NA,PM,SU,6,0,NA,NA,NA,NA,NA,NA
1991-10-10,JOK,NA,NA,PC,7,0,NA,NA,NA,NA,NA,NA
1991-10-23,JOK,NA,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1991-10-29,JOK,NA,NA,SU,5,0,NA,NA,NA,NA,NA,NA
1991-11-08,JOK,NA,NA,PC,4,0,NA,NA,NA,NA,NA,NA
1991-11-20,JOK,NA,NA,SU,6,0,NA,NA,NA,NA,NA,NA
1992-04-01,JOK,NA,NA,PC,4,0,0,FR,NA,NA,90,100
1991-04-07,JOK,MW,NA,MC,5,0,0,FR,NA,NA,90,100
1992-04-13,MW,NA,NA,SU,4,0,0,FR,NA,NA,NA,NA
1992-04-20,MW,NA,NA,NA,5,0,0,MF,NA,NA,NA,NA
1992-04-23,MW,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
1992-04-27,MW,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
1992-05-01,JOK,MW,NA,NA,NA,0,0,LP,NA,NA,0,NA
