date,doy,tree.id,tag,circuit,fopn,fpst,lcolor,lfall,comments
1991-09-12,255,QUVE-02,NA,NA,NA,NA,0,0,NA
1991-09-12,255,QUVE-03,NA,NA,NA,NA,0,0,NA
1991-09-12,255,QUVE-04,NA,NA,NA,NA,0,0,NA
1991-09-12,255,RHSP-01,NA,NA,NA,NA,50,0,NA
1991-09-12,255,RHSP-02,NA,NA,NA,NA,NA,0,NA
1991-09-12,255,RHSP-03,NA,NA,NA,NA,1,0,NA
1991-09-12,255,SAPU-01,NA,NA,NA,NA,1,0,NA
1991-09-12,255,SAPU-02,NA,NA,NA,NA,3,0,NA
1991-09-12,255,SAPU-03,NA,NA,NA,NA,NA,0,NA
1991-09-12,255,TSCA-01,NA,NA,NA,NA,0,0,NA
1991-09-12,255,TSCA-02,NA,NA,NA,NA,0,0,NA
1991-09-12,255,TSCA-03,NA,NA,NA,NA,0,0,NA
1991-09-12,255,VACO-01,NA,NA,NA,NA,NA,0,NA
1991-09-12,255,VACO-02,NA,NA,NA,NA,3,0,NA
1991-09-12,255,VACO-03,NA,NA,NA,NA,0,0,NA
1991-09-12,255,VACO-04,NA,NA,NA,NA,5,0,NA
1991-09-12,255,VIAL-01,NA,NA,NA,NA,0,0,NA
1991-09-12,255,VIAL-02,NA,NA,NA,NA,0,0,NA
1991-09-12,255,VIAL-03,NA,NA,NA,NA,10,0,NA
1991-09-12,255,VICA-01,NA,NA,NA,NA,0,0,NA
1991-09-12,255,VICA-02,NA,NA,NA,NA,0,0,NA
1991-09-12,255,VICA-03,NA,NA,NA,NA,8,0,NA
1991-09-18,261,ACPE-01,NA,NA,NA,NA,3,0,NA
1991-09-18,261,ACPE-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,ACPE-03,NA,NA,NA,NA,0,0,NA
1991-09-18,261,ACPE-04,NA,NA,NA,NA,0,0,NA
1991-09-18,261,ACRU-01,NA,NA,NA,NA,20,0,NA
1991-09-18,261,ACRU-02,NA,NA,NA,NA,30,0,NA
1991-09-18,261,ACRU-03,NA,NA,NA,NA,50,0,NA
1991-09-18,261,ACRU-04,NA,NA,NA,NA,60,0,NA
1991-09-18,261,ACRU-05,NA,NA,NA,NA,8,0,NA
1991-09-18,261,ACSA-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,ACSA-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,ACSA-03,NA,NA,NA,NA,20,0,NA
1991-09-18,261,AMSP-01,NA,NA,NA,NA,20,0,NA
1991-09-18,261,AMSP-02,NA,NA,NA,NA,3,0,NA
1991-09-18,261,AMSP-03,NA,NA,NA,NA,15,0,NA
1991-09-18,261,AMSP-04,NA,NA,NA,NA,10,0,NA
1991-09-18,261,ARSP-01,NA,NA,NA,NA,5,0,NA
1991-09-18,261,ARSP-02,NA,NA,NA,NA,1,0,NA
1991-09-18,261,ARSP-03,NA,NA,NA,NA,1,0,NA
1991-09-18,261,BEAL-01,NA,NA,NA,NA,8,0,NA
1991-09-18,261,BEAL-02,NA,NA,NA,NA,15,0,NA
1991-09-18,261,BEAL-03,NA,NA,NA,NA,70,0,NA
1991-09-18,261,BELE-01,NA,NA,NA,NA,3,0,NA
1991-09-18,261,BELE-02,NA,NA,NA,NA,8,0,NA
1991-09-18,261,BELE-03,NA,NA,NA,NA,3,0,NA
1991-09-18,261,BEPA-01,NA,NA,NA,NA,3,0,NA
1991-09-18,261,BEPA-02,NA,NA,NA,NA,1,0,NA
1991-09-18,261,BEPA-03,NA,NA,NA,NA,1,0,NA
1991-09-18,261,BEPA-04,NA,NA,NA,NA,8,0,NA
1991-09-18,261,BEPO-01,NA,NA,NA,NA,3,0,NA
1991-09-18,261,BEPO-02,NA,NA,NA,NA,15,0,NA
1991-09-18,261,BEPO-03,NA,NA,NA,NA,10,0,NA
1991-09-18,261,BEPO-04,NA,NA,NA,NA,1,0,NA
1991-09-18,261,CADE-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,CADE-02,NA,NA,NA,NA,5,0,NA
1991-09-18,261,CADE-03,NA,NA,NA,NA,1,0,NA
1991-09-18,261,COAL-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,COAL-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,COAL-03,NA,NA,NA,NA,3,0,NA
1991-09-18,261,CRSP-01,NA,NA,NA,NA,20,95,NA
1991-09-18,261,CRSP-02,NA,NA,NA,NA,99,99,NA
1991-09-18,261,CRSP-03,NA,NA,NA,NA,0,0,NA
1991-09-18,261,FAGR-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,FAGR-02,NA,NA,NA,NA,5,0,NA
1991-09-18,261,FAGR-03,NA,NA,NA,NA,0,0,NA
1991-09-18,261,FAGR-04,NA,NA,NA,NA,0,0,NA
1991-09-18,261,FRAM-01,NA,NA,NA,NA,40,0,NA
1991-09-18,261,FRAM-02,NA,NA,NA,NA,40,0,NA
1991-09-18,261,FRAM-03,NA,NA,NA,NA,0,0,NA
1991-09-18,261,FRAM-04,NA,NA,NA,NA,0,0,NA
1991-09-18,261,FRAM-05,NA,NA,NA,NA,10,0,NA
1991-09-18,261,HAVI-01,NA,NA,NA,NA,3,0,NA
1991-09-18,261,HAVI-02,NA,NA,40,NA,8,0,NA
1991-09-18,261,HAVI-03,NA,NA,NA,NA,1,0,NA
1991-09-18,261,ILVE-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,ILVE-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,ILVE-03,NA,NA,NA,NA,0,0,NA
1991-09-18,261,ILVE-04,NA,NA,NA,NA,0,0,NA
1991-09-18,261,KAAN-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,KAAN-03,NA,NA,NA,NA,0,0,NA
1991-09-18,261,KALA-01,NA,NA,NA,NA,0,85,NA
1991-09-18,261,KALA-02,NA,NA,NA,NA,3,0,NA
1991-09-18,261,KALA-03,NA,NA,NA,NA,10,0,NA
1991-09-18,261,LYLI-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,LYLI-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,LYLI-03,NA,NA,NA,NA,0,0,NA
1991-09-18,261,NEMU-01,NA,NA,NA,NA,NA,80,NA
1991-09-18,261,NEMU-02,NA,NA,NA,NA,NA,50,NA
1991-09-18,261,NEMU-03,NA,NA,NA,NA,20,80,NA
1991-09-18,261,NYSY-01,NA,NA,NA,NA,8,0,NA
1991-09-18,261,NYSY-02,NA,NA,NA,NA,35,0,NA
1991-09-18,261,NYSY-03,NA,NA,NA,NA,40,0,NA
1991-09-18,261,PIST-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,PIST-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,PIST-03,NA,NA,NA,NA,3,0,NA
1991-09-18,261,PIST-04,NA,NA,NA,NA,0,0,NA
1991-09-18,261,POTR-01,NA,NA,NA,NA,8,0,NA
1991-09-18,261,POTR-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,POTR-03,NA,NA,NA,NA,5,0,NA
1991-09-18,261,PRSE-01,NA,NA,NA,NA,1,0,NA
1991-09-18,261,PRSE-02,NA,NA,NA,NA,1,0,NA
1991-09-18,261,PRSE-03,NA,NA,NA,NA,20,0,NA
1991-09-18,261,QUAL-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,QUAL-02,NA,NA,NA,NA,30,0,NA
1991-09-18,261,QUAL-03,NA,NA,NA,NA,0,0,NA
1991-09-18,261,QURU-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,QURU-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,QURU-03,NA,NA,NA,NA,1,0,NA
1991-09-18,261,QURU-04,NA,NA,NA,NA,0,0,NA
1991-09-18,261,QUVE-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,QUVE-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,QUVE-03,NA,NA,NA,NA,3,0,NA
1991-09-18,261,QUVE-04,NA,NA,NA,NA,1,0,NA
1991-09-18,261,RHSP-01,NA,NA,NA,NA,47,0,NA
1991-09-18,261,RHSP-02,NA,NA,NA,NA,60,0,NA
1991-09-18,261,RHSP-03,NA,NA,NA,NA,8,0,NA
1991-09-18,261,SAPU-01,NA,NA,NA,NA,1,0,NA
1991-09-18,261,SAPU-02,NA,NA,NA,NA,1,0,NA
1991-09-18,261,SAPU-03,NA,NA,NA,NA,80,0,NA
1991-09-18,261,TSCA-01,NA,NA,NA,NA,3,0,NA
1991-09-18,261,TSCA-02,NA,NA,NA,NA,1,0,NA
1991-09-18,261,TSCA-03,NA,NA,NA,NA,1,0,NA
1991-09-18,261,VACO-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,VACO-02,NA,NA,NA,NA,10,0,NA
1991-09-18,261,VACO-03,NA,NA,NA,NA,1,0,NA
1991-09-18,261,VACO-04,NA,NA,NA,NA,3,0,NA
1991-09-18,261,VIAL-01,NA,NA,NA,NA,0,0,NA
1991-09-18,261,VIAL-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,VIAL-03,NA,NA,NA,NA,3,0,NA
1991-09-18,261,VICA-01,NA,NA,NA,NA,1,0,NA
1991-09-18,261,VICA-02,NA,NA,NA,NA,0,0,NA
1991-09-18,261,VICA-03,NA,NA,NA,NA,8,0,NA
1991-09-27,270,ACPE-01,NA,NA,NA,NA,30,0,NA
1991-09-27,270,ACPE-02,NA,NA,NA,NA,1,0,NA
1991-09-27,270,ACPE-03,NA,NA,NA,NA,1,0,NA
1991-09-27,270,ACPE-04,NA,NA,NA,NA,5,0,NA
1991-09-27,270,ACRU-01,NA,NA,NA,NA,30,0,NA
1991-09-27,270,ACRU-02,NA,NA,NA,NA,65,0,NA
1991-09-27,270,ACRU-03,NA,NA,NA,NA,100,3,NA
1991-09-27,270,ACRU-04,NA,NA,NA,NA,95,0,NA
1991-09-27,270,ACRU-05,NA,NA,NA,NA,15,0,NA
1991-09-27,270,ACSA-01,NA,NA,NA,NA,0,0,NA
1991-09-27,270,ACSA-02,NA,NA,NA,NA,0,0,NA
1991-09-27,270,ACSA-03,NA,NA,NA,NA,40,0,NA
1991-09-27,270,AMSP-01,NA,NA,NA,NA,33,3,NA
1991-09-27,270,AMSP-02,NA,NA,NA,NA,13,0,NA
1991-09-27,270,AMSP-03,NA,NA,NA,NA,80,0,NA
1991-09-27,270,AMSP-04,NA,NA,NA,NA,15,0,NA
1991-09-27,270,ARSP-01,NA,NA,NA,NA,8,0,NA
1991-09-27,270,ARSP-02,NA,NA,NA,NA,10,0,NA
1991-09-27,270,ARSP-03,NA,NA,NA,NA,5,0,NA
1991-09-27,270,BEAL-01,NA,NA,NA,NA,20,3,NA
1991-09-27,270,BEAL-02,NA,NA,NA,NA,30,0,NA
1991-09-27,270,BEAL-02,NA,NA,NA,NA,1,0,NA
1991-09-27,270,BEAL-03,NA,NA,NA,NA,90,0,NA
1991-09-27,270,BELE-01,NA,NA,NA,NA,3,0,NA
1991-09-27,270,BELE-03,NA,NA,NA,NA,8,0,NA
1991-09-27,270,BEPA-01,NA,NA,NA,NA,5,0,NA
1991-09-27,270,BEPA-02,NA,NA,NA,NA,18,0,NA
1991-09-27,270,BEPA-03,NA,NA,NA,NA,5,0,NA
1991-09-27,270,BEPA-04,NA,NA,NA,NA,15,0,NA
1991-09-27,270,BEPO-01,NA,NA,NA,NA,10,0,NA
1991-09-27,270,BEPO-02,NA,NA,NA,NA,40,0,NA
1991-09-27,270,BEPO-03,NA,NA,NA,NA,40,0,NA
1991-09-27,270,BEPO-04,NA,NA,NA,NA,10,0,NA
1991-09-27,270,CADE-01,NA,NA,NA,NA,1,0,NA
1991-09-27,270,CADE-02,NA,NA,NA,NA,5,0,NA
1991-09-27,270,CADE-03,NA,NA,NA,NA,0,0,NA
