year,species,bb.doy,l75.doy,fbb.doy,fopn.doy,sd.bb.doy,sd.l75.doy,sd.fbb.doy,sd.fopn.doy
2012,CRSP,112,NA,NA,NA,0.558829133569048,0.0776049244577383,3.46410161513775,6.28679898652939
2013,CRSP,123,NA,NA,NA,1.63565015111901,0.946521820811079,NA,NA
2014,CRSP,130,NA,NA,NA,1.08676627928376,1.29425372847069,3.53553390593274,1.06061597738502
2015,CRSP,127,NA,NA,NA,2.91905355486276,2.77988302195188,9.19238815542512,0.196477672608849
2016,CRSP,127,NA,NA,NA,0.0378526892634454,2.0000125000625,NA,NA
2017,CRSP,119,NA,NA,NA,0.144572239808695,1.67113856040832,4.24264068711928,3.72000484536338
2018,CRSP,126,NA,NA,NA,1.7271695598958,2.11846126129177,NA,NA
2019,CRSP,125,NA,NA,NA,2.78834108414674,0.207243802095975,NA,NA
2020,CRSP,130,NA,NA,NA,1.84545292923716,4.72082668736226,2.3094010767585,5.78665467898508
2021,CRSP,118,NA,NA,NA,1.0356396068244,0.783400175113585,5.30330085889911,1.94834348232757
1990,FAGR,130,142,NA,NA,3.03124325233919,1.52750669544099,6.6395280956807,2.16316387047322
1991,FAGR,124,137,NA,NA,1.85138607503315,3.07679025022355,9.23760430703401,1.48816871486597
1992,FAGR,134,150,NA,NA,2.57574031645098,0.90332821855162,NA,NA
1993,FAGR,123,146,NA,NA,0.705044356096139,1.48220285062684,2,2.29875350320803
1994,FAGR,129,142,NA,NA,2.41702956783871,2.70847717691653,NA,NA
1995,FAGR,131,142,NA,NA,0.240545532131483,3.94728120551659,NA,NA
1996,FAGR,131,143,NA,NA,1.49182422044771,5.61338853589308,1.73205080756888,2.83650785155653
1997,FAGR,134,147,NA,NA,1.6793680619173,4.62167003213447,0,3.63315407146532
1998,FAGR,122,137,178,179,1.94562348587486,4.50063577534801,NA,NA
1999,FAGR,125,137,NA,NA,2.32523901668832,1.94306698675027,7.07106781186548,6.71745962022265
2000,FAGR,128,143,NA,NA,2.66881945252384,0.563554554528149,NA,NA
2001,FAGR,122,137,NA,NA,1.26669820900773,3.05516121104794,1.73205080756888,1.73197286489283
2002,FAGR,125,NA,NA,NA,2.96790634993101,6.30929818553068,0,0.117680834463146
2003,FAGR,133,NA,NA,NA,1.58236720178883,1.17775844033105,0,0.314063047179236
2004,FAGR,127,NA,NA,NA,0.115423690732022,6.79192097373107,1.73205080756888,1.50819121863764
2005,FAGR,131,NA,NA,NA,0.567520552634631,2.13177549156305,NA,NA
2006,FAGR,130,149,NA,NA,3.53525106180604,2.55630986155586,NA,NA
2007,FAGR,129,142,NA,NA,4.47520876657552,2.61176877471299,NA,NA
2008,FAGR,127,146,NA,NA,1.10412033800068,6.30437509952099,NA,NA
2009,FAGR,123,142,NA,NA,2.16410552530605,0.292030910991715,NA,NA
2010,FAGR,118,134,NA,NA,1.27171664472351,3.93050157978158,NA,NA
2011,FAGR,127,143,122,124,1.24243473124427,7.56688745800091,NA,NA
2012,FAGR,122,140,NA,NA,0.629550245373804,2.98685848528819,3.88908729652601,1.23731930998632
2013,FAGR,125,142,120,121,5.54789037231553,0.710357071168489,5.00832640043891,1.89173434171496
2014,FAGR,134,148,NA,NA,0.172980464494291,2.35162166716531,3.75277674973257,4.25981427379445
2015,FAGR,128,144,NA,NA,1.37611694090874,2.30939818999272,4.53688586293873,3.88379228596846
2016,FAGR,132,148,114,118,3.03646197780541,5.96581902814499,0,0
2017,FAGR,124,144,118,118,0.739214680100468,NA,NA,NA
2018,FAGR,128,144,NA,NA,1.82943581146489,2.69997700015913,0,0
2019,FAGR,131,146,119,121,1.92360073424953,0.494979294429468,NA,NA
2020,FAGR,135,152,NA,NA,1.02952483781956,0.412533263759044,NA,NA
2021,FAGR,129,144,120,121,1.05081618624535,7.58990276238474,1.73205080756888,0.150039651403923
1990,FRAM,125,160,NA,NA,0.864021943627897,0.292030910991715,0,7.77807206205609
1991,FRAM,126,144,NA,NA,3.59304471966407,4.28876743778752,4.76969600708473,4.82593836762386
1992,FRAM,136,172,136,140,2.73276316094434,1.64436832019483,2.02072594216369,0.45210291578949
1993,FRAM,124,151,NA,NA,1.51460636829908,2.08608221294276,NA,NA
1994,FRAM,131,153,134,137,2.00019194616028,4.75703566885136,1.5,2.1665444913362
1995,FRAM,133,151,136,138,1.55650422746568,3.22247108750638,4.90747728811182,0.0960859989798803
1996,FRAM,130,152,NA,NA,0.254593255361635,1.41549522384118,NA,NA
1997,FRAM,138,159,138,144,1.87598378810881,2.22496205102704,NA,NA
1998,FRAM,125,150,131,131,1.26376923582072,3.17980583568695,0,1.4337702358204
1999,FRAM,129,148,121,121,0.236362172088448,2.34885331848107,NA,NA
2000,FRAM,130,156,130,145,1.74665933116247,1.19497837567498,2.02072594216369,2.39089448736693
2001,FRAM,124,150,124,124,0.794935689308706,2.30951943415548,NA,NA
2002,FRAM,133,153,NA,NA,0.969681129186166,4.16509348469058,NA,NA
2003,FRAM,136,160,132,134,0.0963198270080392,3.60733005726319,NA,NA
2004,FRAM,129,145,126,128,0.97954430552586,1.08234739076034,NA,NA
2005,FRAM,137,157,139,149,0.368937000290521,2.77084000407354,NA,NA
2006,FRAM,133,155,126,128,0.828355923592953,3.54429463470009,NA,NA
2007,FRAM,132,151,130,132,17.4434481846807,8.17013496385522,NA,NA
2008,FRAM,131,153,130,130,0.366869893273012,2.48954581719983,NA,NA
2009,FRAM,123,147,131,131,1.55191287394462,5.67644045953088,NA,NA
2010,FRAM,123,145,NA,NA,0.729883495927623,2.81342470502224,NA,NA
2011,FRAM,131,151,132,132,1.64080764560119,3.67920726423245,NA,NA
2012,FRAM,128,145,NA,NA,2.56168295970729,11.3055705954319,NA,NA
2013,FRAM,128,151,124,124,5.35776150792857,1.50002500490899,NA,NA
2014,FRAM,138,155,NA,NA,4.05534702824461,2.28880685123174,NA,NA
2015,FRAM,130,149,129,131,0.316152147118497,1.43523776268297,NA,NA
2016,FRAM,139,154,NA,NA,1.40266483739426,0.865920036833479,0,2.66511999709553
2017,FRAM,136,158,NA,NA,10.5604138984351,8.39854219463145,NA,NA
2018,FRAM,133,150,128,129,1.82512202054062,NA,NA,NA
2019,FRAM,139,156,NA,NA,4.36684107870275,4.98602222755449,0,0
2020,FRAM,142,158,NA,NA,4.0298238686219,1.43868264945779,NA,NA
2021,FRAM,137,154,NA,NA,0.675691224660523,13.3486013081361,NA,NA
1990,HAVI,123,156,NA,NA,1.4771095259923,5.76839953744595,0,1.64520747825833
1991,HAVI,118,142,NA,NA,0.599493540609687,8.98191926535431,NA,NA
1992,HAVI,133,158,172,172,4.32921786556241,3.90511907991003,3.18198051533946,1.76805510042045
1993,HAVI,123,149,NA,NA,1.71033180052833,1.69128789049226,2,1.78002574036271
1994,HAVI,128,147,NA,NA,0.936241400690037,1.27968434077999,NA,NA
1995,HAVI,129,146,NA,NA,1.30171774334536,0.310883254568561,3,0.798936589576486
1996,HAVI,125,148,NA,NA,3.00393979500127,1.46285737483078,NA,NA
1997,HAVI,130,152,NA,NA,2.44005660561155,4.53638107591759,NA,NA
1998,HAVI,113,139,NA,NA,8.54548300662973,2.27820513072932,4.5,4.53365972210266
1999,HAVI,122,139,NA,NA,9.80236308488001,4.6301402259758,0,2.35196216984291
2000,HAVI,126,146,NA,NA,9.41682851359074,1.41569880606046,NA,NA
2001,HAVI,122,138,NA,NA,4.89799693116206,NA,NA,NA
2002,HAVI,109,149,NA,NA,12.388638858139,2.88673691211923,NA,NA
2003,HAVI,128,152,NA,NA,2.79304822840818,NA,NA,NA
2004,HAVI,121,140,NA,NA,7.91154828349276,NA,2.3094010767585,2.79683195085125
2005,HAVI,121,156,NA,NA,0.838889157193953,NA,NA,NA
2006,HAVI,121,148,NA,NA,9.165162846697,NA,NA,NA
2007,HAVI,126,144,NA,NA,3.70448125346683,NA,NA,NA
2008,HAVI,120,147,NA,NA,6.97551130483373,2.02720063041285,NA,NA
2009,HAVI,119,140,NA,NA,1.24270721136296,2.24723123373094,NA,NA
2010,HAVI,107,134,NA,NA,0.0960998275962917,NA,2.47487373415292,NA
2011,HAVI,123,144,NA,NA,2.25646067912317,NA,NA,NA
2012,HAVI,111,140,NA,NA,5.66688986465279,2.31257469768732,NA,NA
2013,HAVI,122,142,NA,NA,7.14352555855988,1.26454568377061,6.06217782649107,1.07461922350937
2014,HAVI,131,150,NA,NA,1.30751180866378,NA,NA,NA
2015,HAVI,126,143,NA,NA,0,NA,NA,NA
2016,HAVI,127,149,NA,NA,NA,NA,NA,NA
2017,HAVI,118,145,NA,NA,0,NA,NA,NA
2018,HAVI,126,146,NA,NA,4.01557981422579,2.41129527898642,2.75,0.686115162930683
2019,HAVI,123,148,NA,NA,5.35559275761524,2.45288647355827,0,2.38560306244719
2020,HAVI,135,154,NA,NA,2.26814608289374,2.73289539018337,NA,NA
2021,HAVI,120,146,NA,NA,3.9562778601899,NA,0,1.59560857192594
1990,ILVE,129,155,181,184,4.60090661846079,1.17698161397318,4.50924975282289,0.848366209161329
1991,ILVE,120,143,163,168,1.05535141910805,NA,3.53553390593274,2.17433593955709
1992,ILVE,138,170,188,188,1.50000194587167,NA,2.02072594216369,1.68355895312182
1993,ILVE,122,150,172,175,2.68888951039267,NA,0,3.34952853711477
1994,ILVE,131,154,169,173,1.39607082522596,NA,NA,NA
1995,ILVE,131,153,180,181,4.16290863617088,NA,NA,NA
1996,ILVE,127,155,176,177,1.90581208432586,0.590803713228754,NA,NA
1997,ILVE,135,164,170,190,1.500025004909,2.55839318951404,NA,NA
1998,ILVE,119,145,175,176,1.83846914576122,NA,0,2.76958847529042
1999,ILVE,127,150,164,175,5.19586133042441,NA,NA,NA
2000,ILVE,129,155,NA,NA,2.11995526672521,0.405451788398756,NA,NA
2001,ILVE,125,152,174,174,3.02817104568515,2.9029942124841,4.28903641081926,0.34005525060263
1990,KAAN,147,168,168,172,2.05164354318189,NA,7.42462120245875,NA
1991,KAAN,138,156,154,158,2.54676313074963,NA,2.5,3.76419839865785
1992,KAAN,146,184,172,174,0.892642001916693,NA,6.36396103067893,5.37384041632111
1993,KAAN,142,161,167,171,0.855263829471484,NA,NA,NA
1994,KAAN,150,163,167,171,2.52717403836435,2.40114247300272,4.08248290463863,2.45272485704
1995,KAAN,146,166,169,177,3.8887650206249,2.17877257897614,0,1.21247819996572
1996,KAAN,146,165,169,173,3.36466269568623,1.16946117735273,NA,NA
1997,KAAN,151,171,178,182,2.52811413297558,NA,NA,NA
1998,KAAN,140,162,163,168,3.60337115210007,0.626803920733368,NA,NA
1999,KAAN,140,161,164,169,1.947670168001,NA,NA,NA
2000,KAAN,145,165,173,176,1.5057676945708,NA,NA,NA
2001,KAAN,146,169,NA,NA,1.0556591340647,NA,NA,NA
1990,KALA,146,168,174,179,0.167640341824808,NA,NA,NA
1991,KALA,138,160,156,160,3.47684340021566,NA,NA,NA
1992,KALA,148,191,175,181,0.768678958820687,1.72888066929413,3.53553390593274,1.61609355780184
1993,KALA,138,160,167,175,1.4134200915558,3.13416915723969,NA,NA
1994,KALA,144,163,174,175,2.78156338850437,NA,NA,NA
1995,KALA,142,166,168,177,0.280901286181382,NA,NA,NA
1996,KALA,143,167,172,178,2.50840725557819,5.28573663745363,NA,NA
1997,KALA,149,171,176,181,2.51480781754427,4.04005385824172,2.88675134594813,2.75836532465833
1998,KALA,135,162,161,168,1.42393342466855,NA,NA,NA
1999,KALA,137,159,162,171,2.21800336396076,0.719997957437294,0,1.41441508881336
2000,KALA,138,163,171,177,6.30839854525653,0.567344294945709,2.90688837074973,1.25921903048716
2001,KALA,138,168,NA,NA,8.22994301013994,1.44338866342009,NA,NA
1990,LYLI,130,150,180,185,5.20024316528937,NA,NA,NA
1991,LYLI,136,149,172,174,2.95505510347889,2.67044887283522,3.53553390593274,7.07089103428629
1992,LYLI,138,176,193,193,2.53839552723088,NA,NA,NA
1993,LYLI,121,149,NA,NA,4.23810619165372,NA,NA,NA
1994,LYLI,134,153,178,182,3.18188328767091,NA,NA,NA
1995,LYLI,133,150,191,191,5.00333063072055,NA,NA,NA
1996,LYLI,122,151,190,NA,4.00228383274866,NA,NA,NA
1997,LYLI,138,156,189,194,7.60324371154536,2.21908702300047,NA,NA
1998,LYLI,126,143,164,179,3.48181736857021,1.01049318933759,NA,NA
1999,LYLI,131,149,150,181,2.8461367026289,NA,NA,NA
2000,LYLI,131,154,186,188,1.14481378268616,NA,NA,NA
2001,LYLI,124,147,NA,NA,9.04281857203087,3.93016140074532,NA,NA
1990,NEMU,118,149,158,158,4.77209613640024,1.98916566594501,9.45163125250522,3.000205001025
1991,NEMU,116,142,137,138,9.71368685832728,NA,NA,NA
1992,NEMU,131,168,145,145,3.29787920372076,1.2785295170376,4.61880215351701,4.37497841233713
1993,NEMU,117,150,126,126,6.45019891321345,1.25240420216625,0,1.90736850525932
1994,NEMU,121,148,140,144,2.94083221417424,2.00542829427014,NA,NA
1995,NEMU,126,148,139,144,3.41096063436196,NA,NA,NA
1996,NEMU,115,148,136,141,4.08505711492904,0.313683099483761,2.88675134594813,1.5972962466689
1997,NEMU,132,155,147,151,5.58750837270522,NA,NA,NA
1998,NEMU,112,138,126,126,2.6736179979234,NA,NA,NA
1999,NEMU,124,143,135,137,1.4159459826491,NA,NA,NA
2000,NEMU,127,148,135,135,3.61360820329433,NA,NA,NA
2001,NEMU,122,141,124,132,5.78889857622584,1.05374849129086,NA,NA
1990,NYSY,138,162,NA,NA,5.54491267523037,1.17041287522626,0,0
1991,NYSY,136,144,158,158,0.443082943649799,1.874185708132,NA,NA
1992,NYSY,141,173,NA,NA,4.68528467429419,NA,NA,NA
1993,NYSY,131,160,NA,NA,2.8127133666563,NA,NA,NA
1994,NYSY,142,161,169,169,5.41346419195814,2.9929093249944,NA,NA
1995,NYSY,141,160,NA,NA,3.13527313784048,2.14317582679959,2.02072594216369,1.15459084127962
1996,NYSY,141,161,168,172,1.8390339719107,NA,NA,NA
1997,NYSY,149,167,NA,NA,1.51761355876363,1.87595199573334,0,2.51425093991628
1998,NYSY,132,152,156,157,3.02114765297449,2.19569892638933,0,1.85166644901307
1999,NYSY,134,154,157,163,3.18934140664889,2.13156463759945,NA,NA
2000,NYSY,132,161,170,176,2.92597102340122,NA,NA,NA
2001,NYSY,134,161,NA,NA,1.32284039969182,2.04755850577875,NA,NA
1990,PIST,164,NA,NA,NA,0.80693051352162,NA,NA,NA
1991,PIST,152,181,NA,NA,1.87642884248173,NA,NA,NA
1992,PIST,164,NA,NA,NA,1.30014959718006,NA,NA,NA
1993,PIST,153,165,NA,NA,0.54019367019436,NA,NA,NA
1994,PIST,148,219,169,169,1.89601822047839,0.606020262034526,NA,NA
1995,PIST,161,173,176,176,4.36833601835816,3.3122061433916,NA,NA
1996,PIST,162,NA,NA,NA,0.959644671978089,0.925072983992169,NA,NA
1997,PIST,164,198,NA,NA,4.24281746469847,NA,NA,NA
1998,PIST,150,189,NA,NA,3.25320656074864,NA,NA,NA
1999,PIST,151,185,158,NA,0.135302712098151,2.7026176074817,NA,NA
2000,PIST,157,167,NA,NA,0.962748558546327,0.905737130777273,2.02072594216369,0.276563708765754
2001,PIST,159,174,NA,NA,0.285105018086929,NA,NA,NA
1990,POTR,119,137,82,97,3.86166474011829,1.26173782894216,2.59807621135332,2.02458116547262
1991,POTR,108,128,95,101,6.78182055581174,2.59932872003697,3.83405790253616,0.441204699534132
1992,POTR,127,140,104,104,0.803563175314565,3.04813103136915,NA,NA
1993,POTR,113,131,97,100,6.30823070972773,NA,NA,NA
1994,POTR,122,138,96,103,4.75335001740867,3.77348937577208,0,0.942931607370301
1995,POTR,126,140,90,103,1.89484618096844,NA,NA,NA
1996,POTR,122,142,90,90,3.06642654017379,NA,NA,NA
1997,POTR,123,141,98,110,NA,NA,NA,NA
1998,POTR,106,127,90,92,4.63459356173094,NA,NA,NA
1999,POTR,119,132,92,93,5.19859184649999,0.94244187366895,NA,NA
2000,POTR,125,141,87,87,2.06868677137184,3.04464534848006,NA,NA
2001,POTR,118,132,105,105,3.1750732054941,0.357474427444069,NA,NA
2002,POTR,108,NA,106,106,3.4987959894266,NA,NA,NA
2003,POTR,121,NA,102,105,0.10136012005953,NA,NA,NA
2004,POTR,118,NA,NA,NA,1.51767189788251,0.692534049142781,NA,NA
2005,POTR,113,NA,NA,NA,5.88185998934898,3.69400269190721,2.3094010767585,0.551165668949327
2006,POTR,112,NA,NA,NA,0.710276784161277,NA,NA,NA
2007,POTR,126,NA,NA,NA,2.41841300788171,2.58209151851254,4.26223728418147,3.09353902365575
2008,POTR,114,NA,NA,NA,3.82224640363727,1.39734663331878,3.83405790253616,2.97702914205774
2009,POTR,116,NA,NA,NA,1.7658079502759,2.43379899064929,NA,NA
2010,POTR,99,NA,NA,NA,1.67386465897304,NA,NA,NA
2011,POTR,126,NA,NA,NA,3.88112395260872,3.0311308750279,0,8.83887895933415e-05
2012,POTR,113,NA,NA,NA,1.63943838834323,NA,NA,NA
2013,POTR,123,NA,NA,NA,0.598939251314328,NA,NA,NA
2014,POTR,133,NA,NA,NA,0.942857360787038,NA,NA,NA
2015,POTR,126,NA,NA,NA,1.67851468240623,NA,NA,NA
2016,POTR,131,NA,NA,NA,3.97119215150182,3.34115144788827,NA,NA
2017,POTR,119,NA,NA,NA,3.46699977957757,2.79254867236464,2.82842712474619,2.82857208236111
2018,POTR,126,NA,NA,NA,0.482221756229167,1.34723891882249,NA,NA
2019,POTR,129,NA,NA,NA,0.687261730147297,NA,NA,NA
2020,POTR,137,NA,NA,NA,0.736368686194755,NA,NA,NA
2021,POTR,131,NA,NA,NA,2.32843035332322,1.54411706168078,NA,NA
1990,PRSE,114,146,147,153,1.08101571704278,1.99087953677872,0,0.0675676398414648
1991,PRSE,97,132,97,150,0.94379771381825,NA,NA,NA
1992,PRSE,115,156,152,155,5.16188349986251,0.396426470528323,2.59807621135332,3.59250784378801
1993,PRSE,109,140,146,147,5.966591671132,3.53590203958371,0,2.11348708988312
1994,PRSE,111,142,149,150,3.39201988748246,1.35918322968956,NA,NA
1995,PRSE,114,145,149,152,5.80864442658803,NA,NA,NA
1996,PRSE,111,145,146,146,5.48130250480169,4.07291116072257,3.53553390593274,NA
1997,PRSE,114,151,157,158,0.22765805532774,NA,NA,NA
1998,PRSE,106,131,100,138,3.7581752392728,NA,NA,NA
1999,PRSE,109,139,144,150,5.73528339027339,NA,NA,NA
2000,PRSE,106,144,145,149,4.35457309339494,NA,NA,NA
2001,PRSE,119,135,139,141,4.23373413905791,2.66939621763796,NA,NA
2002,PRSE,105,NA,NA,NA,3.75670600226077,2.59706119252603,NA,NA
2003,PRSE,115,NA,NA,NA,0.697289979309894,0.518102288325474,NA,NA
2004,PRSE,112,NA,NA,NA,0.29459983571102,NA,NA,NA
2005,PRSE,109,NA,NA,NA,1.57162745965511,NA,NA,NA
2006,PRSE,107,NA,NA,NA,0.0495802022676663,0.496988887550188,NA,NA
2007,PRSE,116,NA,NA,NA,4.16969981967377,4.67266967425989,2.88675134594813,0.216941852835042
2008,PRSE,111,NA,NA,NA,2.46572476053369,NA,NA,NA
2009,PRSE,115,NA,NA,NA,2.46905140507489,2.40758172878081,3.278719262151,2.33014834536395
2010,PRSE,97,NA,NA,NA,3.39118317954016,0.78777407111072,0,1.76481048739523
2011,PRSE,118,NA,NA,NA,2.21585714018998,0.515145714210479,NA,NA
2012,PRSE,95,NA,NA,NA,3.17262572381509,NA,NA,NA
2013,PRSE,117,NA,NA,NA,3.13609243932827,3.68768172928472,1.73205080756888,1.51538192731782
2014,PRSE,120,NA,NA,NA,1.28895061659491,NA,NA,NA
2015,PRSE,121,NA,NA,NA,2.15030729358596,NA,NA,NA
2016,PRSE,114,NA,NA,NA,2.46445623141157,NA,NA,NA
2017,PRSE,109,NA,NA,NA,1.26529302199107,NA,NA,NA
2018,PRSE,122,NA,NA,NA,3.7210892852248,0.872481573786483,3.75277674973257,3.58008103488688
2019,PRSE,112,NA,NA,NA,1.74712414394383,1.97000192248732,0,0.571168358345219
2020,PRSE,121,NA,NA,NA,0.983952612732562,2.08433802235057,NA,NA
2021,PRSE,107,NA,NA,NA,6.14634783070277,NA,NA,NA
1990,QUAL,136,159,NA,NA,0.518039042218615,NA,NA,NA
1991,QUAL,128,145,NA,NA,2.60212417573757,0.714656504781437,NA,NA
1992,QUAL,140,160,NA,NA,2.27913193687866,0.886173944140173,4.63680924774785,3.03700141277569
1993,QUAL,127,148,NA,NA,0.705331774710809,NA,NA,NA
1994,QUAL,138,156,NA,NA,3.86435907490974,1.21718254626062,6.25166644450368,6.78577156304321
1995,QUAL,135,156,NA,NA,7.80430150415122,2.92814494148832,0,1.75005875029375
1996,QUAL,140,155,NA,NA,5.26896443612673,2.11344515279967,NA,NA
1997,QUAL,146,161,NA,NA,3.58093884455034,NA,NA,NA
1998,QUAL,126,143,NA,NA,7.12101985606488,2.33678392410477,NA,NA
1999,QUAL,133,152,NA,NA,0.535570047562022,NA,NA,NA
2000,QUAL,132,156,NA,NA,5.53558246108445,NA,NA,NA
2001,QUAL,124,152,NA,NA,3.37227981155582,NA,NA,NA
2002,QUAL,132,154,NA,NA,5.25569408475347,NA,NA,NA
2003,QUAL,142,161,NA,NA,7.98327645036394,1.12896022426834,NA,NA
2004,QUAL,133,150,NA,NA,3.56284647354577,0.226723441738831,NA,NA
2005,QUAL,142,162,NA,NA,1.20184045703609,1.69314650721055,NA,NA
2006,QUAL,136,157,NA,NA,1.62759117155199,NA,NA,NA
2007,QUAL,132,150,NA,NA,8.74480180771267,NA,NA,NA
2008,QUAL,133,155,NA,NA,5.32204510018775,2.22567611496323,NA,NA
2009,QUAL,126,147,NA,NA,8.24003444455659,2.02516416996169,10.8742815854658,10.4043936645532
2010,QUAL,122,144,NA,NA,4.20789428026954,NA,NA,NA
2011,QUAL,134,150,NA,NA,1.87385336450762,3.93497899200359,2,3.50009433792827
2012,QUAL,130,147,NA,NA,3.2746511695652,3.09915509776182,3.83405790253616,3.04150200398309
2013,QUAL,129,152,NA,NA,0.120274209448627,1.32134162569461,NA,NA
2014,QUAL,138,158,NA,NA,1.9077055901043,NA,NA,NA
2015,QUAL,131,154,NA,NA,1.83185388063636,2.74017662881279,NA,NA
2016,QUAL,139,157,NA,NA,0.652728442258762,NA,NA,NA
2017,QUAL,135,154,NA,NA,0.954175322926929,NA,NA,NA
2018,QUAL,131,153,NA,NA,1.22685054174699,NA,NA,NA
2019,QUAL,138,156,NA,NA,1.40908853861475,NA,NA,NA
2020,QUAL,144,159,NA,NA,3.02661376547782,1.45839584792035,NA,NA
2021,QUAL,136,154,NA,NA,1.36847621569566,3.60299487135299,0,0.353413736305714
1990,QURU,129,153,129,131,1.62978817250233,2.84453475668298,NA,NA
1991,QURU,126,141,130,131,3.77142944314815,NA,NA,NA
1992,QURU,136,161,144,145,1.77445694726468,NA,NA,NA
1993,QURU,124,140,136,136,0.458108390042939,0.627497615232698,NA,NA
1994,QURU,131,152,143,143,2.80678428574113,3.82939072078919,3.57071421427143,2.77564728373146
1995,QURU,133,149,144,146,0.949930056608677,NA,NA,NA
1996,QURU,134,150,135,132,2.23911000489274,2.92216628348636,4,2.44552955475874
1997,QURU,136,156,138,146,2.12430742961271,1.76396465427038,0,4.90576424515351
1998,QURU,123,141,122,122,0.183752878753946,1.53073418979685,NA,NA
1999,QURU,126,144,126,134,2.32097053141728,NA,NA,NA
2000,QURU,128,153,128,131,2.30899279486619,2.28853617682732,0,0.0929567222383895
2001,QURU,122,140,124,125,0.55433154738565,NA,NA,NA
2002,QURU,118,151,120,125,2.68963029820653,NA,NA,NA
2003,QURU,136,157,132,138,3.39960255419457,NA,NA,NA
2004,QURU,125,145,126,126,0.209028734218576,NA,NA,NA
2005,QURU,126,157,125,125,3.72020105020044,2.11722902742606,NA,NA
2006,QURU,128,152,127,129,3.08127930570797,2.72700689811748,NA,NA
2007,QURU,129,148,128,130,1.56358066801299,1.77421342161928,NA,NA
2008,QURU,121,151,119,123,3.88903603102804,NA,NA,NA
2009,QURU,120,146,119,119,3.62041747679731,NA,NA,NA
2010,QURU,114,138,108,113,0.403290017263403,0.144523041998745,NA,NA
2011,QURU,128,150,125,129,2.61102388351521,3.44202167252558,0,2.62079002852805
2012,QURU,118,143,119,121,1.40304492693621,NA,NA,NA
2013,QURU,125,149,123,125,1.40743851456175,1.52366086740322,0,1.01841163211636
2014,QURU,132,151,130,132,2.24169244440156,2.58602582128993,2.90688837074973,4.27262104923751
2015,QURU,128,147,128,129,0.926770415684246,3.07271125346711,NA,NA
2016,QURU,133,152,128,133,3.1188862626714,NA,NA,NA
2017,QURU,126,153,119,124,0.728189765850963,2.64923261306312,NA,NA
2018,QURU,127,150,126,131,0.35125862129127,NA,NA,NA
2019,QURU,129,154,124,128,1.41723802808219,NA,NA,NA
2020,QURU,138,155,132,137,0.392994236285136,NA,NA,NA
2021,QURU,130,151,125,133,0.838961335522661,NA,NA,NA
1990,QUVE,135,158,NA,NA,1.65271871325396,2.79545057265371,NA,NA
1991,QUVE,129,143,125,128,0.964734384762315,4.76009255098932,0,0.652910310960152
1992,QUVE,140,166,148,NA,0.358700114981638,2.51668697714543,NA,NA
1993,QUVE,128,151,NA,NA,1.14588994603206,NA,NA,NA
1994,QUVE,135,156,150,150,1.85062479463983,NA,NA,NA
1995,QUVE,136,153,149,151,2.48217130773945,5.28368211276257,NA,NA
1996,QUVE,139,154,136,140,1.49056897223041,4.46084040897905,2.02072594216369,0.585304773330279
1997,QUVE,142,160,144,147,1.08115937289541,NA,NA,NA
1998,QUVE,123,142,124,128,2.95219566782782,1.99889828654279,0,1.9528234333647
1999,QUVE,130,150,129,136,4.06346628632376,0.899468400052948,0,6.62816717627402
2000,QUVE,131,156,130,140,2.99294305867278,0.144476853746284,NA,NA
2001,QUVE,124,151,124,139,5.47071626562887,NA,NA,NA
2002,QUVE,128,NA,117,127,0.51918638702459,0.350541069758374,0,3.24945474953841
2003,QUVE,139,NA,132,137,1.57539286157389,NA,NA,NA
2004,QUVE,132,NA,NA,NA,2.04825239415796,NA,NA,NA
2005,QUVE,137,NA,NA,NA,2.44993925660894,NA,NA,NA
2006,QUVE,129,NA,NA,NA,6.36628587503565,NA,NA,NA
2007,QUVE,130,NA,NA,NA,3.96949211280433,1.67336531209158,NA,NA
2008,QUVE,130,NA,NA,NA,4.05833297922361,3.88804430668866,NA,NA
2009,QUVE,125,NA,NA,NA,0.558842782761619,0.350541069758374,NA,NA
2010,QUVE,119,NA,NA,NA,3.94976266502952,NA,NA,NA
2011,QUVE,132,NA,NA,NA,6.8839695537374,NA,NA,NA
2012,QUVE,124,NA,NA,NA,1.27817715574207,0.688920879812224,NA,NA
2013,QUVE,128,NA,NA,NA,2.53361565226238,2.66757175418883,0,0.232915810175523
2014,QUVE,136,NA,NA,NA,4.20558044717889,NA,NA,NA
2015,QUVE,130,NA,NA,NA,4.42499995868062,3.88690337483891,5.26782687642637,4.91800512200212
2016,QUVE,136,NA,NA,NA,7.54829633090677,0.657873750797147,0,1.38892656074815
2017,QUVE,128,NA,NA,NA,0.0650446065499326,0.601538479658364,NA,NA
2018,QUVE,131,NA,NA,NA,2.93722970878478,NA,NA,NA
2019,QUVE,135,NA,NA,NA,5.30057869018803,3.43733039323256,0,0.274867922322451
2020,QUVE,140,NA,NA,NA,3.10043565334058,NA,NA,NA
2021,QUVE,130,NA,NA,NA,4.34944564354962,NA,NA,NA
1990,RHSP,135,158,141,156,1.00703822868578,NA,NA,NA
1991,RHSP,130,149,136,139,1.01189970630388,NA,NA,NA
1992,RHSP,142,177,156,157,6.70425166525482,1.76332378533315,0,0
1993,RHSP,128,148,142,145,2.2085325354091,4.62864919842402,NA,NA
1994,RHSP,135,151,146,150,0.845102031920752,0.866185619285229,NA,NA
