year,species,bb.doy,l75.doy,fbb.doy,fopn.doy,sd.bb.doy,sd.l75.doy,sd.fbb.doy,sd.fopn.doy
2001,ACSA,120,132,NA,NA,7.33742807319394,3.06935038093004,NA,NA
2002,ACSA,113,140,108,108,4.51876372118287,9.03908659994046,NA,NA
2003,ACSA,126,146,120,123,2.90798909878652,4.18371682877627,NA,NA
2004,ACSA,122,138,120,122,2.31901165071802,7.48615979257813,5.34633831078181,2.02085440374192
2005,ACSA,122,151,124,NA,1.73194399723503,4.04139208774547,NA,NA
2006,ACSA,120,147,114,115,2.92786681653384,17.0822973187641,7.77817459305202,7.62524784485108
2007,ACSA,126,141,122,123,4.33016599026021,9.63835444975313,0,1.85613629702492
2008,ACSA,117,139,116,116,5.56659681561602,6.27875598573595,6.06217782649107,1.0104026641113
2009,ACSA,118,136,115,NA,0.959616159153596,12.9904979707807,NA,NA
2010,ACSA,108,127,NA,NA,3.69059570779023,14.2223532191121,5.30330085889911,5.22464367504095
2011,ACSA,123,137,118,120,0.136425331414582,6.58738875839446,NA,NA
2012,ACSA,110,137,106,NA,2.75018375091875,NA,NA,NA
2013,ACSA,121,137,116,119,0.122924057461753,2.59302302920089,16.9705627484771,16.9706476017152
2014,ACSA,130,145,NA,NA,4.45837880560324,12.1171234932586,NA,NA
2015,ACSA,125,136,122,127,1.99432450071097,8.14969229035164,NA,NA
2016,ACSA,129,144,114,121,2.46591691848464,7.29551467327503,NA,NA
2017,ACSA,118,140,110,117,2.91255467819384,15.1811101517443,NA,NA
2018,ACSA,126,142,NA,NA,5.61638166565819,21.8683916439186,7.50555349946513,6.76343993423555
2019,ACSA,124,142,116,117,2.63105791159836,22.6339577442948,7.21110255092798,4.00945770549365
2020,ACSA,131,148,123,126,1.32312211481438,0,NA,NA
2021,ACSA,120,140,108,110,3.68660172985231,8.62549677287937,2.02072594216369,1.72898586576141
1990,AMSP,122,145,121,126,0.193387308060559,6.29130451901161,NA,NA
1991,AMSP,119,139,106,115,3.3099714166239,10.4631502701241,NA,NA
1992,AMSP,128,160,130,134,3.19969402933513,3.53020573627287,0,0.000268391605056948
1993,AMSP,117,148,107,119,2.6595051822005,3.91906645607278,2.68328157299975,3.06387473607429
1994,AMSP,118,141,112,116,3.30269769937368,2.08190712808343,NA,NA
1995,AMSP,126,143,126,130,1.81478266367597,7.22886240928757,6.7175144212722,4.71388728660624
1996,AMSP,118,145,114,NA,1.36797953578747,17.0222092445115,20.8596500450032,0.589263311350545
1997,AMSP,125,149,134,134,7.09001861365559,6.50028993386725,NA,NA
1998,AMSP,111,132,124,125,5.14397340598321,6.50753445167121,NA,NA
1999,AMSP,121,140,114,121,1.47385139371308,4.06239531197656,NA,NA
2000,AMSP,125,142,129,129,3.10368191562836,0,NA,NA
2001,AMSP,121,136,122,125,1.24106866537505,0.144211271294534,NA,NA
2002,AMSP,112,NA,NA,NA,2.19362551109084,4.79212105324645,7.07106781186548,7.54243815565786
2003,AMSP,127,NA,123,125,3.06688412321807,22.0838448182677,NA,NA
2004,AMSP,120,NA,NA,NA,3.07143950801097,4.92025204072883,NA,NA
2005,AMSP,119,NA,NA,NA,4.45064067488366,7.46617791655899,NA,NA
2006,AMSP,123,NA,NA,NA,0,2.74240439666194,NA,NA
2007,AMSP,125,NA,NA,NA,0.889641475089685,7.04770082299378,NA,NA
2008,AMSP,118,NA,NA,NA,4.76968159314186,0,NA,NA
2009,AMSP,119,NA,NA,NA,2.50178669538596,3.77777159844606,0,1.88550612403065
2010,AMSP,103,NA,NA,NA,1.7507227802042,2.88661566795647,NA,NA
2011,AMSP,122,NA,NA,NA,0.613624662674871,7.06588801046872,NA,NA
2012,AMSP,114,NA,NA,NA,3.03354273256288,3.78482040238327,NA,NA
2013,AMSP,122,NA,NA,NA,2.13611051970455,6.08681982306271,NA,NA
2014,AMSP,130,NA,NA,NA,6.93549828765479,0,16.6170093578839,12.2859922556029
2015,AMSP,126,NA,NA,NA,0.180830057773259,4.46379806950694,NA,NA
2016,AMSP,128,NA,NA,NA,3.15325252821059,5.00357339077193,NA,NA
2017,AMSP,119,NA,NA,NA,2.71538623235067,21.4847519017681,8.1317279836453,8.13180753355592
2018,AMSP,127,NA,NA,NA,0,0.124890624453116,NA,NA
2019,AMSP,124,NA,NA,NA,5.74448103595954,2.92333550842035,0,1.52767416783934
2020,AMSP,130,NA,NA,NA,0.0458129729250656,11.3605486173214,10.1036297108185,4.15101323033034
2021,AMSP,120,NA,NA,NA,5.29481790916043,0,NA,NA
1990,ARSP,119,153,NA,NA,1.68270847476095,0.124890624453116,0,2.13331642493533
1991,ARSP,110,141,105,146,0.927073324731122,4.30602108127817,8.1317279836453,8.13171914476634
1992,ARSP,122,160,146,148,8.69892579954035,4.44927415198365,NA,NA
1993,ARSP,116,131,127,142,5.42328191256979,2.53826016468468,3.75,3.15400196973493
1994,ARSP,123,146,128,141,5.68620799295762,0.94660206669029,2.45967477524977,1.51570439828675
1995,ARSP,122,145,149,149,2.99834507428939,2.37127511402081,NA,NA
1996,ARSP,115,148,111,149,7.52725815420607,2.09845355416708,4.59619407771256,8.88034037264858
1997,ARSP,127,153,157,158,6.38545718430776,0,9.54594154601839,8.58186203685026
1998,ARSP,108,137,136,137,7.2429473032446,3.3086435043652,NA,NA
