chillutah,chillports,gdd,siteslist,year,lat,long,lat.long,cc,lo,mat
2124,106.4142102,63.80623893,7,1953,48.7167,9.21667,48.7167 9.21667,1950-1960,94,7.454262128
2472,121.7786043,56.88993425,7,1954,48.7167,9.21667,48.7167 9.21667,1950-1960,118,5.669835939
1776,107.1642493,88.38720663,7,1955,48.7167,9.21667,48.7167 9.21667,1950-1960,118,4.651803175
2136,106.5252971,71.01018721,7,1956,48.7167,9.21667,48.7167 9.21667,1950-1960,115,5.132131033
2616,127.7657372,74.77876715,7,1957,48.7167,9.21667,48.7167 9.21667,1950-1960,86,7.943114577
2184,111.1214227,71.52985961,7,1958,48.7167,9.21667,48.7167 9.21667,1950-1960,122,3.064590095
2448,117.7687028,75.17029215,7,1959,48.7167,9.21667,48.7167 9.21667,1950-1960,95,8.305573585
2832,124.9397771,61.92962212,7,1960,48.7167,9.21667,48.7167 9.21667,1950-1960,98,7.006393286
1812,104.4974524,36.67296497,8,1951,48.8333,12.9667,48.8333 12.9667,1950-1960,110,4.744426123
1860,96.60304774,109.5719748,8,1952,48.8333,12.9667,48.8333 12.9667,1950-1960,111,5.706557249
1488,94.90352431,28.09238073,8,1953,48.8333,12.9667,48.8333 12.9667,1950-1960,93,6.356721169
1860,103.8913632,41.35441893,8,1954,48.8333,12.9667,48.8333 12.9667,1950-1960,118,5.001311364
1536,94.89343312,95.7368602,8,1955,48.8333,12.9667,48.8333 12.9667,1950-1960,122,2.781639282
1704,94.32008931,46.29828061,8,1956,48.8333,12.9667,48.8333 12.9667,1950-1960,116,3.799672046
2556,119.202589,59.3767648,8,1957,48.8333,12.9667,48.8333 12.9667,1950-1960,98,6.589999853
1584,93.02666127,63.25319964,8,1958,48.8333,12.9667,48.8333 12.9667,1950-1960,125,1.798852419
2256,105.8290413,43.36154922,8,1959,48.8333,12.9667,48.8333 12.9667,1950-1960,96,7.113114595
2400,107.1762937,44.36116189,8,1960,48.8333,12.9667,48.8333 12.9667,1950-1960,102,5.667868726
2496,124.0055729,25.74884621,9,1951,50.4167,10.3833,50.4167 10.3833,1950-1960,110,4.135737612
2076,111.1120843,132.710349,9,1952,50.4167,10.3833,50.4167 10.3833,1950-1960,109,6.552294936
2088,111.5423852,65.90647936,9,1953,50.4167,10.3833,50.4167 10.3833,1950-1960,99,6.966557221
2208,115.6038546,39.7638569,9,1954,50.4167,10.3833,50.4167 10.3833,1950-1960,120,4.915737595
1692,98.61543518,106.8521531,9,1955,50.4167,10.3833,50.4167 10.3833,1950-1960,122,3.617376968
1980,100.0794849,59.41182166,9,1956,50.4167,10.3833,50.4167 10.3833,1950-1960,123,4.20606548
2688,127.5490371,79.07048294,9,1957,50.4167,10.3833,50.4167 10.3833,1950-1960,112,7.014262138
1980,105.9699367,59.87803633,9,1958,50.4167,10.3833,50.4167 10.3833,1950-1960,123,2.01278684
2556,116.210001,102.3434488,9,1959,50.4167,10.3833,50.4167 10.3833,1950-1960,105,8.003442444
2484,112.3120398,57.31974532,9,1960,50.4167,10.3833,50.4167 10.3833,1950-1960,101,6.112131011
1968,111.1877482,44.31086985,10,1951,48.5833,12.1833,48.5833 12.1833,1950-1960,111,4.911803169
2160,111.0344264,92.61253584,10,1952,48.5833,12.1833,48.5833 12.1833,1950-1960,108,6.220655599
1680,101.2763736,80.26711023,10,1953,48.5833,12.1833,48.5833 12.1833,1950-1960,111,6.419508053
2064,109.286904,51.81741041,10,1954,48.5833,12.1833,48.5833 12.1833,1950-1960,119,5.299672013
1692,99.52404944,101.6704524,10,1955,48.5833,12.1833,48.5833 12.1833,1950-1960,121,3.312950746
1992,100.9498287,68.78334641,10,1956,48.5833,12.1833,48.5833 12.1833,1950-1960,120,4.294590068
2616,129.23234,76.27076855,10,1957,48.5833,12.1833,48.5833 12.1833,1950-1960,104,6.968196566
1860,106.4502788,41.70997949,10,1958,48.5833,12.1833,48.5833 12.1833,1950-1960,120,2.160163886
2448,112.9792833,42.39837099,10,1959,48.5833,12.1833,48.5833 12.1833,1950-1960,95,7.236557215
2400,110.2805964,49.80211193,10,1960,48.5833,12.1833,48.5833 12.1833,1950-1960,100,6.051639209
2052,114.7334956,36.67275464,11,1951,49.1667,11.45,49.1667 11.45,1950-1960,111,4.490655637
2100,106.9442044,100.9658106,11,1952,49.1667,11.45,49.1667 11.45,1950-1960,108,6.099016257
1908,104.4250433,57.44370242,11,1953,49.1667,11.45,49.1667 11.45,1950-1960,100,6.55803264
2148,110.8735674,44.20543833,11,1954,49.1667,11.45,49.1667 11.45,1950-1960,121,4.843934318
1668,99.35748696,87.85177908,11,1955,49.1667,11.45,49.1667 11.45,1950-1960,120,3.40540976
1968,101.9018018,64.20391942,11,1956,49.1667,11.45,49.1667 11.45,1950-1960,126,3.751475326
2640,124.2189202,72.78972992,11,1957,49.1667,11.45,49.1667 11.45,1950-1960,109,6.551311329
2004,108.3904386,76.96661799,11,1958,49.1667,11.45,49.1667 11.45,1950-1960,127,1.753934387
2424,115.2689491,63.90864558,11,1959,49.1667,11.45,49.1667 11.45,1950-1960,102,7.318360492
2412,113.5570284,56.69249865,11,1960,49.1667,11.45,49.1667 11.45,1950-1960,106,5.766885117
2868,131.0021097,34.37622806,12,1951,51.2833,9.63333,51.2833 9.63333,1950-1960,111,4.500163834
2340,118.5426962,62.33509754,12,1952,51.2833,9.63333,51.2833 9.63333,1950-1960,103,6.337868711
2544,118.776866,36.37867389,12,1953,51.2833,9.63333,51.2833 9.63333,1950-1960,89,7.029835908
2556,121.1076017,40.79737785,12,1954,51.2833,9.63333,51.2833 9.63333,1950-1960,120,5.093934312
1824,105.8037476,86.090132,12,1955,51.2833,9.63333,51.2833 9.63333,1950-1960,120,3.642295001
2232,107.6213696,54.50485799,12,1956,51.2833,9.63333,51.2833 9.63333,1950-1960,122,4.194426136
2916,137.7693684,68.26934449,12,1957,51.2833,9.63333,51.2833 9.63333,1950-1960,100,7.205409675
2232,115.6320471,47.43721711,12,1958,51.2833,9.63333,51.2833 9.63333,1950-1960,121,2.423278634
2844,126.1308018,57.95032664,12,1959,51.2833,9.63333,51.2833 9.63333,1950-1960,95,7.937540806
2604,122.4157664,29.47942628,12,1960,51.2833,9.63333,51.2833 9.63333,1950-1960,96,6.003442489
3216,137.1976547,44.92585909,13,1951,51.8333,7.3,51.8333 7.3,1950-1960,112,5.509999877
2844,132.9850967,98.97768729,13,1952,51.8333,7.3,51.8333 7.3,1950-1960,104,7.648032616
2724,121.1250048,46.97226056,13,1953,51.8333,7.3,51.8333 7.3,1950-1960,97,7.387376884
2580,122.1449105,61.46282135,13,1954,51.8333,7.3,51.8333 7.3,1950-1960,112,6.447540839
1920,110.4410569,72.86052229,13,1955,51.8333,7.3,51.8333 7.3,1950-1960,116,5.113934312
2172,109.0599073,60.11998799,13,1956,51.8333,7.3,51.8333 7.3,1950-1960,117,5.445081846
3144,140.0297293,101.7570661,13,1957,51.8333,7.3,51.8333 7.3,1950-1960,95,8.405737517
