"chillutah","chillports","gdd","siteslist","year","lat","long","lat.long","cc","lo","mat"
3012,132.312418189962,367.716422163423,1,1951,49.2667,8.75,"49.2667 8.75","1950-1960",84,8.33282590070334
2556,123.934234463141,532.01867480229,1,1952,49.2667,8.75,"49.2667 8.75","1950-1960",106,9.98967368975687
2268,110.507291327679,513.013374754772,1,1953,49.2667,8.75,"49.2667 8.75","1950-1960",79,10.2167389020729
2544,122.799364736076,337.866143392339,1,1954,49.2667,8.75,"49.2667 8.75","1950-1960",106,8.65467371959644
1800,104.791508590131,328.768605452575,1,1955,49.2667,8.75,"49.2667 8.75","1950-1960",119,7.36923896571945
2088,104.234818328974,383.313720945787,1,1956,49.2667,8.75,"49.2667 8.75","1950-1960",112,8.40369546433668
2808,133.464942218792,349.198359483914,1,1957,49.2667,8.75,"49.2667 8.75","1950-1960",92,8.95347806074373
2268,112.358243568186,381.905447013179,1,1958,49.2667,8.75,"49.2667 8.75","1950-1960",138,7.16184766600718
2628,120.951934479557,526.477862348711,1,1959,49.2667,8.75,"49.2667 8.75","1950-1960",117,10.6361954144364
2700,127.834932658951,488.56046811635,1,1960,49.2667,8.75,"49.2667 8.75","1950-1960",88,9.95630412528534
2904,132.615704886656,331.505198815164,2,1951,49.4167,9.28333,"49.4167 9.28333","1950-1960",108,7.85304330273167
2412,120.636392693952,484.229328181908,2,1952,49.4167,9.28333,"49.4167 9.28333","1950-1960",101,9.42315196328918
2340,111.144840576047,470.365715682275,2,1953,49.4167,9.28333,"49.4167 9.28333","1950-1960",92,9.71695630454823
2496,123.528276639932,302.35361969235,2,1954,49.4167,9.28333,"49.4167 9.28333","1950-1960",117,8.13663025291475
1692,102.595670638062,287.086738888186,2,1955,49.4167,9.28333,"49.4167 9.28333","1950-1960",116,6.70489115448183
2112,105.049204870369,341.613847948493,2,1956,49.4167,9.28333,"49.4167 9.28333","1950-1960",118,7.81967373826015
2652,129.80196514857,301.257565577286,2,1957,49.4167,9.28333,"49.4167 9.28333","1950-1960",102,8.32532590087098
2304,112.264376788196,363.908837019746,2,1958,49.4167,9.28333,"49.4167 9.28333","1950-1960",125,6.68923898091864
2640,119.719071222531,467.811505224126,2,1959,49.4167,9.28333,"49.4167 9.28333","1950-1960",102,10.0377171669439
2664,126.198178055181,422.362972152481,2,1960,49.4167,9.28333,"49.4167 9.28333","1950-1960",108,9.22304327210978
2436,125.934899280304,284.03965298244,3,1951,50.1667,11.0333,"50.1667 11.0333","1950-1960",109,7.01380419105534
