"chillutah","chillports","gdd","siteslist","year","lat","long","lat.long","cc","lo"
1860,96.6030477357254,381.025201810318,4,1952,48.8333,12.9667,"48.8333 12.9667","1950-1960",111
1488,94.9035243129049,379.236772125766,4,1953,48.8333,12.9667,"48.8333 12.9667","1950-1960",93
1860,103.891363224959,235.704051909307,4,1954,48.8333,12.9667,"48.8333 12.9667","1950-1960",118
1536,94.8934331167299,225.362770659774,4,1955,48.8333,12.9667,"48.8333 12.9667","1950-1960",122
1704,94.3200893066053,285.518066509812,4,1956,48.8333,12.9667,"48.8333 12.9667","1950-1960",116
2556,119.202589040664,265.010490452304,4,1957,48.8333,12.9667,"48.8333 12.9667","1950-1960",98
1584,93.0266612658948,362.291228357214,4,1958,48.8333,12.9667,"48.8333 12.9667","1950-1960",125
2256,105.829041340878,386.647234407942,4,1959,48.8333,12.9667,"48.8333 12.9667","1950-1960",96
2400,107.176293734148,331.865849844594,4,1960,48.8333,12.9667,"48.8333 12.9667","1950-1960",102
3144,136.036463087722,325.899189270101,5,1951,49.9833,7.96667,"49.9833 7.96667","1950-1960",110
2700,128.638755606963,524.105312524997,5,1952,49.9833,7.96667,"49.9833 7.96667","1950-1960",106
2376,113.143977006428,518.706738400469,5,1953,49.9833,7.96667,"49.9833 7.96667","1950-1960",90
2700,122.571080143977,344.653226115488,5,1954,49.9833,7.96667,"49.9833 7.96667","1950-1960",97
1884,105.318197701363,322.690489429648,5,1955,49.9833,7.96667,"49.9833 7.96667","1950-1960",110
2088,104.046115794955,384.614238080638,5,1956,49.9833,7.96667,"49.9833 7.96667","1950-1960",103
2736,135.309071500973,346.826981097501,5,1957,49.9833,7.96667,"49.9833 7.96667","1950-1960",86
2412,115.616289962241,360.382175469708,5,1958,49.9833,7.96667,"49.9833 7.96667","1950-1960",119
2772,130.960944911143,453.777250298599,5,1960,49.9833,7.96667,"49.9833 7.96667","1950-1960",96
1968,111.187748167614,311.84456833079,6,1951,48.5833,12.1833,"48.5833 12.1833","1950-1960",111
2160,111.034426433876,404.802533783391,6,1952,48.5833,12.1833,"48.5833 12.1833","1950-1960",108
1680,101.276373578385,394.751499579447,6,1953,48.5833,12.1833,"48.5833 12.1833","1950-1960",111
2064,109.286903980547,243.648895091132,6,1954,48.5833,12.1833,"48.5833 12.1833","1950-1960",119
1692,99.5240494436987,252.033309761653,6,1955,48.5833,12.1833,"48.5833 12.1833","1950-1960",121
1992,100.949828701479,300.546294628754,6,1956,48.5833,12.1833,"48.5833 12.1833","1950-1960",120
2616,129.232339993459,270.240437810046,6,1957,48.5833,12.1833,"48.5833 12.1833","1950-1960",104
1860,106.450278827783,377.117490017307,6,1958,48.5833,12.1833,"48.5833 12.1833","1950-1960",120
2448,112.979283285522,400.07073817042,6,1959,48.5833,12.1833,"48.5833 12.1833","1950-1960",95
2400,110.280596369134,363.536733382804,6,1960,48.5833,12.1833,"48.5833 12.1833","1950-1960",100
2052,114.73349559611,286.153014996555,7,1951,49.1667,11.45,"49.1667 11.45","1950-1960",111
2100,106.944204412312,391.548717268922,7,1952,49.1667,11.45,"49.1667 11.45","1950-1960",108
1908,104.425043310695,403.32060400836,7,1953,49.1667,11.45,"49.1667 11.45","1950-1960",100
2148,110.873567361487,235.754267670775,7,1954,49.1667,11.45,"49.1667 11.45","1950-1960",121
1668,99.3574869626884,238.242990941861,7,1955,49.1667,11.45,"49.1667 11.45","1950-1960",120
1968,101.901801829093,277.045016494056,7,1956,49.1667,11.45,"49.1667 11.45","1950-1960",126
2640,124.218920182019,248.992387130854,7,1957,49.1667,11.45,"49.1667 11.45","1950-1960",109
2004,108.390438593618,331.597833595539,7,1958,49.1667,11.45,"49.1667 11.45","1950-1960",127
2424,115.268949125969,390.337288623849,7,1959,49.1667,11.45,"49.1667 11.45","1950-1960",102
2412,113.557028359784,349.044015780237,7,1960,49.1667,11.45,"49.1667 11.45","1950-1960",106
3372,140.81259443272,348.116578859362,8,1951,51.5833,6.25,"51.5833 6.25","1950-1960",111
3024,137.907371682403,585.576442684142,8,1952,51.5833,6.25,"51.5833 6.25","1950-1960",101
2640,119.872688795641,467.727559693512,8,1953,51.5833,6.25,"51.5833 6.25","1950-1960",102
2460,121.359226006456,391.237176503074,8,1954,51.5833,6.25,"51.5833 6.25","1950-1960",121
1980,112.794215664462,316.37076819363,8,1955,51.5833,6.25,"51.5833 6.25","1950-1960",110
2148,109.888216494237,379.372101136008,8,1956,51.5833,6.25,"51.5833 6.25","1950-1960",120
3024,136.401004867124,413.839965249896,8,1957,51.5833,6.25,"51.5833 6.25","1950-1960",92
2424,117.569593726878,380.759931611559,8,1958,51.5833,6.25,"51.5833 6.25","1950-1960",118
2376,114.386492632564,561.115872144608,8,1959,51.5833,6.25,"51.5833 6.25","1950-1960",100
2676,131.14017577073,501.649423246623,8,1960,51.5833,6.25,"51.5833 6.25","1950-1960",99
1980,109.122062992583,255.710267527158,9,1951,49.3167,12.75,"49.3167 12.75","1950-1960",113
1872,98.1305971860499,346.301052051065,9,1952,49.3167,12.75,"49.3167 12.75","1950-1960",106
1860,99.6142960471738,353.837790299151,9,1953,49.3167,12.75,"49.3167 12.75","1950-1960",95
1812,102.60655440466,200.596111075731,9,1954,49.3167,12.75,"49.3167 12.75","1950-1960",120
1608,95.7021582876448,208.875379537729,9,1955,49.3167,12.75,"49.3167 12.75","1950-1960",121
1644,93.0593336449278,245.771602563651,9,1956,49.3167,12.75,"49.3167 12.75","1950-1960",122
2472,117.865306446619,215.371738734351,9,1957,49.3167,12.75,"49.3167 12.75","1950-1960",103
1752,96.6280073648506,312.855209493636,9,1958,49.3167,12.75,"49.3167 12.75","1950-1960",123
2412,109.791356370786,325.400640884041,9,1959,49.3167,12.75,"49.3167 12.75","1950-1960",94
2364,109.20329159974,274.957974774971,9,1960,49.3167,12.75,"49.3167 12.75","1950-1960",102
2988,134.894084579595,323.673631690218,10,1951,49.7167,10.2167,"49.7167 10.2167","1950-1960",113
2304,119.125458762229,473.393689676317,10,1952,49.7167,10.2167,"49.7167 10.2167","1950-1960",104
2172,110.615087637501,485.765248932139,10,1953,49.7167,10.2167,"49.7167 10.2167","1950-1960",101
2304,118.789081240859,300.948709145566,10,1954,49.7167,10.2167,"49.7167 10.2167","1950-1960",118
1764,101.643196459336,311.410056272082,10,1955,49.7167,10.2167,"49.7167 10.2167","1950-1960",118
2040,102.081519515062,345.580412851642,10,1956,49.7167,10.2167,"49.7167 10.2167","1950-1960",115
2652,129.595964909129,310.498000126496,10,1957,49.7167,10.2167,"49.7167 10.2167","1950-1960",103
2220,111.761473290961,371.382173795926,10,1958,49.7167,10.2167,"49.7167 10.2167","1950-1960",123
2568,118.525953771968,470.631376913392,10,1959,49.7167,10.2167,"49.7167 10.2167","1950-1960",104
2508,123.108806545484,419.154084935709,10,1960,49.7167,10.2167,"49.7167 10.2167","1950-1960",100
2508,126.584366258669,317.532358572275,11,1951,49.5,10.8,"49.5 10.8","1950-1960",114
2148,113.54015971385,443.555417418838,11,1952,49.5,10.8,"49.5 10.8","1950-1960",108
2028,106.137486518947,453.882069766212,11,1953,49.5,10.8,"49.5 10.8","1950-1960",100
2220,116.160491972973,284.154687002759,11,1954,49.5,10.8,"49.5 10.8","1950-1960",114
1992,102.221079448301,310.197470290996,11,1956,49.5,10.8,"49.5 10.8","1950-1960",126
2652,126.80103565717,294.293199119965,11,1957,49.5,10.8,"49.5 10.8","1950-1960",100
2136,112.318735085014,364.658111352419,11,1958,49.5,10.8,"49.5 10.8","1950-1960",123
2688,118.909771813005,439.233513148772,11,1959,49.5,10.8,"49.5 10.8","1950-1960",100
2508,119.498177285123,401.366631196124,11,1960,49.5,10.8,"49.5 10.8","1950-1960",102
3012,134.144227960819,328.14425802003,12,1951,49.8833,10.0333,"49.8833 10.0333","1950-1960",114
2172,111.444282879074,480.618652302321,12,1953,49.8833,10.0333,"49.8833 10.0333","1950-1960",96
2388,117.144494422247,307.361831967004,12,1954,49.8833,10.0333,"49.8833 10.0333","1950-1960",118
1764,103.545412338743,304.458668692796,12,1955,49.8833,10.0333,"49.8833 10.0333","1950-1960",118
2052,101.49317242695,348.211107625747,12,1956,49.8833,10.0333,"49.8833 10.0333","1950-1960",117
2736,130.490983164534,314.895679354552,12,1957,49.8833,10.0333,"49.8833 10.0333","1950-1960",95
2292,112.163158081007,380.328776032994,12,1958,49.8833,10.0333,"49.8833 10.0333","1950-1960",119
2580,117.182810107139,498.330445677368,12,1959,49.8833,10.0333,"49.8833 10.0333","1950-1960",96
2544,122.747812214414,439.861436346642,12,1960,49.8833,10.0333,"49.8833 10.0333","1950-1960",98
2508,126.584366258669,317.532358572275,13,1951,49.3333,10.8,"49.3333 10.8","1950-1960",115
2148,113.54015971385,443.555417418838,13,1952,49.3333,10.8,"49.3333 10.8","1950-1960",112
2028,106.137486518947,453.882069766212,13,1953,49.3333,10.8,"49.3333 10.8","1950-1960",103
2220,116.160491972973,284.154687002759,13,1954,49.3333,10.8,"49.3333 10.8","1950-1960",124
1584,99.4330253322767,277.845355853065,13,1955,49.3333,10.8,"49.3333 10.8","1950-1960",121
1992,102.221079448301,310.197470290996,13,1956,49.3333,10.8,"49.3333 10.8","1950-1960",128
2652,126.80103565717,294.293199119965,13,1957,49.3333,10.8,"49.3333 10.8","1950-1960",118
2136,112.318735085014,364.658111352419,13,1958,49.3333,10.8,"49.3333 10.8","1950-1960",130
2688,118.909771813005,439.233513148772,13,1959,49.3333,10.8,"49.3333 10.8","1950-1960",105
2508,119.498177285123,401.366631196124,13,1960,49.3333,10.8,"49.3333 10.8","1950-1960",110
2184,118.779883175,311.848712508347,14,1951,48.4833,10.6667,"48.4833 10.6667","1950-1960",115
2316,114.241412010294,423.79134116541,14,1952,48.4833,10.6667,"48.4833 10.6667","1950-1960",101
1788,103.600402011947,421.856479565847,14,1953,48.4833,10.6667,"48.4833 10.6667","1950-1960",106
2100,116.790941518622,238.162013610933,14,1954,48.4833,10.6667,"48.4833 10.6667","1950-1960",114
1776,101.756692814313,275.907301039954,14,1955,48.4833,10.6667,"48.4833 10.6667","1950-1960",112
2004,103.253860099566,312.240078559283,14,1956,48.4833,10.6667,"48.4833 10.6667","1950-1960",113
2604,125.221815705089,272.643116278468,14,1957,48.4833,10.6667,"48.4833 10.6667","1950-1960",110
1992,107.094969485604,358.374738045866,14,1958,48.4833,10.6667,"48.4833 10.6667","1950-1960",115
2328,114.101749886979,401.752024111232,14,1959,48.4833,10.6667,"48.4833 10.6667","1950-1960",110
2484,118.708754873747,367.92976897502,14,1960,48.4833,10.6667,"48.4833 10.6667","1950-1960",116
1860,106.191938685966,254.438420348451,15,1951,49.3833,12.7167,"49.3833 12.7167","1950-1960",116
1824,97.0585647211437,345.890034015527,15,1952,49.3833,12.7167,"49.3833 12.7167","1950-1960",108
1812,97.9101544926336,368.944365995314,15,1953,49.3833,12.7167,"49.3833 12.7167","1950-1960",94
