"chillutah","chillports","gdd","siteslist","year","lat","long","lat.long","cc","lo"
2064,116.140512129008,3.21172609747605,1,1951,49.2667,8.75,"49.2667 8.75","1950-1960",84
1884,100.38135155961,23.2074880137498,1,1952,49.2667,8.75,"49.2667 8.75","1950-1960",106
1764,100.849551136089,0,1,1953,49.2667,8.75,"49.2667 8.75","1950-1960",79
1968,111.64917837691,12.5698664274519,1,1954,49.2667,8.75,"49.2667 8.75","1950-1960",106
1572,93.0839292789809,20.2375629830974,1,1955,49.2667,8.75,"49.2667 8.75","1950-1960",119
1968,104.889612409907,11.8394302986941,1,1956,49.2667,8.75,"49.2667 8.75","1950-1960",112
2496,120.894676556863,18.2586923206675,1,1957,49.2667,8.75,"49.2667 8.75","1950-1960",92
2220,112.387732041682,79.3328856762231,1,1958,49.2667,8.75,"49.2667 8.75","1950-1960",138
2208,115.58482290523,30.8326449372702,1,1959,49.2667,8.75,"49.2667 8.75","1950-1960",117
2544,116.367652107164,3.95218791336493,1,1960,49.2667,8.75,"49.2667 8.75","1950-1960",88
1308,82.3334898690427,2.08033053261023,2,1951,49.9167,11,"49.9167 11","1950-1960",97
1428,80.4279487639657,6.33097203394286,2,1952,49.9167,11,"49.9167 11","1950-1960",104
1728,94.6678291963654,1.22533547585982,2,1953,49.9167,11,"49.9167 11","1950-1960",92
1452,88.9771203004563,3.36590859513616,2,1954,49.9167,11,"49.9167 11","1950-1960",113
1512,85.467781464485,11.144553749587,2,1955,49.9167,11,"49.9167 11","1950-1960",120
1512,89.7768707243273,5.72818863198192,2,1956,49.9167,11,"49.9167 11","1950-1960",116
2064,102.581555977399,6.86841219839953,2,1957,49.9167,11,"49.9167 11","1950-1960",95
1740,98.9159156876536,0.53203371333785,2,1958,49.9167,11,"49.9167 11","1950-1960",118
1464,89.0063056954184,2.64078786217281,2,1959,49.9167,11,"49.9167 11","1950-1960",91
2064,94.8355272770506,0.413707167748491,2,1960,49.9167,11,"49.9167 11","1950-1960",97
1500,87.6799458708723,2.43436011272418,3,1951,50.15,10.4333,"50.15 10.4333","1950-1960",108
1452,83.9167641897968,5.04118436004458,3,1952,50.15,10.4333,"50.15 10.4333","1950-1960",102
1716,93.4559425107757,3.12205356696194,3,1953,50.15,10.4333,"50.15 10.4333","1950-1960",107
1464,90.6529637491104,4.14870015734113,3,1954,50.15,10.4333,"50.15 10.4333","1950-1960",110
