"chillutah","chillports","gdd","siteslist","year","lat","long","lat.long","cc","lo"
2496,136.760274979727,3.21172609747605,1,1951,49.2667,8.75,"49.2667 8.75","1950-1960",84
2388,122.357791797284,23.2074880137498,1,1952,49.2667,8.75,"49.2667 8.75","1950-1960",106
2448,124.171723177005,0,1,1953,49.2667,8.75,"49.2667 8.75","1950-1960",79
2424,131.607335774568,12.5698664274519,1,1954,49.2667,8.75,"49.2667 8.75","1950-1960",106
1956,111.060372913233,20.2375629830974,1,1955,49.2667,8.75,"49.2667 8.75","1950-1960",119
2340,123.431977194771,11.8394302986941,1,1956,49.2667,8.75,"49.2667 8.75","1950-1960",112
2940,141.479452747684,18.2586923206675,1,1957,49.2667,8.75,"49.2667 8.75","1950-1960",92
2592,130.067456798604,2.58595943072356,1,1958,49.2667,8.75,"49.2667 8.75","1950-1960",138
2772,137.790227617144,30.8326449372702,1,1959,49.2667,8.75,"49.2667 8.75","1950-1960",117
3084,137.827829779376,3.95218791336493,1,1960,49.2667,8.75,"49.2667 8.75","1950-1960",88
1656,100.847231015638,2.08033053261023,2,1951,49.9167,11,"49.9167 11","1950-1960",97
1944,102.416065111256,6.33097203394286,2,1952,49.9167,11,"49.9167 11","1950-1960",104
2316,116.298559858712,1.22533547585982,2,1953,49.9167,11,"49.9167 11","1950-1960",92
1764,106.419080460838,3.36590859513616,2,1954,49.9167,11,"49.9167 11","1950-1960",113
1884,102.112831154342,11.144553749587,2,1955,49.9167,11,"49.9167 11","1950-1960",120
1800,106.559639627657,5.72818863198192,2,1956,49.9167,11,"49.9167 11","1950-1960",116
2376,119.664201320066,6.86841219839953,2,1957,49.9167,11,"49.9167 11","1950-1960",95
2040,115.746012666213,0.53203371333785,2,1958,49.9167,11,"49.9167 11","1950-1960",118
1932,109.123585847969,2.64078786217281,2,1959,49.9167,11,"49.9167 11","1950-1960",91
2400,113.809308192843,0.413707167748491,2,1960,49.9167,11,"49.9167 11","1950-1960",97
1836,105.613579332264,2.43436011272418,3,1951,50.15,10.4333,"50.15 10.4333","1950-1960",108
1932,105.4365592021,5.04118436004458,3,1952,50.15,10.4333,"50.15 10.4333","1950-1960",102
2208,114.00351477051,3.12205356696194,3,1953,50.15,10.4333,"50.15 10.4333","1950-1960",107
1788,108.403884605665,4.14870015734113,3,1954,50.15,10.4333,"50.15 10.4333","1950-1960",110
1848,102.018238862406,2.3303081120818,3,1955,50.15,10.4333,"50.15 10.4333","1950-1960",114
1980,110.898885250673,9.23804739870057,3,1956,50.15,10.4333,"50.15 10.4333","1950-1960",120
2592,127.033032792944,14.3328925787583,3,1957,50.15,10.4333,"50.15 10.4333","1950-1960",123
2088,112.357049927845,1.43784639249752,3,1958,50.15,10.4333,"50.15 10.4333","1950-1960",128
2028,113.060952137956,15.5668735695761,3,1959,50.15,10.4333,"50.15 10.4333","1950-1960",112
2520,120.548719650962,3.54355423142476,3,1960,50.15,10.4333,"50.15 10.4333","1950-1960",100
2160,124.090910612509,3.43003213826302,4,1951,49.4167,9.28333,"49.4167 9.28333","1950-1960",108
2184,114.541669118139,2.72621968974671,4,1952,49.4167,9.28333,"49.4167 9.28333","1950-1960",101
