"chillport","siteslist","year","lat","long","lat.long","winter","lo","cc","mat","num.years","chillutah"
152.61220747202,6,1957,48.5667,11.75,"48.5667 11.75","0",138,"apre",10.9274722832245,7,431.677859747649
138.880247051161,7,1951,50.1667,7.55,"50.1667 7.55","0",120,"apre",10.8286810766414,10,414.838575431545
148.879510571785,7,1952,50.1667,7.55,"50.1667 7.55","0",105,"apre",12.6843953208773,10,673.344287499519
133.612080677434,7,1953,50.1667,7.55,"50.1667 7.55","0",106,"apre",12.4805491715874,10,535.408573071872
153.407800604514,7,1954,50.1667,7.55,"50.1667 7.55","0",122,"apre",11.0802195325576,10,568.516431326712
128.110843297962,7,1955,50.1667,7.55,"50.1667 7.55","0",121,"apre",10.8328569007239,10,736.452142473443
123.708454315077,7,1956,50.1667,7.55,"50.1667 7.55","0",125,"apre",10.157142630113,10,719.817858719533
148.682719645008,7,1957,50.1667,7.55,"50.1667 7.55","0",112,"apre",11.1952744750408,10,431.677859747649
130.105287293661,7,1958,50.1667,7.55,"50.1667 7.55","0",126,"apre",10.9654942603966,10,581.944287602657
145.647300233087,7,1959,50.1667,7.55,"50.1667 7.55","0",105,"apre",12.7983513622862,10,493.051431073674
146.58557473624,7,1960,50.1667,7.55,"50.1667 7.55","0",109,"apre",12.3793403826408,10,486.039287918247
144.303533813004,8,1952,49.0833,9.88333,"49.0833 9.88333","0",112,"apre",12.7719777365021,8,673.344287499519
148.531612724998,8,1954,49.0833,9.88333,"49.0833 9.88333","0",126,"apre",11.0093404132627,8,568.516431326712
140.053759533008,8,1955,49.0833,9.88333,"49.0833 9.88333","0",115,"apre",10.6073624002696,8,736.452142473443
124.803495820102,8,1956,49.0833,9.88333,"49.0833 9.88333","0",118,"apre",10.1742854868727,8,719.817858719533
147.819353364699,8,1957,49.0833,9.88333,"49.0833 9.88333","0",102,"apre",10.9837360182306,8,431.677859747649
151.996558907871,8,1958,49.0833,9.88333,"49.0833 9.88333","0",125,"apre",11.0961535981355,8,581.944287602657
135.544974151011,8,1959,49.0833,9.88333,"49.0833 9.88333","0",107,"apre",12.3927469757478,8,493.051431073674
151.270786419264,8,1960,49.0833,9.88333,"49.0833 9.88333","0",101,"apre",12.2142854412752,8,486.039287918247
142.516728266064,9,1952,49.85,11.6,"49.85 11.6","0",109,"apre",11.9582414909542,9,673.344287499519
134.304948042491,9,1953,49.85,11.6,"49.85 11.6","0",102,"apre",12.5086810390905,9,535.408573071872
141.849358352998,9,1954,49.85,11.6,"49.85 11.6","0",130,"apre",10.7321975623145,9,568.516431326712
130.761730012806,9,1955,49.85,11.6,"49.85 11.6","0",125,"apre",10.0020876885238,9,736.452142473443
146.109131418292,9,1956,49.85,11.6,"49.85 11.6","0",130,"apre",9.60186791724965,9,719.817858719533
149.282799315085,9,1957,49.85,11.6,"49.85 11.6","0",120,"apre",10.7729667921725,9,431.677859747649
140.286334129172,9,1958,49.85,11.6,"49.85 11.6","0",131,"apre",10.539340423768,9,581.944287602657
147.960481718104,9,1959,49.85,11.6,"49.85 11.6","0",105,"apre",12.0368129177694,9,493.051431073674
158.188845287514,9,1960,49.85,11.6,"49.85 11.6","0",124,"apre",11.6340656740243,9,486.039287918247
127.363080588497,10,1955,51.6333,6.18333,"51.6333 6.18333","0",111,"apre",11.7913184177622,5,736.452142473443
150.194347609772,10,1956,51.6333,6.18333,"51.6333 6.18333","0",121,"apre",11.1171426086554,5,719.817858719533
144.301923609444,10,1958,51.6333,6.18333,"51.6333 6.18333","0",123,"apre",12.0451645659344,5,581.944287602657
134.392994910933,10,1959,51.6333,6.18333,"51.6333 6.18333","0",116,"apre",14.0926370476424,5,493.051431073674
130.175368272966,10,1960,51.6333,6.18333,"51.6333 6.18333","0",110,"apre",13.6467029916757,5,486.039287918247
145.886336584574,11,1955,48.55,13.2333,"48.55 13.2333","0",126,"apre",10.9982415124119,5,736.452142473443
125.083166060492,11,1956,48.55,13.2333,"48.55 13.2333","0",122,"apre",10.9173623933406,5,719.817858719533
144.286864743874,11,1957,48.55,13.2333,"48.55 13.2333","0",116,"apre",11.908790942609,5,431.677859747649
127.920846600664,11,1958,48.55,13.2333,"48.55 13.2333","0",126,"apre",12.2250546718037,5,581.944287602657
147.027938639367,11,1959,48.55,13.2333,"48.55 13.2333","0",104,"apre",12.7001096062403,5,493.051431073674
122.78156310673,12,1955,51.35,7.11667,"51.35 7.11667","0",120,"apre",11.7636261106888,6,736.452142473443
149.180659971416,12,1956,51.35,7.11667,"51.35 7.11667","0",117,"apre",10.9595601945952,6,719.817858719533
144.052298148648,12,1957,51.35,7.11667,"51.35 7.11667","0",85,"apre",12.3427469768654,6,431.677859747649
147.312929484163,12,1958,51.35,7.11667,"51.35 7.11667","0",121,"apre",11.7851645717459,6,581.944287602657
139.369502348515,12,1959,51.35,7.11667,"51.35 7.11667","0",103,"apre",13.9695601273164,6,493.051431073674
139.960069176799,12,1960,51.35,7.11667,"51.35 7.11667","0",109,"apre",13.0089008081295,6,486.039287918247
149.76277838291,13,1956,52.0833,8.51667,"52.0833 8.51667","0",121,"apre",10.5564832805277,5,719.817858719533
143.669973658121,13,1957,52.0833,8.51667,"52.0833 8.51667","0",101,"apre",12.0303294014308,5,431.677859747649
134.227536238835,13,1958,52.0833,8.51667,"52.0833 8.51667","0",122,"apre",11.5769228181587,5,581.944287602657
138.372421982219,13,1959,52.0833,8.51667,"52.0833 8.51667","0",98,"apre",13.6564832112373,5,493.051431073674
149.320121039208,13,1960,52.0833,8.51667,"52.0833 8.51667","0",98,"apre",12.8437359766564,5,486.039287918247
124.490967462468,14,1956,49.1,11.8167,"49.1 11.8167","0",124,"apre",10.4690107550104,5,719.817858719533
146.472353543869,14,1957,49.1,11.8167,"49.1 11.8167","0",129,"apre",11.3806590862818,5,431.677859747649
142.002600136195,14,1958,49.1,11.8167,"49.1 11.8167","0",124,"apre",11.3261535929946,5,581.944287602657
141.660625591311,14,1959,49.1,11.8167,"49.1 11.8167","0",102,"apre",12.6536260907958,5,493.051431073674
145.567037263803,14,1960,49.1,11.8167,"49.1 11.8167","0",108,"apre",12.610878839004,5,486.039287918247
148.868066083871,1,2001,49.0833,9.15,"49.0833 9.15","0",93,"post",13.8412084818337,11,487.927144819338
145.018237428089,1,2002,49.0833,9.15,"49.0833 9.15","0",93,"post",14.7865930760873,11,353.352859702227
124.307377586093,1,2003,49.0833,9.15,"49.0833 9.15","0",102,"post",15.9973622797937,11,543.237145842186
133.932110789277,1,2004,49.0833,9.15,"49.0833 9.15","0",96,"post",13.5803293667856,11,546.715001422513
135.865248808444,1,2005,49.0833,9.15,"49.0833 9.15","0",102,"post",14.3913183596476,11,593.198572267113
