"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo"
2064,116.140512129008,3.21172609747605,0.1074193524377,1,1951,49.2667,8.75,"49.2667 8.75","1950-1960",84
1884,100.38135155961,23.1877432562023,3.57354830722174,1,1952,49.2667,8.75,"49.2667 8.75","1950-1960",106
1764,100.849551136089,0.111803050328023,-0.321935476675149,1,1953,49.2667,8.75,"49.2667 8.75","1950-1960",79
1968,111.64917837691,12.5698664274519,3.30387089389466,1,1954,49.2667,8.75,"49.2667 8.75","1950-1960",106
1572,93.0839292789809,11.4678888152718,2.34838704428365,1,1955,49.2667,8.75,"49.2667 8.75","1950-1960",119
1968,104.889612409907,11.358953811426,2.37354833404383,1,1956,49.2667,8.75,"49.2667 8.75","1950-1960",112
2496,120.894676556863,18.2586923206675,3.93161281534741,1,1957,49.2667,8.75,"49.2667 8.75","1950-1960",92
2220,112.387732041682,78.4189637676415,6.78451597738651,1,1958,49.2667,8.75,"49.2667 8.75","1950-1960",138
2208,115.58482290523,20.9280480164685,4.44516119096548,1,1959,49.2667,8.75,"49.2667 8.75","1950-1960",117
2544,116.367652107164,5.19787534625153,2.84903219438368,1,1960,49.2667,8.75,"49.2667 8.75","1950-1960",88
1308,82.3334898690427,2.08033053261023,0.168387093010449,2,1951,49.9167,11,"49.9167 11","1950-1960",97
1428,80.4279487639657,6.33097203394286,0.896774173503922,2,1952,49.9167,11,"49.9167 11","1950-1960",104
1728,94.6678291963654,1.22533547585982,-0.756451595995215,2,1953,49.9167,11,"49.9167 11","1950-1960",92
1452,88.9771203004563,3.25326811678985,1.48354835393688,2,1954,49.9167,11,"49.9167 11","1950-1960",113
1512,85.467781464485,8.55912930920145,1.64612899546421,2,1955,49.9167,11,"49.9167 11","1950-1960",120
1512,89.7768707243273,5.72818863198192,0.866451593536523,2,1956,49.9167,11,"49.9167 11","1950-1960",116
2064,102.581555977399,6.86841219839953,2.94806445023466,2,1957,49.9167,11,"49.9167 11","1950-1960",95
1740,98.9159156876536,0.492533103083891,0.389999991282821,2,1958,49.9167,11,"49.9167 11","1950-1960",118
1464,89.0063056954184,2.64078786217281,1.48516125712664,2,1959,49.9167,11,"49.9167 11","1950-1960",91
2064,94.8355272770506,0.00921027766929444,0.0232258059324757,2,1960,49.9167,11,"49.9167 11","1950-1960",97
1500,87.6799458708723,0.516511167039065,-0.246129026756652,3,1951,50.15,10.4333,"50.15 10.4333","1950-1960",108
1452,83.9167641897968,5.04118436004458,0.864516109708817,3,1952,50.15,10.4333,"50.15 10.4333","1950-1960",102
1716,93.4559425107757,3.12205356696194,1.75935479938503,3,1953,50.15,10.4333,"50.15 10.4333","1950-1960",107
1464,90.6529637491104,4.11187519285789,1.38870964637927,3,1954,50.15,10.4333,"50.15 10.4333","1950-1960",110
1524,86.2708664625059,2.12315548259878,0.766451595771697,3,1955,50.15,10.4333,"50.15 10.4333","1950-1960",114
1668,93.4129479084276,9.22883712103128,1.5961289965818,3,1956,50.15,10.4333,"50.15 10.4333","1950-1960",120
2148,108.050619937333,7.72282259718213,2.64967736012993,3,1957,50.15,10.4333,"50.15 10.4333","1950-1960",123
