"chillutah1","siteslist","year","lat","long","lat.long","winter","lo","num.years","cc","mat1","chillutah2","mat2","chillutah3","mat3","chillutah4","mat4","chillutah5","mat5"
2484,1,1950,49.75,9.31667,"49.75 9.31667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2844,1,1951,49.75,9.31667,"49.75 9.31667",0,110,5,"apre",11.4912085343603,NA,NA,NA,NA,NA,NA,NA,NA
2268,1,1952,49.75,9.31667,"49.75 9.31667",0,105,5,"apre",13.0029667423281,NA,NA,NA,NA,NA,NA,NA,NA
2244,1,1953,49.75,9.31667,"49.75 9.31667",0,95,5,"apre",12.55109862056,NA,NA,NA,NA,NA,NA,NA,NA
2388,1,1954,49.75,9.31667,"49.75 9.31667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1716,1,1955,49.75,9.31667,"49.75 9.31667",0,145,5,"apre",10.721428331786,NA,NA,NA,NA,NA,NA,NA,NA
2100,1,1956,49.75,9.31667,"49.75 9.31667",0,110,5,"apre",10.5141755891657,NA,NA,NA,NA,NA,NA,NA,NA
2772,1,1957,49.75,9.31667,"49.75 9.31667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2208,1,1958,49.75,9.31667,"49.75 9.31667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2760,1,1959,49.75,9.31667,"49.75 9.31667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2628,1,1960,49.75,9.31667,"49.75 9.31667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2556,2,1950,49.9833,7.96667,"49.9833 7.96667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3168,2,1951,49.9833,7.96667,"49.9833 7.96667",0,110,9,"apre",12.2965931317431,NA,NA,NA,NA,NA,NA,NA,NA
2784,2,1952,49.9833,7.96667,"49.9833 7.96667",0,106,9,"apre",14.1676919910197,NA,NA,NA,NA,NA,NA,NA,NA
2412,2,1953,49.9833,7.96667,"49.9833 7.96667",0,90,9,"apre",14.051757927677,NA,NA,NA,NA,NA,NA,NA,NA
2652,2,1954,49.9833,7.96667,"49.9833 7.96667",0,97,9,"apre",12.6428568602673,NA,NA,NA,NA,NA,NA,NA,NA
1884,2,1955,49.9833,7.96667,"49.9833 7.96667",0,110,9,"apre",12.1916480791438,NA,NA,NA,NA,NA,NA,NA,NA
2088,2,1956,49.9833,7.96667,"49.9833 7.96667",0,103,9,"apre",11.7748349016471,NA,NA,NA,NA,NA,NA,NA,NA
2700,2,1957,49.9833,7.96667,"49.9833 7.96667",0,86,9,"apre",12.5762634551623,NA,NA,NA,NA,NA,NA,NA,NA
2424,2,1958,49.9833,7.96667,"49.9833 7.96667",0,119,9,"apre",12.1946151120445,NA,NA,NA,NA,NA,NA,NA,NA
2628,2,1959,49.9833,7.96667,"49.9833 7.96667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2796,2,1960,49.9833,7.96667,"49.9833 7.96667",0,96,9,"apre",13.5798898063559,NA,NA,NA,NA,NA,NA,NA,NA
2412,3,1950,50,8.71667,"50 8.71667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3132,3,1951,50,8.71667,"50 8.71667",0,109,10,"apre",12.8607689433086,NA,NA,NA,NA,NA,NA,NA,NA
2700,3,1952,50,8.71667,"50 8.71667",0,103,10,"apre",14.6247249478372,NA,NA,NA,NA,NA,NA,NA,NA
2232,3,1953,50,8.71667,"50 8.71667",0,93,10,"apre",14.4410985783152,NA,NA,NA,NA,NA,NA,NA,NA
2544,3,1954,50,8.71667,"50 8.71667",0,113,10,"apre",13.1568128927355,NA,NA,NA,NA,NA,NA,NA,NA
1848,3,1955,50,8.71667,"50 8.71667",0,118,10,"apre",12.5942854327815,NA,NA,NA,NA,NA,NA,NA,NA
2136,3,1956,50,8.71667,"50 8.71667",0,115,10,"apre",12.2015381888128,NA,NA,NA,NA,NA,NA,NA,NA
2700,3,1957,50,8.71667,"50 8.71667",0,98,10,"apre",13.0619777300201,NA,NA,NA,NA,NA,NA,NA,NA
2304,3,1958,50,8.71667,"50 8.71667",0,120,10,"apre",12.7007689468849,NA,NA,NA,NA,NA,NA,NA,NA
2544,3,1959,50,8.71667,"50 8.71667",0,103,10,"apre",14.3499996792525,NA,NA,NA,NA,NA,NA,NA,NA
2724,3,1960,50,8.71667,"50 8.71667",0,99,10,"apre",14.1438458377066,NA,NA,NA,NA,NA,NA,NA,NA
2352,4,1950,49.5,10.8,"49.5 10.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2472,4,1951,49.5,10.8,"49.5 10.8",0,114,9,"apre",11.7089008371868,NA,NA,NA,NA,NA,NA,NA,NA
2112,4,1952,49.5,10.8,"49.5 10.8",0,108,9,"apre",13.1112084981504,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,1953,49.5,10.8,"49.5 10.8",0,100,9,"apre",13.1793403647594,NA,NA,NA,NA,NA,NA,NA,NA
2184,4,1954,49.5,10.8,"49.5 10.8",0,114,9,"apre",11.4975821605914,NA,NA,NA,NA,NA,NA,NA,NA
1596,4,1955,49.5,10.8,"49.5 10.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,4,1956,49.5,10.8,"49.5 10.8",0,126,9,"apre",10.6462634983012,NA,NA,NA,NA,NA,NA,NA,NA
2628,4,1957,49.5,10.8,"49.5 10.8",0,100,9,"apre",11.6182414985538,NA,NA,NA,NA,NA,NA,NA,NA
2112,4,1958,49.5,10.8,"49.5 10.8",0,123,9,"apre",11.6929667716089,NA,NA,NA,NA,NA,NA,NA,NA
2640,4,1959,49.5,10.8,"49.5 10.8",0,100,9,"apre",12.9665931167675,NA,NA,NA,NA,NA,NA,NA,NA
2544,4,1960,49.5,10.8,"49.5 10.8",0,102,9,"apre",13.0073623466254,NA,NA,NA,NA,NA,NA,NA,NA
2364,5,1950,49.8833,10.0333,"49.8833 10.0333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3000,5,1951,49.8833,10.0333,"49.8833 10.0333",0,114,9,"apre",12.0794502794538,NA,NA,NA,NA,NA,NA,NA,NA
2376,5,1952,49.8833,10.0333,"49.8833 10.0333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2172,5,1953,49.8833,10.0333,"49.8833 10.0333",0,96,9,"apre",13.5632964001334,NA,NA,NA,NA,NA,NA,NA,NA
2436,5,1954,49.8833,10.0333,"49.8833 10.0333",0,118,9,"apre",12.1683513763678,NA,NA,NA,NA,NA,NA,NA,NA
1776,5,1955,49.8833,10.0333,"49.8833 10.0333",0,118,9,"apre",11.5128568855247,NA,NA,NA,NA,NA,NA,NA,NA
2064,5,1956,49.8833,10.0333,"49.8833 10.0333",0,117,9,"apre",11.2393404081218,NA,NA,NA,NA,NA,NA,NA,NA
2736,5,1957,49.8833,10.0333,"49.8833 10.0333",0,95,9,"apre",12.0019777537129,NA,NA,NA,NA,NA,NA,NA,NA
2316,5,1958,49.8833,10.0333,"49.8833 10.0333",0,119,9,"apre",12.0194502807949,NA,NA,NA,NA,NA,NA,NA,NA
2556,5,1959,49.8833,10.0333,"49.8833 10.0333",0,96,9,"apre",13.7087909023758,NA,NA,NA,NA,NA,NA,NA,NA
2544,5,1960,49.8833,10.0333,"49.8833 10.0333",0,98,9,"apre",13.3401095919352,NA,NA,NA,NA,NA,NA,NA,NA
2448,6,1950,54.1667,10.05,"54.1667 10.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2748,6,1951,54.1667,10.05,"54.1667 10.05",0,119,9,"apre",10.8503294278059,NA,NA,NA,NA,NA,NA,NA,NA
2328,6,1952,54.1667,10.05,"54.1667 10.05",0,108,9,"apre",11.7980217143156,NA,NA,NA,NA,NA,NA,NA,NA
2688,6,1953,54.1667,10.05,"54.1667 10.05",0,113,9,"apre",12.483735984703,NA,NA,NA,NA,NA,NA,NA,NA
2244,6,1954,54.1667,10.05,"54.1667 10.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1776,6,1955,54.1667,10.05,"54.1667 10.05",0,122,9,"apre",9.86538439487609,NA,NA,NA,NA,NA,NA,NA,NA
2184,6,1956,54.1667,10.05,"54.1667 10.05",0,129,9,"apre",10.1091206531644,NA,NA,NA,NA,NA,NA,NA,NA
