"long","lat","winter","year","lat.long","mat","lo","num.years","cc"
12.9333,47.95,"0",1951,"47.95 12.9333",11.8692305039328,110,9,"apre"
11.4167,47.7167,"0",1951,"47.7167 11.4167",9.87241736175185,105,6,"apre"
9.63333,51.2833,"0",1951,"51.2833 9.63333",10.7373623973639,114,10,"apre"
12.6,48.8833,"0",1951,"48.8833 12.6",12.4619777434311,109,8,"apre"
11.1333,48.4667,"0",1951,"48.4667 11.1333",11.7436261111359,126,14,"apre"
14.3167,51.7833,"0",1951,"51.7833 14.3167",12.8494502622429,136,6,"apre"
8.91667,49.3333,"0",1952,"49.3333 8.91667",14.1253842996577,114,7,"apre"
11.4167,47.7167,"0",1952,"47.7167 11.4167",10.961538216529,132,6,"apre"
9.63333,51.2833,"0",1952,"51.2833 9.63333",12.249450275654,104,10,"apre"
12.6,48.8833,"0",1952,"48.8833 12.6",13.3767029977107,111,8,"apre"
11.1333,48.4667,"0",1952,"48.4667 11.1333",13.069560147433,123,14,"apre"
14.3167,51.7833,"0",1952,"51.7833 14.3167",13.5076920057719,121,6,"apre"
8.91667,49.3333,"0",1953,"49.3333 8.91667",13.5537359607866,92,7,"apre"
12.9333,47.95,"0",1953,"47.95 12.9333",12.5131865334953,112,9,"apre"
9.63333,51.2833,"0",1953,"51.2833 9.63333",12.4183513707799,92,10,"apre"
12.6,48.8833,"0",1953,"48.8833 12.6",13.4599996991456,114,8,"apre"
11.1333,48.4667,"0",1953,"48.4667 11.1333",12.6035162018059,118,14,"apre"
14.3167,51.7833,"0",1953,"51.7833 14.3167",14.4799996763468,121,6,"apre"
8.35,51.6667,"0",1954,"51.6667 8.35",11.42098875571,125,5,"apre"
12.9333,47.95,"0",1954,"47.95 12.9333",10.9637360186777,124,9,"apre"
9.63333,51.2833,"0",1954,"51.2833 9.63333",11.0218678855102,117,10,"apre"
12.6,48.8833,"0",1954,"48.8833 12.6",12.0274722586376,128,8,"apre"
11.1333,48.4667,"0",1954,"48.4667 11.1333",10.8728568998298,135,14,"apre"
8.1,48.1833,"0",1954,"48.1833 8.1",9.16890089396019,124,5,"apre"
9.4,51.0333,"0",1954,"51.0333 9.4",11.6852744640885,120,7,"apre"
8.91667,49.3333,"0",1955,"49.3333 8.91667",11.8698898445774,116,7,"apre"
8.35,51.6667,"0",1955,"51.6667 8.35",10.906593162812,122,5,"apre"
12.9333,47.95,"0",1955,"47.95 12.9333",11.021318434973,123,9,"apre"
9.63333,51.2833,"0",1955,"51.2833 9.63333",10.1404393337831,120,10,"apre"
12.6,48.8833,"0",1955,"48.8833 12.6",11.4576920515929,129,8,"apre"
11.1333,48.4667,"0",1955,"48.4667 11.1333",11.2532964517659,128,14,"apre"
8.1,48.1833,"0",1955,"48.1833 8.1",9.40846132816604,121,5,"apre"
9.4,51.0333,"0",1955,"51.0333 9.4",10.9969228311227,120,7,"apre"
14.3167,51.7833,"0",1955,"51.7833 14.3167",11.3782415039182,125,6,"apre"
8.35,51.6667,"0",1956,"51.6667 8.35",10.5563733904203,130,5,"apre"
12.9333,47.95,"0",1956,"47.95 12.9333",10.5985711916749,122,9,"apre"
9.63333,51.2833,"0",1956,"51.2833 9.63333",9.91923054751868,124,10,"apre"
11.1333,48.4667,"0",1956,"48.4667 11.1333",10.6465931686235,133,14,"apre"
8.1,48.1833,"0",1956,"48.1833 8.1",8.78076903450375,125,5,"apre"
9.4,51.0333,"0",1956,"51.0333 9.4",10.8976920641099,125,7,"apre"
14.3167,51.7833,"0",1956,"51.7833 14.3167",11.3406590871759,126,6,"apre"
8.91667,49.3333,"0",1957,"49.3333 8.91667",12.1786810464666,102,7,"apre"
8.35,51.6667,"0",1957,"51.6667 8.35",11.5375821596974,116,5,"apre"
12.9333,47.95,"0",1957,"47.95 12.9333",11.285494253244,112,9,"apre"
11.4167,47.7167,"0",1957,"47.7167 11.4167",9.00197782076813,124,6,"apre"
9.63333,51.2833,"0",1957,"51.2833 9.63333",10.9097799759276,104,10,"apre"
12.6,48.8833,"0",1957,"48.8833 12.6",12.1799997277558,115,8,"apre"
11.1333,48.4667,"0",1957,"48.4667 11.1333",11.2884612861448,126,14,"apre"
11.1333,48.4667,"0",1957,"48.4667 11.1333",11.2884612861448,126,14,"apre"
9.4,51.0333,"0",1957,"51.0333 9.4",11.6112085316781,115,7,"apre"
14.3167,51.7833,"0",1957,"51.7833 14.3167",12.6842854307698,122,6,"apre"
8.91667,49.3333,"0",1958,"49.3333 8.91667",12.0610986315123,120,7,"apre"
12.9333,47.95,"0",1958,"47.95 12.9333",11.8446151198676,121,9,"apre"
11.4167,47.7167,"0",1958,"47.7167 11.4167",9.83010967038981,130,6,"apre"
9.63333,51.2833,"0",1958,"51.2833 9.63333",10.6635162451683,122,10,"apre"
11.1333,48.4667,"0",1958,"48.4667 11.1333",11.7329667707148,126,14,"apre"
11.1333,48.4667,"0",1958,"48.4667 11.1333",11.7329667707148,126,14,"apre"
9.4,51.0333,"0",1958,"51.0333 9.4",11.3856041411163,124,7,"apre"
8.91667,49.3333,"0",1959,"49.3333 8.91667",13.7985711201493,94,7,"apre"
8.35,51.6667,"0",1959,"51.6667 8.35",12.963955754189,115,5,"apre"
12.9333,47.95,"0",1959,"47.95 12.9333",12.4316480737794,106,9,"apre"
11.4167,47.7167,"0",1959,"47.7167 11.4167",10.3448349336101,121,6,"apre"
9.63333,51.2833,"0",1959,"51.2833 9.63333",12.4254942277631,101,10,"apre"
12.6,48.8833,"0",1959,"48.8833 12.6",13.3074722300273,105,8,"apre"
11.1333,48.4667,"0",1959,"48.4667 11.1333",12.7224172980494,124,14,"apre"
11.1333,48.4667,"0",1959,"48.4667 11.1333",12.7224172980494,124,14,"apre"
