"long","lat","year","lat.long","mat","lo","num.years","cc"
8.48333,53.3333,1951,"53.3333 8.48333",3.9751684504739,123,10,"apre"
9.51667,51.3833,1951,"51.3833 9.51667",3.45471902390461,122,7,"apre"
10.05,54.1667,1951,"54.1667 10.05",3.3157302629663,119,9,"apre"
6.26667,50.5667,1951,"50.5667 6.26667",3.2673032977566,132,9,"apre"
10.4167,48.4333,1951,"48.4333 10.4167",3.92235946289023,120,10,"apre"
10.1667,50.1667,1951,"50.1667 10.1667",4.12067406519913,117,8,"apre"
9.35,50.5667,1952,"50.5667 9.35",3.7009999172762,108,9,"apre"
8.48333,53.3333,1952,"53.3333 8.48333",4.85277766930974,111,10,"apre"
9.7,49.3833,1952,"49.3833 9.7",4.52566656551013,109,9,"apre"
10.05,54.1667,1952,"54.1667 10.05",4.31966657011459,108,9,"apre"
6.26667,50.5667,1952,"50.5667 6.26667",4.40355545712842,115,9,"apre"
10.4167,48.4333,1952,"48.4333 10.4167",4.03822213196092,117,10,"apre"
10.1667,50.1667,1952,"50.1667 10.1667",4.46933323343595,105,8,"apre"
9.35,50.5667,1953,"50.5667 9.35",4.37179765509169,109,9,"apre"
8.48333,53.3333,1953,"53.3333 8.48333",4.89887629499596,108,10,"apre"
9.51667,51.3833,1953,"51.3833 9.51667",4.74247180410985,77,7,"apre"
9.7,49.3833,1953,"49.3833 9.7",4.94213472099535,106,9,"apre"
10.05,54.1667,1953,"54.1667 10.05",4.40842686775611,113,9,"apre"
10.4167,48.4333,1953,"48.4333 10.4167",4.27382012919178,125,10,"apre"
10.1667,50.1667,1953,"50.1667 10.1667",5.02550550564872,100,8,"apre"
9.61667,49.3667,1954,"49.3667 9.61667",3.16078644620485,122,5,"apre"
9.35,50.5667,1954,"50.5667 9.35",2.25022466880468,115,9,"apre"
8.48333,53.3333,1954,"53.3333 8.48333",2.72741566937459,125,10,"apre"
9.7,49.3833,1954,"49.3833 9.7",3.16078644620485,126,9,"apre"
10.2333,52.2333,1954,"52.2333 10.2333",2.56898870662357,122,6,"apre"
8.86667,48.8667,1954,"48.8667 8.86667",2.99820218017597,135,6,"apre"
6.26667,50.5667,1954,"50.5667 6.26667",2.89651678919039,137,9,"apre"
10.4167,48.4333,1954,"48.4333 10.4167",2.50449432604266,128,10,"apre"
10.1667,50.1667,1954,"50.1667 10.1667",2.90932577766813,122,8,"apre"
6.18333,51.6333,1955,"51.6333 6.18333",4.07730327965168,111,5,"apre"
9.35,50.5667,1955,"50.5667 9.35",1.42179772102933,119,9,"apre"
8.48333,53.3333,1955,"53.3333 8.48333",2.39202241844424,127,10,"apre"
9.51667,51.3833,1955,"51.3833 9.51667",1.56359547066889,120,7,"apre"
9.7,49.3833,1955,"49.3833 9.7",2.67393252450261,116,9,"apre"
10.2333,52.2333,1955,"52.2333 10.2333",1.77674153332044,119,6,"apre"
10.05,54.1667,1955,"54.1667 10.05",1.55561794275732,122,9,"apre"
8.86667,48.8667,1955,"48.8667 8.86667",2.91730330557971,129,6,"apre"
6.26667,50.5667,1955,"50.5667 6.26667",1.81449434146536,118,9,"apre"
10.4167,48.4333,1955,"48.4333 10.4167",2.16539321002666,117,10,"apre"
10.1667,50.1667,1955,"50.1667 10.1667",2.33101118385289,123,8,"apre"
9.61667,49.3667,1956,"49.3667 9.61667",0.136222219177418,118,5,"apre"
6.18333,51.6333,1956,"51.6333 6.18333",2.00644439959692,121,5,"apre"
9.35,50.5667,1956,"50.5667 9.35",-0.585666653575997,124,9,"apre"
8.48333,53.3333,1956,"53.3333 8.48333",0.776888871524069,124,10,"apre"
9.51667,51.3833,1956,"51.3833 9.51667",-0.545777765578694,110,7,"apre"
9.7,49.3833,1956,"49.3833 9.7",0.136222219177418,119,9,"apre"
10.2333,52.2333,1956,"52.2333 10.2333",-0.479999989271164,121,6,"apre"
10.05,54.1667,1956,"54.1667 10.05",0.24011110574421,129,9,"apre"
8.86667,48.8667,1956,"48.8667 8.86667",0.161333329727252,132,6,"apre"
6.26667,50.5667,1956,"50.5667 6.26667",-0.268999993987381,125,9,"apre"
10.4167,48.4333,1956,"48.4333 10.4167",-0.54088887679908,130,10,"apre"
10.1667,50.1667,1956,"50.1667 10.1667",0.242999994568527,123,8,"apre"
9.61667,49.3667,1957,"49.3667 9.61667",6.33224704947448,106,5,"apre"
9.35,50.5667,1957,"50.5667 9.35",5.64382009856989,113,9,"apre"
8.48333,53.3333,1957,"53.3333 8.48333",6.19269649079593,94,10,"apre"
9.51667,51.3833,1957,"51.3833 9.51667",5.95977514768752,111,7,"apre"
9.7,49.3833,1957,"49.3833 9.7",6.33224704947448,107,9,"apre"
10.05,54.1667,1957,"54.1667 10.05",5.10280887470738,116,9,"apre"
8.86667,48.8667,1957,"48.8667 8.86667",6.61606726784971,122,6,"apre"
6.26667,50.5667,1957,"50.5667 6.26667",6.00887627018553,114,9,"apre"
10.4167,48.4333,1957,"48.4333 10.4167",5.88022458766786,117,10,"apre"
10.1667,50.1667,1957,"50.1667 10.1667",6.34921334123009,97,8,"apre"
6.18333,51.6333,1958,"51.6333 6.18333",4.61224708791948,123,5,"apre"
9.35,50.5667,1958,"50.5667 9.35",1.66550558075058,127,9,"apre"
8.48333,53.3333,1958,"53.3333 8.48333",2.66213477195732,121,10,"apre"
9.51667,51.3833,1958,"51.3833 9.51667",2.06528085271378,108,7,"apre"
9.7,49.3833,1958,"49.3833 9.7",2.60224713284648,117,9,"apre"
10.2333,52.2333,1958,"52.2333 10.2333",2.81438195956557,121,6,"apre"
10.05,54.1667,1958,"54.1667 10.05",1.73662917466646,128,9,"apre"
8.86667,48.8667,1958,"48.8667 8.86667",2.85044937448974,132,6,"apre"
6.26667,50.5667,1958,"50.5667 6.26667",2.15404489567357,128,9,"apre"
10.4167,48.4333,1958,"48.4333 10.4167",2.08471905452649,124,10,"apre"
9.61667,49.3667,1959,"49.3667 9.61667",5.48112347299296,99,5,"apre"
6.18333,51.6333,1959,"51.6333 6.18333",6.83662906067257,116,5,"apre"
9.35,50.5667,1959,"50.5667 9.35",5.22280887202517,109,9,"apre"
8.48333,53.3333,1959,"53.3333 8.48333",5.57426953832671,100,10,"apre"
9.51667,51.3833,1959,"51.3833 9.51667",5.45157291185571,106,7,"apre"
9.7,49.3833,1959,"49.3833 9.7",5.48112347299296,94,9,"apre"
10.2333,52.2333,1959,"52.2333 10.2333",5.90629200281554,102,6,"apre"
10.05,54.1667,1959,"54.1667 10.05",5.16528078342338,105,9,"apre"
6.26667,50.5667,1959,"50.5667 6.26667",5.36797740810624,117,9,"apre"
10.4167,48.4333,1959,"48.4333 10.4167",4.73426955710218,121,10,"apre"
