"id","year","gdd_prince","gdd_liv"
"43.0070297862561 -121.330744698644 1980",1980,1092.00962867974,565.319697817267
"52.1506960902511 -71.0202908702195 1963",1963,832.152623424388,498.046661794349
"51.8198257071458 -122.333901263773 1957",1957,934.443101412558,631.598300615051
"30.7882053314829 -106.725990967825 1962",1962,930.642664987728,1158.17154679581
"55.9683064146695 -72.0847277808934 1974",1974,771.361266447963,678.493611455675
"30.2906688562542 -106.634946735576 1971",1971,847.642432687355,1175.68004063318
"31.0495046020822 -80.5522809270769 2007",2007,905.65059940637,NA
"45.9337766829061 -72.0817316696048 1958",1958,1164.44436570019,1086.72353713372
"42.1242696147307 -94.8929158598185 1979",1979,1308.19319915227,1341.48766671464
"30.0225361989337 -68.2923429831863 2001",2001,703.36423110865,NA
"30.8970854634454 -72.5324037205428 1993",1993,850.411243180382,NA
"55.5965814407063 -94.5744911301881 1955",1955,832.326234034858,1178.40210229126
"54.0364152282302 -96.7936113942415 1957",1957,864.408536662124,1011.50815553136
"44.0037069244224 -109.694869453087 1973",1973,1307.51847364838,315.502917264192
"39.6283595380138 -67.0528892520815 1955",1955,1717.70927943736,NA
"48.3119045013228 -95.9811697807163 1974",1974,1026.00636393443,1132.52347998265
"40.4817243995032 -80.1659398991614 1958",1958,1451.32179389348,1393.34766015475
"53.9426940354262 -89.1668804828078 2000",2000,1050.45523462894,954.552913242603
"33.6146282076763 -66.805585892871 1996",1996,1320.18126442598,NA
"37.9847271202363 -109.412311725318 1961",1961,1773.32267907287,1022.48035895577
"30.4990778580155 -101.992141501978 1996",1996,824.368602184532,1201.90152749907
"47.8895297769692 -77.3299376294017 1979",1979,1092.19265699582,913.250322913439
"34.2033262535675 -118.009827286005 1972",1972,1267.21372888527,1336.01773095685
"30.0793628789935 -100.175562892109 1982",1982,626.656006667766,1306.70603992164
"50.6224364116785 -87.8231442254037 2008",2008,1213.07080886005,863.517446190004
"59.4901022269109 -78.2271806336939 1955",1955,703.975630806839,948.28303618723
"49.8046903831896 -109.705707589164 2010",2010,1365.88392689992,934.699392247303
"34.320958070812 -123.891917355359 1962",1962,1247.42626969689,NA
"49.390569816947 -106.33093804121 1985",1985,1022.01578154654,852.245153235198
"46.9008601769769 -111.495196390897 1998",1998,1115.4155153697,626.928718815847
"30.5721924064385 -119.300624616444 1961",1961,803.91295920565,NA
"44.2224253445771 -119.154907660559 1981",1981,1238.38451238438,581.10265914345
"45.6555911622207 -76.2801297381521 2008",2008,1216.6548458859,1163.70840628581
"36.4155780123161 -92.2453295532614 1974",1974,1486.75440174923,1294.91064281829
"42.6264671347463 -105.932796215639 1996",1996,821.610022959146,868.233618530287
"37.2860874432989 -83.7050655763597 2013",2013,1703.90326476462,1484.15959158377
"38.6102495280305 -103.438003873453 1955",1955,1462.0172752127,1113.45828785743
"58.1155114429916 -107.373458119109 1994",1994,773.92138262507,829.238947175431
"53.6263546330511 -104.578479398042 2008",2008,1055.98634553435,997.778882301012
"49.7151815439987 -81.3654259499163 1974",1974,1021.06949736705,980.847706560736
"42.6852814853383 -99.9070281721652 2010",2010,829.580787851564,1326.66705556586
"51.6618300235517 -107.859385292977 1984",1984,1024.84930112373,1014.64883547291
