"","C_UTM","X","Y","AREA","BetPen","FagSyl"
"1","29SMD4",-9.2638983875,39.0614849589,1750.09611142,0,0
"2","29TNH1",-8.66730466535,43.1063199231,2382.16320461,0,0
"3","29TNH2",-8.6698108319,42.6577102258,2125.70346889,0,0
"4","29TNG1",-8.67181693704,42.2057118956,1902.56503062,0,0
"5","29TNG2",-8.67420448981,41.7562143152,1944.30980574,0,0
"6","29TNF1",-8.6775551377,41.3112929276,1518.04675728,0,0
"7","29TNE1",-8.68047750493,40.4078988768,1817.70438598,0,0
"8","29SNE2",-8.68357646936,39.9601729829,2269.61319516,0,0
"9","29SND1",-8.68597400278,39.5085754663,2519.09203005,0,0
"10","29SND2",-8.68769011863,39.0580566993,2459.42541911,0,0
"11","29SNC1",-8.69145951484,38.6094672653,2162.7083648,0,0
"12","29SNC2",-8.69318711984,38.1609151799,1678.29971331,0,0
"13","29SNB1",-8.69471910138,37.7139874434,1666.11746539,0,0
"14","29SNB2",-8.69836154046,37.2623519219,1783.11402109,0,0
"15","29TNJ4",-8.05208617978,43.5510797948,1764.98973362,0,0
"16","29TNH3",-8.05890623716,43.1029719327,2501.90943283,0,0
"17","29TNH4",-8.0657356444,42.6555492283,2451.79582698,0,0
"18","29TNG3",-8.07226970705,42.2044701981,2515.96585314,0,0
"19","29TNG4",-8.07540761009,41.7533884908,2470.74784107,0,0
"20","29TNF3",-8.08173048795,41.3085002413,2480.12568267,0,0
"21","29TNF4",-8.09394925316,40.8589949613,2513.94822299,0,0
"22","29TNE3",-8.09567236853,40.4071515308,2485.0674759,0,0
"23","29SNE4",-8.09973469389,39.9572983393,2500.14082604,0,0
"24","29SND3",-8.1078362421,39.5056246516,2512.66454291,0,0
"25","29SND4",-8.11224670458,39.053899681,2490.6890396,0,0
"26","29SNC3",-8.11896075641,38.6052258913,2473.82076524,0,0
"27","29SNC4",-8.12438101392,38.15991725,2454.67858397,0,0
"28","29SNB3",-8.13110399146,37.7117606932,2518.17209771,0,0
"29","29SNB4",-8.13937715282,37.2592795362,2284.0255057,0,0
"30","29TPJ2",-7.43780508871,43.5439365115,1945.95956803,0,0
"31","29TPH1",-7.45011045903,43.0947933628,2464.14246537,0,0
"32","29TPH2",-7.46154435661,42.6454389714,2450.81251884,0,1
"33","29TPG1",-7.4750223994,42.1993433194,2451.29739327,0,0
"34","29TPG2",-7.48022970233,41.74928786,2463.29942552,0,0
"35","29TPF1",-7.49000764751,41.298221697,2440.10483379,0,0
"36","29TPF2",-7.50080199461,40.8498052672,2480.04119059,0,0
"37","29TPE1",-7.51374648673,40.4036411429,2427.69454498,0,0
"38","29SPE2",-7.52201097525,39.9530456134,2476.28832343,0,0
"39","29SPD1",-7.53278412805,39.5009483336,2425.15908278,0,0
"40","29SPD2",-7.53981061196,39.0515073977,2476.50285967,0,0
"41","29SPC1",-7.54766029324,38.6008392781,2476.17433379,0,0
"42","29SPC2",-7.55721451751,38.1538623257,2444.35954384,0,0
"43","29SPB1",-7.5668625948,37.7044146386,2505.18743056,0,0
"44","29SPB2",-7.57890723167,37.252790113,1963.25314781,0,0
"45","29TPJ4",-6.82362149048,43.5325998204,1422.8539396,0,1
"46","29TPH3",-6.83829801916,43.0814308057,2538.38815137,0,1
"47","29TPH4",-6.85287978939,42.6308436789,2522.15208069,0,0
"48","29TPG3",-6.86567409142,42.1853812062,2504.03414342,0,0
"49","29TPG4",-6.88402356785,41.737616991,2544.8905246,0,0
"50","29TPF3",-6.89532925022,41.2886804719,2509.70001762,0,0
"51","29TPF4",-6.90796333977,40.8370148555,2547.75291762,0,0
"52","29TPE3",-6.92405500154,40.390727561,2460.00850503,0,1
"53","29SPE4",-6.93993481423,39.9432906365,2584.62185712,0,0
"54","29SPD3",-6.95458820459,39.492222672,2499.82323569,0,0
"55","29SPD4",-6.96755016306,39.0431936134,2492.52853563,0,0
"56","29SPC3",-6.97901410091,38.5923543842,2490.64489298,0,0
"57","29SPC4",-6.99026958134,38.1440445082,2458.37917979,0,0
"58","29SPB3",-7.00455580849,37.6946808203,2503.3846975,0,0
"59","29SPB4",-7.01909838291,37.2431697512,1546.12951301,0,0
"60","29TQJ2",-6.25165612055,43.5206926638,1268.56126678,0,1
"61","29TQH1",-6.26133893688,43.0675573516,2187.58648381,0,1
"62","29TQH2",-6.26768640167,42.6181290803,2257.64089242,0,0
"63","29TQG1",-6.27566622189,42.1670867865,2356.08583497,0,0
"64","29TQG2",-6.28430181443,41.7213116678,2395.63352271,0,0
"65","29TQF1",-6.29099198483,41.2776856517,2528.95999818,0,0
"66","29TQF2",-6.30136170473,40.8230246264,2655.55955884,0,0
"67","29TQE1",-6.30237035873,40.3712109499,2677.97371167,0,1
"68","29SQE2",-6.31795101312,39.9297047607,2762.02922278,0,0
"69","29SQD1",-6.32838092903,39.4768833161,2897.55100884,0,0
"70","29SQD2",-6.33714939647,39.0244161559,2956.56108265,0,0
"71","29SQC1",-6.34258679998,38.5754615892,3049.34577788,0,0
"72","29SQC2",-6.35204677007,38.1291517274,3081.33737515,0,0
"73","29SQB1",-6.35971885138,37.67894513,3225.08942112,0,0
"74","29SQB2",-6.4624187613,37.2339487395,2360.67556567,0,0
"75","29SQA3",-5.99870392928,36.7869513675,1758.00278033,0,0
"76","29SQA4",-5.99960519532,36.3396401368,1525.46087812,0,0
"77","30TTP4",-5.73188605036,43.5204143457,1373.79515238,0,1
"78","30TTN3",-5.72056532971,43.0695958395,2192.6484869,0,1
"79","30TUN1",-5.14561042403,43.0880926195,2448.33679107,0,1
"80","30TTN4",-5.71064724696,42.6187568159,2337.17971419,0,0
"81","30TTM3",-5.70206369003,42.1654862978,2404.7002965,0,0
"82","30TUN2",-5.12914857058,42.634403705,2537.60610233,0,1
"83","30TUM1",-5.11219606016,42.1797365935,2448.66066379,0,0
"84","30TTM4",-5.68951523383,41.7219341542,2419.47200244,0,0
"85","30TUM2",-5.09567991803,41.7324760679,2444.47986405,0,0
"86","30TTL3",-5.68171650494,41.2731419247,2600.05922459,0,0
"87","30TUL1",-5.08254639487,41.281503221,2504.99736999,0,0
"88","30TUL2",-5.06464946229,40.8350695462,2396.19573203,0,0
"90","30TUK1",-5.05123672521,40.3859444415,2538.25742953,0,1
"91","30TTL4",-5.67845022536,40.8230851691,2642.68136656,0,0
"93","30SUK2",-5.03950442873,39.9308221947,2491.15240297,0,0
"95","30SUJ1",-5.02412638592,39.4793579534,2512.80005595,0,0
"97","30SUJ2",-5.01492475093,39.0353930648,2446.69322696,0,0
"98","30STH3",-5.63816140349,38.57190605,3095.43706983,0,0
"99","30SUH1",-5.00120115555,38.5876158417,2538.07475743,0,0
"100","30STH4",-5.63610726219,38.1250339916,3094.20746793,0,0
"101","30SUH2",-4.98949515107,38.1353007733,2463.96111696,0,0
"102","30STG3",-5.63495602769,37.6810902936,3190.58679823,0,0
"103","30STG4",-5.53596437483,37.2393245497,2407.69264776,0,0
"104","30STF3",-5.523989735,36.793383751,2455.57798428,0,0
"105","30STF4",-5.50995239052,36.3444427907,2251.47210064,0,0
"106","30SUG1",-4.98624710864,37.6948009044,2463.13961486,0,0
"107","30SUG2",-4.97505482768,37.2504719943,2518.27630379,0,0
"108","30SUF1",-4.96567955755,36.7999893952,2531.9746723,0,0
"109","30TUN3",-4.53524344074,43.0943939189,2491.43056102,0,1
"110","30TUN4",-4.52518564244,42.641624687,2534.36267097,0,1
"111","30TUM3",-4.51059021911,42.1886548327,2506.73297003,0,0
"112","30TUM4",-4.49996298023,41.7410494791,2484.00339493,0,0
"113","30TUL3",-4.48743830491,41.2900386731,2521.86139561,0,0
"114","30TUL4",-4.47557431332,40.8410349856,2480.86541964,0,0
"115","30TUK3",-4.46829916394,40.3893239041,2520.85510129,0,1
"116","30SUK4",-4.45548001534,39.9399489488,2435.11948489,0,0
"117","30SUJ3",-4.44746208644,39.4931057149,2473.9743025,0,0
"118","30SUJ4",-4.43812736107,39.0439056718,2436.68070596,0,0
"119","30SUH3",-4.43426310942,38.5956695751,2471.19590528,0,0
"120","30SUH4",-4.42516893473,38.1448289858,2434.38021633,0,0
"121","30SUG3",-4.41939489566,37.7037194719,2378.65537393,0,0
"122","30SUG4",-4.4138338452,37.2563128664,2503.92042668,0,0
"123","30SUF3",-4.40641095174,36.8038350372,2006.92643377,0,0
"124","30TVN1",-3.92184403846,43.0972334859,2461.51598573,0,1
"125","30TVN2",-3.91340493792,42.6474083595,2532.61521486,0,1
"126","30TVM1",-3.90701802625,42.1949724853,2468.99365083,0,1
"127","30TVM2",-3.90003450339,41.7490351222,2447.56976317,0,0
"128","30TVL1",-3.88972799097,41.2972425648,2560.93301552,0,0
"129","30TVL2",-3.8852718068,40.8440733221,2461.10930118,0,0
"130","30TVK1",-3.88101790421,40.3972422342,2484.13808641,0,0
"131","30SVK2",-3.87238285407,39.9467682481,2504.19854404,0,0
"132","30SVJ1",-3.87129101599,39.4987927526,2466.02355953,0,0
"133","30SVJ2",-3.86663879902,39.0496325919,2513.77322974,0,0
"134","30SVH1",-3.8630503785,38.5986133968,2492.08758336,0,0
"135","30SVH2",-3.86106161327,38.1536417737,2465.40682113,0,0
"136","30SVG1",-3.85548006051,37.7051156493,2499.27831662,0,0
"137","30SVG2",-3.8549537182,37.2558435759,2508.32852907,0,0
"138","30SVF1",-3.84903247726,36.8093200806,1601.3797752,0,0
"139","30TVN3",-3.307557961,43.1018373705,2474.74714256,0,1
"140","30TVN4",-3.30668683428,42.6498945226,2537.34177189,0,1
"141","30TVM3",-3.30065752353,42.1977873941,2515.54948519,0,1
"142","30TVM4",-3.30028803116,41.7514734182,2453.43850892,0,0
"143","30TVL3",-3.29810934717,41.2995243819,2541.95567854,0,1
"144","30TVL4",-3.29278272115,40.8452076886,2461.27286661,0,0
"145","30TVK3",-3.29575227369,40.399606987,2451.24070261,0,1
"146","30SVK4",-3.29250595786,39.948485517,2516.91590179,0,0
"147","30SVJ3",-3.29196161803,39.5000877767,2409.35564142,0,0
"148","30SVJ4",-3.29117009943,39.0539254839,2511.38393351,0,0
"149","30SVH3",-3.2895149258,38.6027957633,2475.88326042,0,0
"150","30SVH4",-3.29037984127,38.1573031441,2450.71297251,0,0
"151","30SVG3",-3.29176660199,37.7085182952,2529.55732744,0,0
"152","30SVG4",-3.28947493832,37.2564585644,2478.18713113,0,0
"153","30SVF3",-3.29029832543,36.8132705137,1655.52181602,0,0
"154","30TWN1",-2.69394610508,43.0976005934,2515.7077874,0,1
"155","30TWN2",-2.69302837415,42.650054733,2498.09963357,0,1
"156","30TWM1",-2.69458661143,42.1988712133,2518.52224655,0,1
"157","3OTWM2",-2.69686401569,41.7484016388,2503.59938544,0,1
"158","30TWL1",-2.70085727389,41.2991006059,2524.0151523,0,1
"159","30TWL2",-2.70264843327,40.8474674476,2516.56066394,0,0
"160","30TWK1",-2.70305120189,40.3995353079,2517.49437929,0,1
"161","30SWK2",-2.70778035909,39.9487383095,2542.44517432,0,0
"162","30SWJ1",-2.71041554401,39.5023213884,2461.79521618,0,0
"163","30SWJ2",-2.71703337463,39.0565923301,2490.9204678,0,0
"164","30SWH1",-2.7176643381,38.6054750067,2485.67555528,0,0
"165","30SWH2",-2.71953704845,38.1569627932,2487.53818613,0,0
"166","30SWG1",-2.72494236324,37.7103912719,2470.92483424,0,0
"167","30SWG2",-2.728757267,37.2605835299,2510.95701959,0,0
"168","30SWF1",-2.72907764667,36.8144401137,1656.93705971,0,0
"169","30TWN3",-2.07665120262,43.0968039979,2443.84271169,1,1
"170","30TWN4",-2.08596497494,42.6466323685,2438.81205272,0,1
"171","30TWM3",-2.09047282586,42.1964243042,2505.02280515,0,1
"172","30TWM4",-2.09767432346,41.7468852976,2466.32872077,0,1
"173","30TWL3",-2.10447878086,41.2961972674,2486.0537935,0,0
"174","30TWL4",-2.11024187818,40.8477264088,2434.2025743,0,0
