"rowname","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","continent","climparam"
"betaTraitxForcing",1.52054202571702,0.233033580424717,9.85126910868237,-17.6597063636544,-4.90214246005638,1.60103699365559,8.12303916424545,20.6313333887734,1787.09380792576,1.00007271188183,"Europe","stv"
"betaTraitxPhoto",-2.27071000837316,0.255453542383743,9.9655910043603,-21.5579765485528,-8.98580417055766,-2.47856999122449,4.37283147147855,17.7679141728386,1521.88648367627,1.00203944624235,"Europe","stv"
"betaTraitxChill",0.779244440086283,0.212428553345585,9.80450983016846,-18.437773759484,-5.88674350772991,0.870418549914869,7.40413904223313,19.8985852962482,2130.22751287268,1.0004200654042,"Europe","stv"
"betaTraitxForcing",-1.3103713059922,0.0209343952817082,0.977602443599207,-3.28573751846071,-1.94752612103138,-1.30960856230445,-0.663143996382771,0.634406268513263,2180.73913034189,1.00119060081282,"N. America","stv"
"betaTraitxPhoto",-0.388505330084657,0.0261601862483471,1.24349356212953,-2.97974559762082,-1.16923730933546,-0.336161910981248,0.431750595312557,1.94650403651043,2259.46396324031,1.00147121466135,"N. America","stv"
"betaTraitxChill",1.2876636093863,0.111103321410572,2.98836094191864,-4.52545282924022,-0.738669566365362,1.26751611661256,3.2526606685154,7.19553675862645,723.455826174462,1.0027361533907,"N. America","stv"
"betaTraitxForcing",2.90592980723551,0.381424533204484,8.51282190595302,-13.775265420176,-2.83012614158044,2.79484361107309,8.6603288441174,20.3338095119722,498.115262218919,1.00582473760534,"Europe","gdd2lf"
"betaTraitxPhoto",0.22977377861733,0.332910060391861,8.5513642517684,-17.0006221219176,-5.42775628600597,0.372534029340161,5.82337057819283,17.2733271116662,659.807082105256,1.00452103889147,"Europe","gdd2lf"
"betaTraitxChill",3.51585920593316,0.32955780903686,8.82017200282131,-13.6874648899263,-2.60342433325427,3.65475423654225,9.59949181272454,20.282608460068,716.293310040368,1.00396492188969,"Europe","gdd2lf"
"betaTraitxForcing",-2.9883410809357,0.0310155817082285,1.53317337384009,-5.87493915470137,-4.02590116596685,-3.01881530371318,-2.01218509998186,0.0261613485020912,2443.5581298365,0.999996587498717,"N. America","gdd2lf"
"betaTraitxPhoto",-0.552902776183708,0.0424899359891043,1.91513276963372,-4.48737132064596,-1.73691230443053,-0.534449219693715,0.694253060246588,3.05290366191668,2031.54113937461,0.999973666483962,"N. America","gdd2lf"
"betaTraitxChill",-5.70060442664473,0.135628666407266,4.36593328304902,-14.4925356723192,-8.57352442235346,-5.71847217770195,-2.77320097088635,2.68007351629528,1036.21817807468,1.00113858884535,"N. America","gdd2lf"
