"rowname","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","continent","climparam"
"muForceSp",-6.86993876426402,0.0329378502153745,1.69636034668569,-10.1875173690557,-8.00355285863579,-6.90889539590426,-5.71840481861779,-3.50775504927388,2652.44094610991,0.999965266619266,"Europe","stv"
"sigmaForceSp",5.85690016084815,0.0187247548540508,1.16423066879631,3.92569217438405,5.02210075573671,5.75238827390428,6.56817635975188,8.39655981731914,3865.85704130548,0.999375162237734,"Europe","stv"
"muPhotoSp",-0.762929213841604,0.0318932592182678,1.65340419671613,-4.08968138228037,-1.8537627485526,-0.763154946195234,0.336232364636586,2.48671794408615,2687.57297812823,1.00065781310904,"Europe","stv"
"sigmaPhotoSp",5.454379514898,0.0224381122030083,1.18633343911066,3.55059454553857,4.60704537203823,5.33026998302455,6.14332829152312,8.14853010403289,2795.38038357243,0.999868067584598,"Europe","stv"
"muChillSp",-7.36819806372228,0.0465436607420131,2.82953170094668,-13.0906046942039,-9.12466814762576,-7.26143267420273,-5.57666922542872,-1.84847509698998,3695.79651207461,0.999711851226257,"Europe","stv"
"sigmaChillSp",10.9972894467673,0.080822799111571,3.21433361920359,5.80493316919161,8.65753705907174,10.6412524683563,12.9446424160334,18.2689841515547,1581.66362557577,1.00476785693714,"Europe","stv"
"muPhenoSp",32.9119436494684,0.0465618116362779,3.29998565143881,26.7034235796474,30.7013618756131,32.8258070658145,35.0712144168475,39.4790520705167,5023.01371422681,1.00074976538558,"Europe","stv"
"sigmaPhenoSp",14.1452312468827,0.0624958415627947,3.24322606572606,9.03298132457132,11.820527530455,13.7262576176854,16.0141195387221,21.5174110462601,2693.09827887214,1.00085022248481,"Europe","stv"
"betaTraitxForcing",3.47774043134431,0.216038692879086,9.77483319989795,-15.994063904764,-3.0779796144631,3.47586355826938,10.0041874395669,22.6369060407735,2047.17810733985,1.00055808627033,"Europe","stv"
"betaTraitxPhoto",-2.42475357720278,0.225513521328607,9.6886204621371,-21.1887341514568,-9.02394441634217,-2.47265139764097,4.24041830653457,16.4896969363089,1845.77480675305,1.00123597035899,"Europe","stv"
"betaTraitxChill",1.11251092542984,0.188688233290215,9.75246273995093,-18.5078777746134,-5.46269337302625,1.39828076689106,7.70864225562707,20.3611840427875,2671.4002554421,1.00123856992549,"Europe","stv"
