"min","max","complex","distance"
34.8130035400391,49.2605476379395,"Acer_pensylvanicum",14.4475440979004
25.54669615333,49.4010020778026,"Acer_rubrum",23.8543059244726
33.456827051803,49.4220963718856,"Acer_saccharum",15.9652693200826
19.4499369071999,47.9262736391695,"Fagus_grandifolia",28.4763367319695
30.7560983752196,49.0856449787245,"Quercus rubra",18.3295466035049
34.7778918914207,49.9502710742435,"Betula_alleghaniensis",15.1723791828228
33.1902038446098,48.702934158467,"Betula_lenta",15.5127303138572
35.0270015448154,68.5049807513066,"Betula_papyrifera",33.4779792064912
34.4879302978516,60.0691032409668,"Alnus rubra",25.5811729431152
37.914264642079,68.5448388493195,"Alnus_incana",30.6305742072405
32.8271874974437,57.0754608830985,"Corylus_cornuta",24.2482733856548
42.7104644775391,69.5793762207031,"Picea_glauca",26.8689117431641
18.8832298806521,55.4171363916659,"Pseudotsuga_menziesii",36.5339065110138
37.554699578865,51.5068916789965,"Fraxinus_nigra",13.9521921001315
34.808020842917,62.3117887714114,"Prunus_pensylvanica",27.5037679284943
35.1337235419391,49.993222785593,"Populus_grandidentata",14.8594992436539
