"diffbefore.after","precc.sens","postcc.sens","var.lo.precc","var.lo.postcc","degwarm"
-3.83041909755302,-3.39341472877645,0.437004368776573,6.4,4,1
1.31159092587397,-1.83131993140118,-3.14291085727515,6.4,1.6,1
-2.72518931241771,-5.92171961852305,-3.19653030610534,8.4,4.4,1
-2.12120240420362,-4.59241169394597,-2.47120928974235,6.5,4.4,1
-0.0244404449578095,-4.27691980781752,-4.25247936285971,6.4,8.1,1
-5.85010149419233,-6.08347215148392,-0.233370657291587,6.9,2.1,1
-1.39396462720172,-3.89181883081175,-2.49785420361003,4.1,4.5,1
-4.23976255503165,-5.97013593401535,-1.7303733789837,10.4,2.4,1
3.1305972369525,-1.61448116024228,-4.74507839719478,4.1,4.5,1
-0.960013343311843,-4.15777075002566,-3.19775740671381,10.1,8.9,1
0.365467868229972,-1.92384779050758,-2.28931565873755,6.5,2.4,1
4.29389406590174,-0.280341391567353,-4.5742354574691,2.4,4.4,1
-2.77893902594913,-4.93604261467703,-2.1571035887279,4.9,2.1,1
2.75765972666962,-0.996279582594984,-3.7539393092646,3.6,8.1,1
2.7978967726946,-4.17274324170842,-6.97064001440302,8.5,9.6,1
-3.27263285485953,-3.96759580091631,-0.694962946056775,6.5,1.6,1
-1.9897106614227,-2.15242273428418,-0.162712072861483,2.4,4.9,1
2.0338555034133,-2.7256138339177,-4.759469337331,6.5,4.5,1
1.17523828715068,-4.4625292912486,-5.63776757839928,8.4,4.5,1
-2.66560178753329,-4.36178946855866,-1.69618768102537,6,2,1
-4.61671192503084,-6.2827063357893,-1.66599441075846,12.4,3.6,1
-3.67570006897392,-6.63453916752982,-2.9588390985559,12.1,2.5,1
4.41774084734975,-1.91394369081286,-6.33168453816261,6.1,4.5,1
-0.416706544946786,-3.51214448094092,-3.09543793599413,2.9,3.6,1
-1.08162899828338,-5.52994547467163,-4.44831647638825,4.1,8.1,1
2.12737231526423,-2.11507213991482,-4.24244445517904,4.4,6.1,1
-1.65880627242803,-3.94569024714439,-2.28688397471636,10.9,2.5,1
0.792461026015401,-1.74664219493053,-2.53910322094593,2.4,3.6,1
-4.47920306401619,-7.36942852349688,-2.89022545948069,12.5,2.4,1
-0.0729810707551377,-3.76633671638023,-3.69335564562509,4.1,4.9,1
-2.2548610425,-3.97849069908204,-1.72362965658204,8,2.4,1
-4.39809903667524,-4.35544898839018,0.042650048285062,6.9,2.5,1
-5.01190053365976,-6.38170739572014,-1.36980686206038,5.6,2.9,1
-2.96031933388976,-6.34500779682056,-3.38468846293081,12.1,4,1
-1.05598991478271,-1.49018392158509,-0.434194006802379,10.1,2.9,1
-0.974300394908068,-2.40643820802111,-1.43213781311304,5.6,2.1,1
-7.52796126567939,-10.3467412236919,-2.81877995801252,6.5,4.4,1
3.40816089455574,-3.03000527585778,-6.43816617041352,2.4,4.4,1
