Year,lay_date,lay_mean,doy95
1961,1961-04-24,114,38
1962,1962-05-09,129,70
1963,1963-05-05,124,67
1964,1964-05-07,128,56
1965,1965-05-01,121,50
1966,1966-05-08,127,55
1967,1967-05-05,124,58
1968,1968-05-01,122,56
1969,1969-05-07,126,53
1970,1970-05-08,128,58
1971,1971-05-06,126,52
1972,1972-04-30,121,54
1973,1973-05-03,123,46
1974,1974-05-05,124,52
1975,1975-05-03,123,42
1976,1976-04-30,120,43
1977,1977-05-05,124,49
1978,1978-05-07,126,55
1979,1979-05-08,128,66
1980,1980-04-27,117,48
1981,1981-04-29,118,44
1982,1982-04-30,120,44
1983,1983-04-30,120,39
1984,1984-05-08,128,54
1985,1985-04-28,117,40
1986,1986-05-10,129,51
1987,1987-04-24,113,31
1988,1988-05-02,123,43
1989,1989-04-23,113,36
1990,1990-04-18,107,30
1991,1991-04-26,115,37
1992,1992-04-25,116,37
1993,1993-04-22,112,31
1994,1994-04-28,118,35
1995,1995-04-20,109,31
1996,1996-04-29,120,43
1997,1997-04-14,104,25
1998,1998-04-27,116,37
1999,1999-04-24,113,36
2000,2000-04-25,116,35
2001,2001-05-03,123,45
2002,2002-04-15,104,24
2003,2003-04-25,114,34
2004,2004-04-19,110,29
2005,2005-04-25,114,35
2006,2006-04-26,116,36
2007,2007-04-18,107,24
2008,2008-04-24,115,37
2009,2009-04-18,107,28
2010,2010-04-21,110,36
2011,2011-04-15,104,23
2012,2012-04-17,108,38
2013,2013-05-04,123,49
2014,2014-04-16,105,34
2015,2015-04-21,111,NA
