"datasetID","study","intxn"
"basler14","exp1",2
"heide93","exp1",2
"heide93","exp2",2
"heide93a","exp2",2
"Sanz-Perez09","exp1",2
"skuterud94","exp1",3
"campbell75","exp3",3
"partanen98","exp1",2
"skuterud94","exp1",2
"worrall67","exp 3",8
"myking95","exp1",3
"caffarra11a","exp3",3
"caffarra11b","exp2",4
"laube14a","exp1",2
"myking95","exp1",4
"falusi03","exp1",2
"ghelardini10","exp2",6
"heide93","exp2",4
"zohner16","Exp1",3
"ghelardini10","exp1",6
"heide93","exp3",4
"heide93a","exp1",2
