"Treatment 1","Treatment 2","n studies"
"photo","force",7
"chilltemp","force",1
"chilldays","force",6
"chilltemp","photo",1
"chilldays","photo",8
"fieldsample.date","force",9
"fieldsample.date","photo",11
"total-datasetIDstudies","NA",72
"total-datasetIDs","NA",49
"total-species","NA",203
"total-exp-chill-fpintxns","NA",6
"total-fielddate-chill-fpintxns","NA",14
"total-exp-chill","NA",13
"total-fielddate-chill","NA",25
"total-varied-forcing","NA",26
"total-wsometreats-constant-forcing","NA",14
"total-variedwsometreats-varydaynight-forcing","NA",21
