"PEP_ID","lat","lon","pred1983.m","pred1983.pred","pred1983.site","pred1983.sp"
1,54.7667,9.43333,-0.532063843504692,124.517246556328,1,"betpen"
2,54.4,10.15,-0.357488188216681,118.164538821025,2,"betpen"
3,54.3333,10.15,-0.347672139952155,100.160572008245,3,"betpen"
4,54.3167,10.05,-0.216722184585678,113.000926677735,4,"betpen"
5,53.8833,10.6833,-0.350225150608357,114.408296619833,5,"betpen"
7,53.8333,10.6333,-0.35190477175887,112.529519619225,7,"betpen"
9,54.4333,9.7,-0.368003340377207,115.984511121502,9,"betpen"
13,54.6167,9.98333,-0.39953551284345,124.591104016738,13,"betpen"
15,54.4833,9.7,-0.246473648412566,117.556729558634,15,"betpen"
16,54.4,9.96667,-0.355403131483822,117.878868833643,16,"betpen"
19,54.4167,9.88333,-0.393520042760373,122.433589550717,19,"betpen"
20,54.4,9.93333,-0.348729730724017,117.245260030982,20,"betpen"
21,54.4333,9.81667,-0.155247522630718,116.852031277672,21,"betpen"
24,54.4333,10.0167,-0.350688420917152,115.089976303312,24,"betpen"
25,54.4333,9.98333,-0.353520784746938,124.342715002757,25,"betpen"
26,54.4333,10.05,-0.444463364040456,121.276771347112,26,"betpen"
28,54.55,9.81667,-0.465490998133404,120.470236999753,28,"betpen"
29,54.4833,10.1167,-0.403216272853688,117.863673523772,29,"betpen"
30,54.3333,8.78333,-0.452882618940067,121.200012416444,30,"betpen"
32,54.4,8.8,-0.360939669198185,113.982407022584,32,"betpen"
33,54.3667,8.76667,-0.32332565451536,119.635908315774,33,"betpen"
36,54.3167,8.95,-0.275676316511978,111.858198895992,36,"betpen"
37,54.0167,10.5667,-0.369443328591971,115.498044706025,37,"betpen"
38,54,10.4833,-0.347847769545894,115.821331348775,38,"betpen"
39,53.9167,10.7,-0.558259263756818,114.415877676781,39,"betpen"
40,53.95,10.6833,-0.296348815186995,114.889824804668,40,"betpen"
41,54.1333,10.6167,-0.414442555351172,114.237159505872,41,"betpen"
43,54,10.6667,-0.345020246599312,118.124752481041,43,"betpen"
