"Treatment 1","Treatment 2","n studies"
"photo","force",5
"chilltemp","force",1
"chilldays","force",5
"chilltemp","photo",1
"chilldays","photo",7
"fieldsample.date","force",7
"fieldsample.date","photo",10
"total-datasetIDstudies","NA",42
"total-datasetIDs","NA",30
"total-species","NA",67
"total-exp-chill-fpintxns","NA",5
"total-fielddate-chill-fpintxns","NA",12
"total-exp-chill","NA",7
"total-fielddate-chill","NA",18
"total-varied-forcing","NA",15
"total-wsometreats-constant-forcing","NA",15
"total-variedwsometreats-varydaynight-forcing","NA",3
