"datasetIDstudy","diff.treat"
"ashby62 exp1",NA
"ashby62 exp2",NA
"basler12 exp1",NA
"basler14 exp1",NA
"biasi12 exp1",NA
"boyer exp1",NA
"boyer exp2",NA
"caffarra11a exp1",NA
"caffarra11a exp2",NA
"caffarra11a exp3",NA
"caffarra11b exp2",NA
"caffarra11b exp3",10
"calme94 exp1",NA
"campbell75 exp1",2.8
"campbell75 exp1",5.6
"campbell75 exp3",NA
"cannell83 exp1",NA
"cannell83 exp2",NA
"charrier11 exp1",NA
"charrier11 exp2",NA
"chavarria09 exp1",5
"chavarria09 exp1",10
"chavarria09 exp2",5
"chavarria09 exp2",10
"cook00b exp1",NA
"cook05 exp1",NA
"cronje03 exp1",NA
"dantec14 exp2",NA
"devries82 exp1",NA
"falusi03 exp1",NA
"falusi90 exp1",NA
"falusi96 exp1",NA
"falusi96 exp2",NA
"falusi96 exp3",NA
"falusi97 exp1",NA
"falusi97 exp2",NA
"fu13 exp1",NA
"gansert02 exp1",NA
"gansert02 exp2",NA
"ghelardini10 exp1",NA
"ghelardini10 exp2",NA
"gianfagna85 exp1",NA
"gomory15 exp1",NA
"granhus09 exp1",NA
"guak98 exp1",NA
"guerriero90 exp3",NA
"guerriero90 exp2",NA
"guerriero90 exp1",NA
"gunderson12 exp1",NA
"hawerroth13 ",NA
"hawkins12 ",NA
"Heide03 exp1",NA
"heide05 exp1",NA
"heide05 exp2",NA
"heide08 exp1",NA
"heide08 exp2",NA
"heide08 exp3",NA
"heide11 exp1",NA
"heide11 exp2",NA
"heide11 exp3",NA
"heide12 exp1",NA
"heide12 exp2",NA
"heide12 exp3",NA
"heide15 exp2",NA
"heide93 exp1",NA
"heide93 exp2",NA
"heide93 exp3",NA
"heide93a exp1",NA
"heide93a exp2",NA
"heide93a exp3",NA
"howe95 exp1",NA
"jones12 exp1",5
"jones12 exp1",10
"jones12 exp1",15
"jones12 exp2",NA
"jones12 exp2",4
"junttila12 exp1",NA
"karlsson03 exp1",NA
"lamb37 exp1",6
"lamb37 exp1",NA
"laube14a exp1",NA
"laube14b exp1",NA
"li05 exp1",NA
"linkosalo06 exp1",NA
"man10 exp1",NA
"manson91 exp1",NA
"morin10 exp1",NA
"myking95 exp1",5
"myking95 exp1",10
"myking97 exp1",NA
"myking98 exp1",NA
"nienstaedt66 exp1",NA
"nishimoto95 exp1",NA
"okie11 exp1",NA
"okie11 exp2",NA
"pagter15 exp1",NA
"partanen01 exp1",NA
"partanen05 exp1",NA
"partanen05 exp2",NA
"partanen98 exp1",NA
"partanen98 exp2",NA
"partanen98 exp3",NA
"pettersen71 exp1",NA
"pettersen71 exp2",NA
"pop2000 exp1",NA
"ramos99 exp1",NA
"rinne94 exp1",NA
"rinne97 exp1",NA
"ruesink98 exp2",NA
"ruesink98 exp3",NA
"ruesink98 exp5",NA
"Sanz-Perez09 exp1",NA
"sanzperez10 exp1",NA
"schnabel87 exp1",NA
"skre08 exp1",NA
"skuterud94 exp1",3
"skuterud94 exp1",6
"skuterud94 exp1",NA
"sogaard08 exp1a",NA
"sogaard08 exp1b",NA
"sogaard08 exp2",NA
"sogaard08 exp3a",NA
"sogaard08 exp3b",NA
"sonsteby13 exp1",NA
"sonsteby13 exp2",NA
"sonsteby14 exp1",NA
"sonsteby14 exp2",5
"sonsteby14 exp2",10
"sonsteby14 exp2",15
"sonsteby14 exp2",20
"sonsteby14 exp3",5
"sonsteby14 exp3",10
"sonsteby14 exp3",15
"sonsteby14 exp3",20
"sonsteby14 exp4",NA
"sonsteby14 exp5",NA
"spann04 exp1",NA
"spiers74 exp1",NA
"spiers74 exp2",NA
"swartz81 exp1",NA
"thielges75 exp1",NA
"viheraaarnio06 exp1",NA
"viheraaarnio06 exp2",NA
"viheraaarnio06 exp3",NA
"webb78 exp1",NA
"webb78 exp2",NA
"worrall67 exp 3",NA
"worrall67 exp 4",NA
"worrall67 exp 5",NA
"worrall67 exp1",NA
"worrall67 exp2",NA
"yazdaniha64 exp1",NA
"zohner16 Exp1",NA
