"datasetIDstudy","diff.treat","cue","sp"
"basler12 exp1",NA,"chill","Betula_pendula"
"fu13 exp1",NA,"chill","Betula_pendula"
"Heide03 exp1",NA,"chill","Betula_pendula"
"heide93 exp1",NA,"chill","Betula_pendula"
"heide93 exp2",NA,"chill","Betula_pendula"
"junttila12 exp1",NA,"chill","Betula_pendula"
"laube14a exp1",NA,"chill","Betula_pendula"
"laube14b exp1",NA,"chill","Betula_pendula"
"li05 exp1",NA,"chill","Betula_pendula"
"linkosalo06 exp1",NA,"chill","Betula_pendula"
"myking95 exp1",5,"chill","Betula_pendula"
"myking95 exp1",10,"chill","Betula_pendula"
"myking98 exp1",NA,"chill","Betula_pendula"
"rinne97 exp1",NA,"chill","Betula_pendula"
"skuterud94 exp1",3,"chill","Betula_pendula"
"skuterud94 exp1",6,"chill","Betula_pendula"
"skuterud94 exp1",NA,"chill","Betula_pendula"
"viheraaarnio06 exp1",NA,"chill","Betula_pendula"
"viheraaarnio06 exp2",NA,"chill","Betula_pendula"
"viheraaarnio06 exp3",NA,"chill","Betula_pendula"
"basler12 exp1",NA,"force","Betula_pendula"
"fu13 exp1",NA,"force","Betula_pendula"
"Heide03 exp1",NA,"force","Betula_pendula"
"heide93 exp1",6,"force","Betula_pendula"
"heide93 exp1",12,"force","Betula_pendula"
"heide93 exp2",6,"force","Betula_pendula"
"heide93 exp2",12,"force","Betula_pendula"
"junttila12 exp1",3,"force","Betula_pendula"
"junttila12 exp1",6,"force","Betula_pendula"
"junttila12 exp1",9,"force","Betula_pendula"
"junttila12 exp1",12,"force","Betula_pendula"
"laube14a exp1",NA,"force","Betula_pendula"
"laube14b exp1",NA,"force","Betula_pendula"
"li05 exp1",NA,"force","Betula_pendula"
"linkosalo06 exp1",NA,"force","Betula_pendula"
"myking95 exp1",NA,"force","Betula_pendula"
"myking98 exp1",NA,"force","Betula_pendula"
"rinne97 exp1",NA,"force","Betula_pendula"
"skuterud94 exp1",3,"force","Betula_pendula"
"skuterud94 exp1",6,"force","Betula_pendula"
"skuterud94 exp1",NA,"force","Betula_pendula"
"viheraaarnio06 exp1",NA,"force","Betula_pendula"
"viheraaarnio06 exp2",NA,"force","Betula_pendula"
"viheraaarnio06 exp3",NA,"force","Betula_pendula"
"basler12 exp1",NA,"force","Fagus_sylvatica"
"basler14 exp1",15,"force","Fagus_sylvatica"
"basler14 exp1",12,"force","Fagus_sylvatica"
"basler14 exp1",3,"force","Fagus_sylvatica"
"caffarra11a exp1",NA,"force","Fagus_sylvatica"
"caffarra11a exp2",6,"force","Fagus_sylvatica"
"caffarra11a exp2",12,"force","Fagus_sylvatica"
"caffarra11a exp2",18,"force","Fagus_sylvatica"
"caffarra11a exp2",26,"force","Fagus_sylvatica"
"caffarra11a exp2",20,"force","Fagus_sylvatica"
"caffarra11a exp2",14,"force","Fagus_sylvatica"
"caffarra11a exp2",8,"force","Fagus_sylvatica"
"caffarra11a exp3",NA,"force","Fagus_sylvatica"
"dantec14 exp2",NA,"force","Fagus_sylvatica"
"falusi03 exp1",10,"force","Fagus_sylvatica"
"falusi90 exp1",1.83333333333333,"force","Fagus_sylvatica"
"falusi96 exp1",NA,"force","Fagus_sylvatica"
"falusi96 exp2",NA,"force","Fagus_sylvatica"
"falusi96 exp3",1.83333333333333,"force","Fagus_sylvatica"
"falusi97 exp1",10,"force","Fagus_sylvatica"
"falusi97 exp2",10,"force","Fagus_sylvatica"
"fu13 exp1",NA,"force","Fagus_sylvatica"
"heide93a exp1",NA,"force","Fagus_sylvatica"
"heide93a exp2",6,"force","Fagus_sylvatica"
"heide93a exp2",12,"force","Fagus_sylvatica"
"heide93a exp3",NA,"force","Fagus_sylvatica"
"laube14a exp1",NA,"force","Fagus_sylvatica"
"zohner16 Exp1",1.33333333333333,"force","Fagus_sylvatica"
