"datasetID","study","intxn"
"Sanz-Perez09","exp1","force x photo"
"ashby62","exp2","photo x fieldsample dates"
"basler14","exp1","photo x force x field sample dates"
"caffarra11a","exp3","photo x chilldays"
"caffarra11b","exp2","photo x fieldsample dates"
"campbell75","exp3","force x chilldays"
"devries82","exp1","force x photo"
"falusi03","exp1","force x fieldsample dates"
"falusi90","exp1","photo x exp chilling (temp and days)"
"falusi97","exp1","force x fieldsample dates"
"falusi97","exp2","force x fieldsample dates"
"fu13","exp1","force x fieldsample dates"
"ghelardini10","exp2","force x fieldsample dates"
"ghelardini10","exp1","photo x fieldsample dates"
"gianfagna85","exp1","force x fieldsample dates"
"heide05","exp1","force x photo"
"heide05","exp2","force x photo"
"heide08","exp1","force x photo"
"heide08","exp3","force x photo"
"heide11","exp1","force x photo"
"heide11","exp2","force x photo"
"heide11","exp3","force x photo"
"heide12","exp2","force x chilltemp"
"heide12","exp1","photo x exp chilling (x different sized plants)"
"heide93","exp1","photo x force x field sample dates"
"heide93","exp2","photo x force x field sample dates"
"heide93","exp3","photo x fieldsample dates"
"heide93a","exp2","force x photo"
"heide93a","exp1","photo x fieldsample dates"
"junttila12","exp1","force x chilldays"
"karlsson03","exp1","force x chilldays"
"laube14a","exp1","photo x chilldays"
"myking95","exp1","photo x chilltemp (with also change in chilldays)"
"nienstaedt66","exp1","photo x chilldays"
"okie11","exp2","photo x force x field sample date (and chill days for `Sunland' cultivar)"
"partanen05","exp1","photo x fieldsample dates"
"partanen05","exp2","photo x fieldsample dates"
"partanen98","exp3","photo/force x field sample dates (force and photo are NOT full factorial)"
"partanen98","exp1","photo/force x field sample dates (force and photo are NOT full factorial)"
"pettersen71","exp2","force x photo"
"pop2000","exp1","force x chilldays"
"ramos99","exp1","force x fieldsample dates"
"ruesink98","exp3","force x photo"
"schnabel87","exp1","force/photo x cold hardiness treatment"
"skuterud94","exp1","force x field sample x chilltemp (x provenance)"
"worrall67","exp 3","photo/force x exp chilldays (force and photo are NOT interactive)"
"zohner16","Exp1","photo x fieldsample dates"
