"trait_name","no.studies","no.species"
"leaf area per leaf dry mass",17,68
"leaf carbon content per leaf nitrogen content",3,45
"leaf dry mass per leaf fresh mass",1,29
"leaf life span",3,27
"maximum whole plant height",1,27
"seed mass",5,78
"stem wood density",9,60
"whole plant height",18,68
