"Lat","Lon","MeanFitness","pres"
43.21,-8.59,0.436,1
43.38,-8.59,0.291,1
51.68,-8.59,0.645,1
51.84,-8.59,0.995,1
52.01,-8.59,0.998,1
52.18,-8.59,0.998,1
52.34,-8.59,0.998,1
52.51,-8.59,0.998,1
52.67,-8.59,0.998,1
52.84,-8.59,0.998,1
53.01,-8.59,0.997,1
53.17,-8.59,0.997,1
53.34,-8.59,0.998,1
53.51,-8.59,0.994,1
53.67,-8.59,0.997,1
53.84,-8.59,0.996,1
54,-8.59,0.982,1
54.17,-8.59,0.879,1
54.34,-8.59,0.838,1
54.83,-8.59,0.257,1
70.94,-8.59,0,0
37.24,-8.43,0,0
37.4,-8.43,0,0
37.57,-8.43,0,0
37.73,-8.43,0,0
37.9,-8.43,0,0
38.07,-8.43,0,0
38.23,-8.43,0,0
38.4,-8.43,0,0
38.56,-8.43,0,0
38.73,-8.43,0,0
38.9,-8.43,0,0
39.06,-8.43,0,0
39.23,-8.43,0,0
39.4,-8.43,0,0
39.56,-8.43,0,0
39.73,-8.43,0,0
39.89,-8.43,0,0
40.06,-8.43,0,0
40.23,-8.43,0,0
40.39,-8.43,0,0
40.56,-8.43,0,0
40.72,-8.43,0,0
40.89,-8.43,0,0
41.05,-8.43,0,0
41.22,-8.43,0,0
41.39,-8.43,0,0
41.55,-8.43,0,0
41.72,-8.43,0.05,0
41.88,-8.43,0.349,1
42.05,-8.43,0.194,1
42.22,-8.43,0.05,0
42.38,-8.43,0.1,0
42.55,-8.43,0.139,1
42.72,-8.43,0.273,1
42.88,-8.43,0.149,1
43.05,-8.43,0.243,1
43.21,-8.43,0.447,1
43.38,-8.43,0.349,1
51.84,-8.43,0.549,1
52.01,-8.43,0.998,1
52.18,-8.43,0.998,1
52.34,-8.43,0.998,1
52.51,-8.43,0.998,1
52.67,-8.43,0.998,1
52.84,-8.43,0.993,1
53.01,-8.43,0.996,1
53.17,-8.43,0.995,1
53.34,-8.43,0.997,1
53.51,-8.43,0.979,1
53.67,-8.43,0.995,1
53.84,-8.43,0.995,1
54,-8.43,0.985,1
54.17,-8.43,0.96,1
54.34,-8.43,0.921,1
54.5,-8.43,0.884,1
54.67,-8.43,0.576,1
54.83,-8.43,0.385,1
37.24,-8.26,0,0
37.4,-8.26,0,0
37.57,-8.26,0,0
37.73,-8.26,0,0
37.9,-8.26,0,0
38.07,-8.26,0,0
38.23,-8.26,0,0
38.4,-8.26,0,0
38.56,-8.26,0,0
38.73,-8.26,0,0
38.9,-8.26,0,0
39.06,-8.26,0,0
39.23,-8.26,0,0
39.4,-8.26,0,0
39.56,-8.26,0,0
39.73,-8.26,0,0
39.89,-8.26,0,0
40.06,-8.26,0,0
40.23,-8.26,0,0
40.39,-8.26,0,0
40.56,-8.26,0,0
40.72,-8.26,0,0
40.89,-8.26,0,0
41.05,-8.26,0,0
41.22,-8.26,0,0
41.39,-8.26,0,0
41.55,-8.26,0.1,0
41.72,-8.26,0.05,0
41.88,-8.26,0.349,1
42.05,-8.26,0.291,1
42.22,-8.26,0.05,0
42.38,-8.26,0.32,1
42.55,-8.26,0.346,1
42.72,-8.26,0.467,1
42.88,-8.26,0.474,1
43.05,-8.26,0.371,1
43.21,-8.26,0.393,1
43.38,-8.26,0.2,1
51.84,-8.26,0.549,1
52.01,-8.26,0.998,1
52.18,-8.26,0.998,1
52.34,-8.26,0.998,1
52.51,-8.26,0.998,1
52.67,-8.26,0.945,1
52.84,-8.26,0.997,1
53.01,-8.26,0.982,1
53.17,-8.26,0.997,1
53.34,-8.26,0.947,1
53.51,-8.26,0.994,1
53.67,-8.26,0.997,1
53.84,-8.26,0.997,1
54,-8.26,0.99,1
54.17,-8.26,0.909,1
54.34,-8.26,0.847,1
54.5,-8.26,0.706,1
54.67,-8.26,0.724,1
54.83,-8.26,0.542,1
55,-8.26,0.615,1
71.1,-8.26,0,0
37.24,-8.1,0,0
37.4,-8.1,0,0
37.57,-8.1,0,0
37.73,-8.1,0,0
37.9,-8.1,0,0
38.07,-8.1,0,0
38.23,-8.1,0,0
38.4,-8.1,0,0
38.56,-8.1,0,0
38.73,-8.1,0,0
38.9,-8.1,0,0
39.06,-8.1,0,0
39.23,-8.1,0,0
39.4,-8.1,0,0
39.56,-8.1,0,0
39.73,-8.1,0,0
39.89,-8.1,0,0
40.06,-8.1,0,0
40.23,-8.1,0,0
40.39,-8.1,0,0
40.56,-8.1,0,0
40.72,-8.1,0,0
40.89,-8.1,0.05,0
41.05,-8.1,0.25,1
41.22,-8.1,0.05,0
41.39,-8.1,0.05,0
41.55,-8.1,0.1,0
41.72,-8.1,0.299,1
41.88,-8.1,0.521,1
42.05,-8.1,0.14,1
42.22,-8.1,0.387,1
42.38,-8.1,0.227,1
42.55,-8.1,0.341,1
42.72,-8.1,0.303,1
42.88,-8.1,0.432,1
43.05,-8.1,0.434,1
43.21,-8.1,0.492,1
43.38,-8.1,0.05,0
43.55,-8.1,0,0
43.71,-8.1,0.05,0
52.01,-8.1,0.799,1
52.18,-8.1,0.998,1
52.34,-8.1,0.998,1
52.51,-8.1,0.942,1
52.67,-8.1,0.996,1
52.84,-8.1,0.984,1
53.01,-8.1,0.998,1
53.17,-8.1,0.898,1
53.34,-8.1,0.997,1
53.51,-8.1,0.938,1
53.67,-8.1,0.996,1
53.84,-8.1,0.997,1
54,-8.1,0.993,1
54.17,-8.1,0.925,1
54.34,-8.1,0.82,1
54.5,-8.1,0.561,1
54.67,-8.1,0.686,1
54.83,-8.1,0.452,1
55,-8.1,0.447,1
55.16,-8.1,0.617,1
71.1,-8.1,0,0
37.24,-7.93,0.01,0
37.4,-7.93,0,0
37.57,-7.93,0,0
37.73,-7.93,0,0
37.9,-7.93,0,0
38.07,-7.93,0,0
38.23,-7.93,0,0
38.4,-7.93,0,0
38.56,-7.93,0,0
38.73,-7.93,0,0
38.9,-7.93,0,0
39.06,-7.93,0,0
39.23,-7.93,0,0
39.4,-7.93,0,0
39.56,-7.93,0,0
39.73,-7.93,0,0
39.89,-7.93,0,0
40.06,-7.93,0,0
40.23,-7.93,0,0
40.39,-7.93,0,0
40.56,-7.93,0,0
40.72,-7.93,0,0
40.89,-7.93,0.05,0
41.05,-7.93,0.2,1
41.22,-7.93,0.25,1
41.39,-7.93,0.05,0
41.55,-7.93,0.25,1
