"Lat","Lon","MeanFitness","pres"
52.18,-10.25,0.266,1
52.01,-10.09,0.251,1
52.18,-10.09,0.323,1
52.34,-10.09,0.174,1
51.84,-9.92,0.228,1
52.01,-9.92,0.221,1
52.18,-9.92,0.236,1
52.34,-9.92,0.217,1
53.51,-9.92,0.805,1
53.67,-9.92,0.755,1
54,-9.92,0.658,1
54.34,-9.92,0.723,1
51.84,-9.76,0.246,1
52.01,-9.76,0.174,1
52.18,-9.76,0.383,1
52.34,-9.76,0.276,1
53.51,-9.76,0.741,1
53.67,-9.76,0.577,1
53.84,-9.76,0.751,1
54,-9.76,0.642,1
54.17,-9.76,0.771,1
54.34,-9.76,0.726,1
51.68,-9.59,0.308,1
51.84,-9.59,0.215,1
52.01,-9.59,0.19,1
52.18,-9.59,0.39,1
52.34,-9.59,0.445,1
52.51,-9.59,0.592,1
52.67,-9.59,0.724,1
53.51,-9.59,0.74,1
53.67,-9.59,0.466,1
53.84,-9.59,0.578,1
54,-9.59,0.591,1
54.17,-9.59,0.592,1
54.34,-9.59,0.626,1
51.68,-9.42,0.344,1
51.84,-9.42,0.244,1
52.01,-9.42,0.282,1
52.18,-9.42,0.469,1
52.34,-9.42,0.536,1
52.51,-9.42,0.66,1
52.67,-9.42,0.768,1
52.84,-9.42,0.845,1
53.34,-9.42,0.879,1
53.51,-9.42,0.755,1
53.67,-9.42,0.476,1
53.84,-9.42,0.639,1
54,-9.42,0.614,1
54.17,-9.42,0.511,1
54.34,-9.42,0.51,1
38.9,-9.26,0.584,1
39.06,-9.26,0.588,1
39.23,-9.26,0.594,1
51.68,-9.26,0.424,1
51.84,-9.26,0.31,1
52.01,-9.26,0.234,1
52.18,-9.26,0.51,1
52.34,-9.26,0.52,1
52.51,-9.26,0.741,1
52.67,-9.26,0.852,1
52.84,-9.26,0.839,1
53.01,-9.26,0.802,1
53.34,-9.26,0.838,1
53.51,-9.26,0.783,1
53.67,-9.26,0.778,1
53.84,-9.26,0.714,1
54,-9.26,0.666,1
54.17,-9.26,0.621,1
54.34,-9.26,0.557,1
38.73,-9.09,0.421,1
38.9,-9.09,0.533,1
39.06,-9.09,0.602,1
39.23,-9.09,0.591,1
39.4,-9.09,0.644,1
39.56,-9.09,0.701,1
43.05,-9.09,0.263,1
43.21,-9.09,0.3,1
51.68,-9.09,0.55,1
51.84,-9.09,0.353,1
52.01,-9.09,0.367,1
52.18,-9.09,0.499,1
52.34,-9.09,0.477,1
52.51,-9.09,0.769,1
52.67,-9.09,0.872,1
52.84,-9.09,0.831,1
53.01,-9.09,0.832,1
53.17,-9.09,0.768,1
53.34,-9.09,0.869,1
53.51,-9.09,0.895,1
53.67,-9.09,0.89,1
53.84,-9.09,0.843,1
54,-9.09,0.803,1
54.17,-9.09,0.841,1
54.34,-9.09,0.791,1
38.56,-8.93,0.066,0
38.73,-8.93,0.077,0
38.9,-8.93,0.076,0
39.06,-8.93,0.162,1
39.23,-8.93,0.218,1
39.4,-8.93,0.248,1
39.56,-8.93,0.254,1
39.73,-8.93,0.319,1
42.72,-8.93,0.203,1
42.88,-8.93,0.194,1
43.05,-8.93,0.14,1
43.21,-8.93,0.231,1
51.68,-8.93,0.639,1
51.84,-8.93,0.672,1
52.01,-8.93,0.649,1
52.18,-8.93,0.74,1
52.34,-8.93,0.67,1
52.51,-8.93,0.898,1
52.67,-8.93,0.947,1
52.84,-8.93,0.926,1
53.01,-8.93,0.908,1
53.17,-8.93,0.867,1
53.34,-8.93,0.951,1
53.51,-8.93,0.947,1
53.67,-8.93,0.899,1
53.84,-8.93,0.852,1
54,-8.93,0.817,1
54.17,-8.93,0.806,1
54.34,-8.93,0.809,1
37.24,-8.76,0.001,0
37.4,-8.76,0.002,0
38.73,-8.76,0.058,0
38.9,-8.76,0.061,0
39.06,-8.76,0.092,0
39.23,-8.76,0.152,1
39.4,-8.76,0.195,1
39.56,-8.76,0.307,1
39.73,-8.76,0.329,1
39.89,-8.76,0.359,1
40.06,-8.76,0.847,1
40.23,-8.76,0.923,1
40.39,-8.76,0.961,1
42.05,-8.76,0.174,1
42.72,-8.76,0.156,1
42.88,-8.76,0.162,1
43.05,-8.76,0.135,1
43.21,-8.76,0.175,1
43.38,-8.76,0.459,1
51.68,-8.76,0.832,1
51.84,-8.76,0.829,1
52.01,-8.76,0.825,1
52.18,-8.76,0.819,1
52.34,-8.76,0.947,1
52.51,-8.76,0.969,1
52.67,-8.76,0.99,1
52.84,-8.76,0.985,1
53.01,-8.76,0.957,1
53.17,-8.76,0.953,1
53.34,-8.76,0.968,1
53.51,-8.76,0.974,1
53.67,-8.76,0.939,1
53.84,-8.76,0.86,1
54,-8.76,0.842,1
54.17,-8.76,0.544,1
54.34,-8.76,0.611,1
70.94,-8.76,0,0
37.24,-8.59,0,0
37.4,-8.59,0.001,0
37.57,-8.59,0.003,0
37.73,-8.59,0.001,0
37.9,-8.59,0.004,0
38.07,-8.59,0.007,0
38.23,-8.59,0.014,0
38.4,-8.59,0.015,0
38.56,-8.59,0.01,0
38.73,-8.59,0.032,0
38.9,-8.59,0.065,0
39.06,-8.59,0.087,0
39.23,-8.59,0.114,1
39.4,-8.59,0.173,1
39.56,-8.59,0.24,1
39.73,-8.59,0.392,1
39.89,-8.59,0.36,1
40.06,-8.59,0.862,1
