"","CL0","CL1","CL2","CS0","CS1","CS2","WL0","WL1","WL2","WS0","WS2","WS1"
"ACEPEN",22,8.83333333333333,13,27,11.3333333333333,15.4,16.8,8.83333333333333,15,20.8333333333333,20.3333333333333,17.3333333333333
"ACERUB",26,14.6,17.4,37,17.5,19,26.4,10.8,15.5,35.6,18.5,26
"ACESAC",56.8,38.5,36.75,69.4,34,48,43,35.2,25,49.6,47,40.5
"ALNINC",36.6666666666667,NA,NA,40.3333333333333,NA,NA,19.6,NA,NA,32.8333333333333,NA,NA
"AROMEL",12,NA,NA,15.6666666666667,NA,NA,14.25,NA,NA,12.3333333333333,NA,NA
"BETALL",25.8333333333333,13.6666666666667,17,32,17.6666666666667,17.3333333333333,19.6,11.3333333333333,16.6,25,20.3333333333333,18.6666666666667
"BETLEN",29.5,NA,NA,34.3333333333333,NA,NA,27,NA,NA,28.5,NA,NA
"BETPAP",22,11,14,23,14.3333333333333,15.8,18.1666666666667,10,16.6,19.5,20.4,16
"CORCOR",24.2,NA,NA,33,NA,NA,18.4,NA,NA,24,NA,NA
"FAGGRA",45,36.5,33.3333333333333,62.5,42.5,41.4,39.25,32.4,28.5,48.4,49,46
"FRANIG",39.2,NA,NA,46.5,NA,NA,32,NA,NA,35.5,NA,NA
"HAMVIR",41.3333333333333,NA,NA,62,NA,NA,32.5,NA,NA,38.8333333333333,NA,NA
"ILEMUC",21,9.5,15,21,13.3333333333333,16.5,13.8333333333333,8.83333333333333,14,16.3333333333333,23.8,17.3333333333333
"KALANG",33.3333333333333,NA,NA,34,NA,NA,27,NA,NA,26.6666666666667,NA,NA
"LONCAN",17.3333333333333,NA,NA,22.3333333333333,NA,NA,15.6,NA,NA,12.1666666666667,NA,NA
"LYOLIG",34,NA,NA,40,NA,NA,28.1666666666667,NA,NA,22.8333333333333,NA,NA
"NYSSYL",31.6666666666667,NA,NA,38.3333333333333,NA,NA,26.5,NA,NA,29.8,NA,NA
"POPGRA",55.6,30,35,40.8,30,42,31.2,20.8,22,38.2,32,23.8
"PRUPEN",21,NA,NA,17,NA,NA,14.25,NA,NA,19.1428571428571,NA,NA
"QUEALB",35.3333333333333,NA,NA,68,NA,NA,35.5,NA,NA,45.3333333333333,NA,NA
"QUERUB",47.6,26,30,65.5,33.5,39.3333333333333,35.5,26.8,27,45.8333333333333,34.3333333333333,24
"QUEVEL",56.1666666666667,NA,NA,69.4,NA,NA,39,NA,NA,44.5,NA,NA
"RHAFRA",41.8333333333333,NA,NA,38.6666666666667,NA,NA,22,NA,NA,27,NA,NA
"RHOPRI",37.3333333333333,NA,NA,31.1666666666667,NA,NA,23,NA,NA,25.5,NA,NA
"SPIALB",20.25,NA,NA,20.2,NA,NA,16,NA,NA,15.5,NA,NA
"VACMYR",12,NA,NA,16.3333333333333,NA,NA,11.8333333333333,NA,NA,12.3333333333333,NA,NA
"VIBCAS",18,10,13,23,15.5,14.3333333333333,13,10,16,14.1666666666667,18.5,17.6
"VIBLAN",46.75,29,25.3333333333333,48.4,30,34.6666666666667,35.3333333333333,18.5,25.25,16.25,37.2,30.6
