"","allspp","species"
"1","ACEPEN","Acer pensylvanicum"
"2","ACERUB","Acer rubrum"
"3","ACESAC","Acer saccharum"
"4","ALNINC","Alnus incana subsp. rugosa"
"5","AROMEL","Aronia melanocarpa"
"6","BETALL","Betula alleghaniensis"
"7","BETLEN","Betula lenta"
"8","BETPAP","Betula papyrifera"
"9","CORCOR","Corylus cornuta"
"10","FAGGRA","Fagus grandifolia"
"11","FRANIG","Fraxinus nigra"
"12","HAMVIR","Hamamelis virginiana"
"13","ILEMUC","Ilex mucronatus"
"14","KALANG","Kalmia angustifolia"
"15","LONCAN","Lonicera canadensis"
"16","LYOLIG","Lyonia ligustrina"
"17","NYSSYL","Nyssa sylvatica"
"18","POPGRA","Populus grandidentata"
"19","PRUPEN","Prunus pensylvanica"
"20","QUEALB","Quercus alba"
"21","QUERUB","Quercus rubra"
"22","QUEVEL","Quercus velutina"
"23","RHAFRA","Rhamnus frangula"
"24","RHOPRI","Rhododendron prinophyllum"
"25","SPIALB","Spiraea alba"
"26","VACMYR","Vaccinium myrtilloides"
"27","VIBCAS","Viburnum cassinoides"
"28","VIBLAN","Viburnum lantanoides"
