"","Mean.GDD","SDev.GDD.sites","Mean.Chill.Utah","SDev.Chill.Utah","Mean.Chill.Portions","SDev.Chill.Portions"
"1980",218.593117928794,149.085809065056,641.207612765199,348.976081620163,37.9590260747634,16.7429401898438
"1981",264.098609237555,173.310570428895,634.508379390266,282.217910839611,36.0002572841976,14.052991743053
"1982",264.131393689935,174.173101473755,676.098948119094,463.727711047705,41.050604718979,18.5207281760823
"1983",318.223564297807,234.432345163701,655.684703155643,333.222039531798,38.0735504296829,15.5234507819173
"1984",314.320926882489,171.266465024938,619.464521305045,381.605722577007,34.1571313077029,16.9990370101503
"1985",259.258681241702,203.111477312464,577.426011766803,322.980399694501,33.9354047485979,15.7887232833199
"1986",301.925286453759,217.861774091399,670.449367088608,394.395700356113,38.4361529109143,15.3236172699531
"1987",242.537091659176,146.433699584427,669.664289534676,369.666995984666,36.5658260114171,16.9064709643002
"1988",273.791049282154,170.586774598202,552.217596719558,342.926032102836,34.3401845052823,16.8625125764051
"1989",325.618937651087,200.279974373027,660.379122838296,340.829875219124,38.2656628491403,15.4139326671803
"1990",299.00884497576,219.780419956562,582.656534141558,387.259349037679,35.4617330849798,17.802740197545
"1991",287.330589610726,186.624118072124,636.518630771974,353.043619427982,37.1697932145047,15.4626013520982
"1992",272.502427318775,170.841806060479,580.614013193083,458.57179870574,33.9753608277763,18.9924392442342
"1993",311.91927620701,196.127303215476,486.937154573008,379.420716580746,29.7870007716345,18.2421828625383
"1994",271.191309087085,206.467102643196,642.909074701373,393.723275960195,37.8617932250234,17.2273396432667
"1995",349.679367314925,208.021435068404,510.987074344803,232.455912794596,33.4464557358233,11.8493025540339
"1996",283.254995484107,205.076284601973,723.876270279907,343.802113318993,39.8008866047704,14.1454560850844
"1997",257.888198783328,199.188511838308,581.448386521662,354.42690910738,34.667814581219,16.2629627635322
"1998",291.910943793817,189.965078781445,586.199322517383,351.077118616942,34.4893444055554,15.2508072044042
"1999",282.900879178076,209.411675556231,629.726154394723,345.432238528214,37.3171443283662,15.5306903121404
"2000",347.592964902363,205.522821671238,830.392226778392,389.154835420308,42.3922036954559,15.3893901891982
"2001",324.032268084454,211.650463092433,496.612408628989,274.328610586591,31.8626844419451,13.7583232199492
"2002",316.89736148111,203.23491100746,543.706364770904,453.667970323247,31.6989621398537,18.7635980371399
"2003",337.780738409124,208.353646787912,676.18791228383,398.544578455768,39.376372434738,16.9809382464488
"2004",287.297382573173,175.220496013853,692.776698163666,367.479504669899,39.6272554075144,15.9510165188351
"2005",339.331324848418,205.350498385093,676.152720785013,222.830514956925,39.6973473498375,11.016721439767
"2006",281.469001007795,187.627089436772,729.743838819932,419.258786278383,42.0623395671128,16.1645505642813
"2007",352.892467426599,237.114166284438,665.785688633507,313.16542213606,37.3905629690118,14.3299757694531
"2008",305.14810812086,212.280931894618,796.872619475386,309.511700950956,42.9861230246007,12.8267662793856
"2009",327.311687858768,204.745265186464,675.534380610413,424.539130651276,37.1836683038135,17.3203227825651
"2010",350.71434517118,198.933783609047,707.435188509874,294.564738379555,38.5675711049172,13.4909891394585
"2011",354.312032375599,212.248971979995,766.973324950602,347.51905344321,41.8387635090578,16.0993760277692
"2012",398.926139011148,252.294377856142,693.889516129032,340.785717562023,38.0931532633019,15.2199911530959
"2013",335.890017217925,220.080158603449,756.625560940585,392.2023729303,43.5190091298102,15.2720637973149
"2014",399.841240500635,231.142989496213,767.477311889719,343.69065504089,43.4193314459154,13.2076506364702
"2015",328.12650662897,218.072798252415,986.337378640777,373.047355020798,51.3905891385411,13.2941169885255
"2016",361.085521634099,190.492626801624,805.673937838608,411.301168936031,45.1413373335936,16.1779305868421
"2017",322.902419357181,244.065055655456,875.289859235852,344.972637608926,46.8591568039084,14.9785815735363
