"","species","min.x","max.x","min.y","max.y"
"1","Abies_alba",-1.39128150566024,26.9339563102376,38.0422844994234,51.8697847658705
"2","Acer_pseudoplatanus",-8.89001820375789,44.1837990499092,37.72355913393,55.448080264957
"3","Aesculus_hippocastanum",19.8323151666308,22.5022994616128,38.6057658426269,40.3939044629908
"4","Alnus_glutinosa",-12.7172412557614,67.025595488088,34.8349725855521,66.4968498569072
"5","Alnus_incana",1.99216870644055,70.0920575204586,40.928902012678,70.8860163455439
"6","Betula_pendula",-12.6572451016078,175.910118654022,25.896037935857,69.332527490608
"7","Betula_pubescens",-27.1775578581369,139.114710777179,35.4742629950306,71.250225868229
"8","Carpinus_betulus",-2.53649706775802,56.0603009970553,35.908163654607,57.0439980769145
"9","Cornus_mas",0.708935187137982,49.102972876833,35.7040147315838,52.1273522270268
"10","Corylus_avellana",-11.979358822814,59.2762306044962,35.0696811081681,67.3428606412952
"11","Fagus_sylvatica",-7.36992532919556,35.4093539023335,37.6280905056247,59.8098774778869
"12","Fraxinus_excelsior",-11.5805296547507,57.7536239424248,35.2914557030079,64.2086611731548
"13","Larix_decidua",5.97820930881153,16.1191863192708,44.003394506033,48.1850147031106
"14","Picea_abies",5.3134172697098,56.6935002238383,41.2605489845618,69.8268194773163
"15","Populus_tremula",-13.716268420144,160.745988451467,24.1696068986356,71.5173349810622
"16","Prunus_avium",-11.0148909012041,49.4262801224594,34.7411762010044,64.2873568577759
"17","Prunus_padus",-11.8411786659776,162.923047223709,31.4323893464125,71.4679883781845
"18","Quercus_ilex",-7.60755983357059,28.4304500927217,34.1301720449035,47.8324985541996
"19","Quercus_petraea",-12.6368519815518,55.2598027260688,35.4755270204235,60.3606694086848
"20","Quercus_robur",-12.7893148534367,59.9287198170631,35.5635645023741,61.6210205908314
"21","Sorbus_aucuparia",-28.0413470051876,178.086296948489,32.5694663190064,72.3305164463654
"22","Tilia_cordata",-6.89766799296304,77.7100339216922,38.8900925757448,64.1082233636402
