"datasetID","study","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","chilltemp","chilldays","fieldsample.date","provenance.lat","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports","complex","complex.wname","force.z","photo.z","chill.z"
"falusi03","exp1","Fagus","sylvatica","","yes","15","","12","88.31",60,1710,"","","24-Mar-1997",43.732105,15,12,8.93958333333333,60,"exp","exp","fldest",1710,111.466592216462,16,"Fagus_sylvatica",-0.133694895668661,-0.459101004682896,1.14214793706706
"falusi03","exp1","Fagus","sylvatica","","yes","15","","12","87.53",60,531,"","","18-Dec-1996",43.732105,15,12,2.95833333333333,60,"exp","exp","fldest",531,44.1353256727981,16,"Fagus_sylvatica",-0.133694895668661,-0.459101004682896,-0.640984452679257
"falusi03","exp1","Fagus","sylvatica","","yes","15","","12","94.03",60,1336,"","","17-Feb-1997",43.732105,15,12,7.01041666666667,60,"exp","exp","fldest",1336,89.140516279768,16,"Fagus_sylvatica",-0.133694895668661,-0.459101004682896,0.56702408025581
"falusi03","exp1","Fagus","sylvatica","","yes","15","","12","87.45",60,118,"","","20-Nov-1996",43.732105,15,12,0.85625,60,"exp","exp","fldest",118,22.0926417078738,16,"Fagus_sylvatica",-0.133694895668661,-0.459101004682896,-1.26765828801678
"falusi03","exp1","Fagus","sylvatica","","yes","15","","12","100.26",60,1710,"","","24-Mar-1997",43.732105,15,12,8.93958333333333,60,"exp","exp","fldest",1710,111.466592216462,16,"Fagus_sylvatica",-0.133694895668661,-0.459101004682896,1.14214793706706
"falusi03","exp1","Fagus","sylvatica","","yes","15","","12","67.01",60,531,"","","18-Dec-1996",43.732105,15,12,2.95833333333333,60,"exp","exp","fldest",531,44.1353256727981,16,"Fagus_sylvatica",-0.133694895668661,-0.459101004682896,-0.640984452679257
"falusi03","exp1","Fagus","sylvatica","","yes","15","","12","100.13",60,1336,"","","17-Feb-1997",43.732105,15,12,7.01041666666667,60,"exp","exp","fldest",1336,89.140516279768,16,"Fagus_sylvatica",-0.133694895668661,-0.459101004682896,0.56702408025581
"falusi03","exp1","Fagus","sylvatica","","yes","25","","12","66.49",60,531,"","","18-Dec-1996",43.732105,25,12,2.95833333333333,60,"exp","exp","fldest",531,44.1353256727981,16,"Fagus_sylvatica",1.51937405786188,-0.459101004682896,-0.640984452679257
"falusi03","exp1","Fagus","sylvatica","","yes","25","","12","93.08",60,1336,"","","17-Feb-1997",43.732105,25,12,7.01041666666667,60,"exp","exp","fldest",1336,89.140516279768,16,"Fagus_sylvatica",1.51937405786188,-0.459101004682896,0.56702408025581
"falusi03","exp1","Fagus","sylvatica","","yes","25","","12","93.22",60,1710,"","","24-Mar-1997",43.732105,25,12,8.93958333333333,60,"exp","exp","fldest",1710,111.466592216462,16,"Fagus_sylvatica",1.51937405786188,-0.459101004682896,1.14214793706706
"falusi03","exp1","Fagus","sylvatica","","yes","25","","12","80.05",60,14,"","","18-Sep-1996",43.732105,25,12,-0.266666666666667,60,"exp","exp","fldest",14,0,16,"Fagus_sylvatica",1.51937405786188,-0.459101004682896,-1.60242260639827
"falusi03","exp1","Fagus","sylvatica","","yes","25","","12","99.46",60,1710,"","","24-Mar-1997",43.732105,25,12,8.93958333333333,60,"exp","exp","fldest",1710,111.466592216462,16,"Fagus_sylvatica",1.51937405786188,-0.459101004682896,1.14214793706706
"falusi03","exp1","Fagus","sylvatica","","yes","25","","12","85.66",60,531,"","","18-Dec-1996",43.732105,25,12,2.95833333333333,60,"exp","exp","fldest",531,44.1353256727981,16,"Fagus_sylvatica",1.51937405786188,-0.459101004682896,-0.640984452679257
"falusi03","exp1","Fagus","sylvatica","","yes","25","","12","86.33",60,1336,"","","17-Feb-1997",43.732105,25,12,7.01041666666667,60,"exp","exp","fldest",1336,89.140516279768,16,"Fagus_sylvatica",1.51937405786188,-0.459101004682896,0.56702408025581
"falusi90","exp1","Fagus","sylvatica","apical, lateral buds","yes","24","13","9","89.32",190,0,"16","0","",46.03333,17.125,9,0,190,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.217582256956579,-0.943139822649012,-1.52292384433365
"falusi90","exp1","Fagus","sylvatica","apical, lateral buds","yes","24","13","13","89.79",130,0,"16","0","",46.03333,18.9583333333333,13,0,130,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.520644898437179,-0.297754732027524,-1.52292384433365
"falusi90","exp1","Fagus","sylvatica","cotyledons and first node","yes","24","13","9","57.3",108,0,"16","0","",46.03333,17.125,9,0,108,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.217582256956579,-0.943139822649012,-1.52292384433365
"falusi90","exp1","Fagus","sylvatica","first-year shoot","yes","24","13","9","62.7",108,0,"16","0","",46.03333,17.125,9,0,108,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.217582256956579,-0.943139822649012,-1.52292384433365
"falusi90","exp1","Fagus","sylvatica","second-year shoot","yes","24","13","9","41.9",108,0,"16","0","",46.03333,17.125,9,0,108,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.217582256956579,-0.943139822649012,-1.52292384433365
"falusi90","exp1","Fagus","sylvatica","leader apical bud","yes","24","13","9","62.5",94,0,"16","0","",46.03333,17.125,9,0,94,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.217582256956579,-0.943139822649012,-1.52292384433365
"falusi90","exp1","Fagus","sylvatica","mean","yes","24","13","9","56.1",108,0,"16","0","",46.03333,17.125,9,0,108,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.217582256956579,-0.943139822649012,-1.52292384433365
"falusi90","exp1","Fagus","sylvatica","cotyledons and first node","yes","24","13","13","71.9",94,0,"16","0","",46.03333,18.9583333333333,13,0,94,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.520644898437179,-0.297754732027524,-1.52292384433365
"falusi90","exp1","Fagus","sylvatica","first-year shoot","yes","24","13","13","62.5",108,0,"16","0","",46.03333,18.9583333333333,13,0,108,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.520644898437179,-0.297754732027524,-1.52292384433365
"falusi90","exp1","Fagus","sylvatica","second-year shoot","yes","24","13","13","61",108,0,"16","0","",46.03333,18.9583333333333,13,0,108,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.520644898437179,-0.297754732027524,-1.52292384433365
"falusi90","exp1","Fagus","sylvatica","leader apical bud","yes","24","13","13","87.5",94,0,"16","0","",46.03333,18.9583333333333,13,0,94,"exp","exp","exp",0,0,16,"Fagus_sylvatica",0.520644898437179,-0.297754732027524,-1.52292384433365
