"datasetID","study","genus","species","prov.lat","prov.long","field.sample","force","photo","chill","chilltime","spp"
"caffarra11b","exp3","Betula","pubescens",1,1,"1","1","1","2","0","1"
"caffarra11b","exp3","Betula","pubescens",1,1,"1","1","1","2","2","1"
"calme94","exp1","Quercus","rubra",1,1,"7","1","1","1","1","3"
"calme94","exp1","Acer","saccharum",1,1,"7","1","1","1","1","3"
"calme94","exp1","Betula","alleghaniensis",1,1,"9","1","1","1","1","3"
"campbell75","exp1","Pseudotsuga","menziesii",2,2,"1","1","1","3","4","1"
"campbell75","exp3","Pseudotsuga","menziesii",4,4,"1","4","1","1","3","1"
"cannell83","exp1","Picea","sitchensis",1,1,"1","1","1","1","12","1"
"cannell83","exp2","Picea","sitchensis",1,1,"1","1","1","1","18","1"
"charrier11","exp1","Juglans","spp",2,2,"1","1","1","1","1","1"
"charrier11","exp2","Juglans","spp",1,0,"1","5","1","1","1","1"
"chavarria09","exp1","Prunus","persica",1,1,"1","1","1","3","4","1"
"chavarria09","exp2","Prunus","persica",1,1,"1","1","1","3","4","1"
"cook00b","exp1","Malus","domestica",2,2,"22","1","1","1","86","1"
"cook05","exp1","Malus","domestica",2,2,"1","1","1","1","1","1"
"cronje03","exp1","Malus","domestica",1,1,"1","1","1","1","42","1"
"dantec14","exp2","Quercus","petraea",2,2,"1","1","1","1","1","2"
"dantec14","exp2","Fagus","sylvatica",2,2,"1","1","1","1","1","2"
"devries82","exp1","Rosa","spp",1,1,"1","3","2","1","1","1"
"falusi03","exp1","Fagus","sylvatica",1,1,"6","2","1","1","1","1"
"falusi90","exp1","Fagus","sylvatica",1,1,"1","1","2","2","2","1"
"falusi96","exp1","Fagus","sylvatica",3,3,"1","1","1","1","1","1"
"falusi96","exp2","Fagus","sylvatica",3,2,"1","1","1","1","1","1"
"falusi96","exp3","Fagus","sylvatica",2,2,"1","1","2","1","1","1"
"falusi97","exp1","Fagus","sylvatica",2,2,"3","2","1","1","0","1"
"falusi97","exp1","Fagus","sylvatica",2,2,"3","2","1","1","2","1"
"falusi97","exp2","Fagus","sylvatica",1,1,"2","2","1","1","0","1"
"falusi97","exp2","Fagus","sylvatica",1,1,"2","2","1","1","2","1"
"fu13","exp1","Fagus","sylvatica",1,1,"2","7","1","1","1","3"
"fu13","exp1","Betula","pendula",1,1,"1","5","1","1","1","3"
"fu13","exp1","Quercus","robur",1,1,"2","7","1","1","1","3"
"gansert02","exp1","Betula","ermanii",1,1,"12","1","1","1","1","1"
"gansert02","exp2","Betula","ermanii",1,1,"9","1","1","1","1","1"
"ghelardini10","exp1","Ulmus","pumila",1,1,"6","1","2","1","1","6"
"ghelardini10","exp1","Ulmus","parvifolia",1,1,"6","1","2","1","1","6"
"ghelardini10","exp1","Ulmus","macrocarpa",1,1,"6","1","2","1","1","6"
"ghelardini10","exp1","Ulmus","villosa",1,1,"6","1","2","1","1","6"
"ghelardini10","exp1","Ulmus","glabra",1,1,"6","1","2","1","1","6"
"ghelardini10","exp1","Ulmus","minor",1,1,"6","1","2","1","1","6"
"ghelardini10","exp2","Ulmus","pumila",1,1,"6","2","1","1","1","4"
"ghelardini10","exp2","Ulmus","parvifolia",1,1,"6","2","1","1","1","4"
"ghelardini10","exp2","Ulmus","villosa",1,1,"6","2","1","1","1","4"
"ghelardini10","exp2","Ulmus","minor",1,1,"6","2","1","1","1","4"
"gianfagna85","exp1","Malus","domestica",1,1,"4","3","1","1","1","1"
"gomory15","exp1","Picea","abies",1,1,"2","2","1","1","1","2"
"gomory15","exp1","Larix","decidua",1,1,"2","2","1","1","1","2"
"granhus09","exp1","Picea","abies",1,1,"1","1","1","1","0","1"
"granhus09","exp1","Picea","abies",1,1,"1","1","1","1","11","1"
"guak98","exp1","Pseudotsuga","menziesii",1,1,"1","2","1","1","1","1"
"guerriero90","exp3","Actinidia","deliciosa",1,1,"6","1","1","1","1","1"
"guerriero90","exp2","Actinidia","deliciosa",1,1,"1","1","1","1","7","1"
"guerriero90","exp1","Actinidia","deliciosa",1,1,"1","1","1","1","1","1"
"guerriero90","exp2","Actinidia","deliciosa",1,1,"1","1","1","1","0","1"
"gunderson12","exp1","Liquidambar","styraciflua",1,1,"1","3","1","1","1","4"
"gunderson12","exp1","Quercus","rubra",1,1,"1","3","1","1","1","4"
"gunderson12","exp1","Populus","grandidentata",1,1,"1","3","1","1","1","4"
"gunderson12","exp1","Betula","alleghaniensis",1,1,"1","3","1","1","1","4"
"hawerroth13","","Malus","domestica",1,1,"1","1","0","1","1","1"
"hawkins12","","Betula","papyrifera",17,17,"1","1","1","1","1","1"
"Heide03","exp1","Betula","pubescens",1,1,"1","1","1","1","4","3"
"Heide03","exp1","Betula","pendula",1,1,"1","1","1","1","4","3"
"Heide03","exp1","Alnus","glutinosa",1,1,"1","1","1","1","4","3"
"heide05","exp1","Malus","pumila",1,1,"1","4","2","1","1","2"
"heide05","exp1","Pyrus","communis L.",1,1,"1","4","2","1","1","2"
"heide05","exp2","Pyrus","communis L.",2,2,"1","4","2","1","1","1"
"heide08","exp1","Prunus","insititia",1,1,"1","4","2","1","1","2"
"heide08","exp1","Prunus","cerasus",2,2,"1","4","2","1","1","2"
"heide08","exp2","Prunus","cerasus",1,1,"1","1","2","1","1","2"
"heide08","exp2","Prunus","insititia",1,1,"1","1","2","1","1","2"
"heide08","exp3","Prunus","avium",1,1,"1","4","2","1","1","1"
"heide11","exp1","Sorbus","aucuparia",1,1,"1","3","2","1","1","2"
"heide11","exp1","Sorbus","commixta",1,1,"1","3","2","1","1","2"
"heide11","exp2","Sorbus","intermedia",1,1,"1","3","2","1","1","1"
"heide11","exp3","Sorbus","intermedia",1,1,"1","3","2","1","1","1"
"heide12","exp1","Ribes","nigrum",1,1,"1","1","3","2","2","1"
"heide12","exp2","Ribes","nigrum",1,1,"1","2","1","2","1","1"
"heide12","exp3","Ribes","nigrum",3,3,"1","3","1","1","1","1"
"heide15","exp2","Ribes","nigrum",1,1,"1","1","6","1","1","1"
"heide93","exp1","Betula","pubescens",1,1,"5","3","2","1","1","6"
"heide93","exp1","Betula","pendula",1,1,"5","3","2","1","1","6"
"heide93","exp1","Prunus","padus",1,1,"5","3","2","1","1","6"
"heide93","exp1","Populus","tremula",1,1,"5","3","2","1","1","6"
"heide93","exp1","Alnus","incana",1,1,"5","3","2","1","1","6"
"heide93","exp1","Alnus","glutinosa",1,1,"5","3","2","1","1","6"
"heide93","exp2","Betula","pubescens",1,1,"5","3","2","1","1","6"
"heide93","exp2","Betula","pendula",1,1,"5","3","2","1","1","6"
"heide93","exp2","Prunus","padus",1,1,"5","3","2","1","1","6"
"heide93","exp2","Populus","tremula",1,1,"5","3","2","1","1","6"
"heide93","exp2","Alnus","incana",1,1,"5","3","2","1","1","6"
"heide93","exp2","Alnus","glutinosa",1,1,"7","3","2","1","1","6"
"heide93","exp3","Corylus","avellana",1,1,"4","1","2","1","1","3"
"heide93","exp3","Rubus","idaeus",1,1,"4","1","2","1","1","3"
"heide93","exp3","Sorbus","aucuparia",1,1,"4","1","2","1","1","3"
"heide93a","exp1","Fagus","sylvatica",1,1,"6","1","2","1","1","1"
"heide93a","exp2","Fagus","sylvatica",1,1,"1","3","2","1","1","1"
"heide93a","exp3","Fagus","sylvatica",4,4,"1","1","6","1","1","2"
"heide93a","exp3","Carpinus","betulus",1,1,"1","1","6","1","1","2"
"howe95","exp1","Populus","trichocarpa",2,2,"1","1","8","1","1","1"
"jones12","exp1","Ribes","nigrum",8,8,"1","1","1","4","5","1"
"jones12","exp1","Ribes","nigrum",8,8,"1","1","1","0","5","1"
"jones12","exp2","Ribes","nigrum",1,1,"1","1","1","0","2","1"
"jones12","exp2","Ribes","nigrum",1,1,"1","1","1","8","2","1"
"junttila12","exp1","Betula","pendula",2,2,"1","3","1","1","0","3"
"junttila12","exp1","Betula","pubescens",2,2,"1","3","1","1","0","3"
"junttila12","exp1","Betula","pendula,pubescens",2,2,"1","5","1","1","0","3"
"junttila12","exp1","Betula","pendula,pubescens",2,2,"1","5","1","1","4","3"
"karlsson03","exp1","Betula","occidentalis",2,2,"1","3","1","1","5","1"
"lamb37","exp1","Rubus","idaeus",1,1,"2","1","1","3","27","1"
"laube14a","exp1","Abies","alba",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Abies","homolepis",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Acer","negundo",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Acer","pseudoplatanus",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Acer","saccharum",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Acer","tataricum",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Aesculus","hippocastanum",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Amorpha","fruticosa",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Betula","pendula",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Carpinus","betulus",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Cornus","alba",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Cornus","mas",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Corylus","avellana",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Fagus","sylvatica",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Fraxinus","chinensis",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Fraxinus","excelsior",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Fraxinus","pennsylvanica",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Juglans","ailantifolia",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Juglans","cinerea",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Juglans","regia",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Larix","decidua",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Picea","abies",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Pinus","nigra",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Pinus","strobus",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Pinus","sylvestris",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Pinus","wallichiana",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Populus","tremula",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Prunus","avium",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Prunus","serotina",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Pseudotsuga","menziesii",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Quercus","bicolor",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Quercus","robur",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Quercus","rubra",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Robinia","pseudoacacia",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Symphoricarpos","albus",1,1,"1","1","3","1","3","35"
"laube14a","exp1","Syringa","vulgaris",1,1,"1","1","3","1","3","35"
"laube14b","exp1","Populus","tremula",1,1,"1","1","1","1","1","9"
"laube14b","exp1","Betula","pendula",1,1,"1","1","1","1","1","9"
"laube14b","exp1","Larix","decidua",1,1,"1","1","1","1","1","9"
"laube14b","exp1","Syringa","vulgaris",1,1,"1","1","1","1","1","9"
"laube14b","exp1","Cornus","mas",1,1,"1","1","1","1","1","9"
"laube14b","exp1","Robinia","pseudoacacia",1,1,"1","1","1","1","1","9"
"laube14b","exp1","Quercus","robur",1,1,"1","1","1","1","1","9"
"laube14b","exp1","Symphoricarpos","albus",1,1,"1","1","1","1","1","9"
"laube14b","exp1","Picea","abies",1,1,"1","1","1","1","1","9"
"li05","exp1","Betula","pendula",4,4,"1","1","1","2","2","1"
"linkosalo06","exp1","Betula","pendula",1,1,"1","1","1","0","1","1"
"man10","exp1","Picea","glauca",1,1,"1","4","1","1","1","1"
"manson91","exp1","Actinidia","deliciosa",1,1,"1","2","1","1","1","1"
"morin10","exp1","Quercus","robur",1,1,"1","3","1","1","1","3"
"morin10","exp1","Quercus","pubescens",1,1,"1","3","1","1","1","3"
"morin10","exp1","Quercus","ilex",1,1,"1","3","1","1","1","3"
"myking95","exp1","Betula","pendula",3,3,"1","1","2","0","4","2"
"myking95","exp1","Betula","pubescens",3,3,"1","1","2","0","4","2"
"myking95","exp1","Betula","pendula",3,3,"1","1","2","3","4","2"
"myking95","exp1","Betula","pubescens",3,3,"1","1","2","3","4","2"
"myking97","exp1","Betula","pubescens",1,1,"1","6","1","0","1","1"
"myking98","exp1","Prunus","padus",1,1,"6","1","1","1","1","3"
"myking98","exp1","Alnus","glutinosa",1,1,"6","1","1","1","1","3"
"myking98","exp1","Betula","pendula",1,1,"6","1","1","1","1","3"
"nienstaedt66","exp1","Picea","glauca",3,3,"1","1","2","1","0","7"
"nienstaedt66","exp1","Picea","engelmannii",3,3,"1","1","1","1","0","7"
"nienstaedt66","exp1","Picea","pungens",1,1,"1","1","2","1","0","7"
"nienstaedt66","exp1","Picea","breweriana",1,1,"1","1","1","1","0","7"
"nienstaedt66","exp1","Picea","abies",2,2,"1","1","2","1","0","7"
"nienstaedt66","exp1","Picea","jezoensis",3,3,"1","1","2","1","0","7"
"nienstaedt66","exp1","Picea","glehnii",1,1,"1","1","2","1","0","7"
"nienstaedt66","exp1","Picea","glauca",3,3,"1","1","2","1","5","7"
"nienstaedt66","exp1","Picea","engelmannii",3,3,"1","1","1","1","5","7"
"nienstaedt66","exp1","Picea","pungens",1,1,"1","1","2","1","5","7"
"nienstaedt66","exp1","Picea","breweriana",1,1,"1","1","1","1","5","7"
"nienstaedt66","exp1","Picea","abies",2,2,"1","1","2","1","5","7"
"nienstaedt66","exp1","Picea","jezoensis",3,3,"1","1","2","1","5","7"
"nienstaedt66","exp1","Picea","glehnii",1,1,"1","1","2","1","5","7"
"nishimoto95","exp1","Prunus","persica",1,1,"5","2","1","1","1","3"
"nishimoto95","exp1","Pyrus","pyrifolia",1,1,"5","2","1","1","1","3"
"nishimoto95","exp1","Vitis","vinifera",1,1,"6","1","1","1","1","3"
"okie11","exp1","Prunus","persica",1,1,"1","1","0","1","1","1"
"okie11","exp1","Prunus","persica",1,1,"1","1","2","1","1","1"
"okie11","exp2","Prunus","persica",1,1,"1","2","0","1","3","1"
"okie11","exp2","Prunus","persica",1,1,"1","2","2","1","3","1"
"pagter15","exp1","Ribes","nigrum",2,2,"4","1","1","2","4","1"
"partanen01","exp1","Picea","abies",3,3,"1","1","2","1","1","1"
"partanen05","exp1","Picea","abies",1,1,"16","1","4","1","1","1"
"partanen05","exp2","Picea","abies",1,1,"16","1","4","1","1","1"
"partanen98","exp1","Picea","abies",3,3,"2","2","3","1","2","1"
"partanen98","exp2","Picea","abies",2,2,"2","1","2","1","2","1"
"partanen98","exp3","Picea","abies",2,2,"2","2","2","1","2","1"
"pettersen71","exp1","Rhododendron","simsii",1,1,"1","1","6","1","1","1"
"pettersen71","exp2","Rhododendron","simsii",1,1,"1","7","4","1","1","1"
"pop2000","exp1","Betula","nana",1,1,"1","3","1","1","4","2"
"pop2000","exp1","Salix","pulchra",1,1,"1","3","1","1","4","2"
"ramos99","exp1","Olea","europaea",1,1,"7","3","1","1","1","1"
"rinne94","exp1","Betula","pubescens",1,1,"1","1","1","1","0","1"
"rinne94","exp1","Betula","pubescens",1,1,"1","1","1","1","3","1"
"rinne97","exp1","Betula","pendula",1,1,"1","1","1","1","7","1"
"ruesink98","exp2","Pieris","japonica",1,1,"1","1","2","0","1","1"
"ruesink98","exp3","Pieris","japonica",1,1,"1","3","2","0","1","1"
"ruesink98","exp5","Pieris","japonica",1,1,"1","3","1","0","1","1"
"Sanz-Perez09","exp1","Quercus","faginea",1,1,"1","2","2","1","1","2"
"Sanz-Perez09","exp1","Quercus","ilex",1,1,"1","2","2","1","1","2"
"sanzperez10","exp1","Quercus","coccifera",0,0,"1","1","1","1","1","3"
"sanzperez10","exp1","Quercus","faginea",0,0,"1","1","1","1","1","3"
"sanzperez10","exp1","Quercus","ilex",0,0,"1","1","1","1","1","3"
"schnabel87","exp1","Vitis","vinifera",2,2,"16","4","4","1","2","1"
"skre08","exp1","Betula","pubescens",5,5,"2","1","1","2","1","1"
"skuterud94","exp1","Betula","pendula",3,6,"1","4","1","4","7","1"
"skuterud94","exp1","Betula","pendula",3,6,"1","4","1","0","7","1"
"sogaard08","exp1a","Picea","abies",1,1,"1","1","1","1","0","1"
"sogaard08","exp1b","Picea","abies",1,1,"1","1","1","1","0","1"
"sogaard08","exp1b","Picea","abies",1,1,"1","1","1","1","4","1"
"sogaard08","exp2","Picea","abies",1,1,"1","2","2","2","3","1"
"sogaard08","exp2","Picea","abies",1,1,"1","2","2","2","0","1"
"sogaard08","exp3a","Picea","abies",1,1,"1","1","1","1","0","1"
"sogaard08","exp3b","Picea","abies",1,1,"1","1","1","1","3","1"
"sonsteby13","exp1","Ribes","nigrum",8,8,"1","1","1","1","1","1"
"sonsteby13","exp2","Ribes","nigrum",7,7,"1","1","1","1","1","1"
"sonsteby14","exp1","Ribes","nigrum",5,5,"1","1","1","1","9","1"
"sonsteby14","exp2","Ribes","nigrum",3,3,"1","1","1","5","4","1"
"sonsteby14","exp2","Ribes","nigrum",3,3,"1","1","1","0","4","1"
"sonsteby14","exp3","Ribes","nigrum",2,2,"1","1","1","5","3","1"
"sonsteby14","exp3","Ribes","nigrum",2,2,"1","1","1","0","3","1"
"sonsteby14","exp4","Ribes","nigrum",3,3,"1","1","1","0","4","1"
"sonsteby14","exp4","Ribes","nigrum",3,3,"1","1","1","2","4","1"
"sonsteby14","exp5","Ribes","nigrum",1,1,"1","1","1","0","1","1"
"spann04","exp1","Vaccinium","corymbosum",1,1,"1","1","1","1","1","1"
"spiers74","exp1","Vaccinium","ashei",1,1,"1","1","1","1","0","1"
"spiers74","exp1","Vaccinium","ashei",1,1,"1","1","1","1","5","1"
"spiers74","exp2","Vaccinium","ashei",1,1,"8","1","1","1","1","1"
"swartz81","exp1","Malus","domestica",1,1,"1","1","1","1","2","1"
"thielges75","exp1","Populus","deltoides",0,0,"1","1","1","2","0","1"
"thielges75","exp1","Populus","deltoides",0,0,"1","1","1","2","10","1"
"viheraaarnio06","exp1","Betula","pendula",2,1,"1","1","4","1","0","1"
"viheraaarnio06","exp2","Betula","pendula",2,1,"1","1","8","1","0","1"
"viheraaarnio06","exp3","Betula","pendula",2,1,"1","1","9","1","0","1"
"webb78","exp1","Acer","saccharum",1,1,"1","1","1","1","0","3"
"webb78","exp1","Acer","saccharum",1,1,"1","1","1","1","7","3"
"webb78","exp1","Acer","saccharinum",1,1,"1","1","1","1","0","3"
"webb78","exp1","Acer","saccharinum",1,1,"1","1","1","1","7","3"
"webb78","exp1","Fraxinus","americana",1,1,"1","1","1","1","0","3"
"webb78","exp1","Fraxinus","americana",1,1,"1","1","1","1","7","3"
"webb78","exp2","Acer","saccharum",1,1,"2","1","1","1","2","3"
"webb78","exp2","Acer","saccharinum",1,1,"2","1","1","1","2","3"
"webb78","exp2","Fraxinus","americana",1,1,"2","1","1","1","2","3"
"worrall67","exp 3","Picea","abies",1,1,"1","2","2","1","0","1"
"worrall67","exp 3","Picea","abies",1,1,"1","2","2","1","13","1"
"worrall67","exp 4","Picea","abies",1,1,"1","1","1","1","7","1"
"worrall67","exp 5","Picea","abies",11,1,"1","1","1","1","1","1"
"worrall67","exp1","Picea","abies",1,1,"1","1","1","1","1","1"
"worrall67","exp2","Picea","abies",1,1,"1","2","1","1","2","1"
"yazdaniha64","exp1","Prunus","persica",1,1,"2","1","1","2","3","1"
"zohner16","Exp1","Acer","barbinerve",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Acer","campestre",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Acer","ginnala",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Acer","platanoides",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Aesculus","flava",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Aesculus","hippocastanum",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Aesculus","parviflora",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Alnus","incana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Alnus","maximowiczii",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Amelanchier","alnifolia",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Amelanchier","florida",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Amelanchier","laevis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Aronia","melanocarpa",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Berberis","dielsiana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Betula","lenta",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Betula","nana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Betula","populifolia",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Buddleja","albiflora",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Buddleja","alternifolia",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Buddleja","davidii",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Caragana","pygmaea",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Carpinus","betulus",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Carpinus","laxiflora",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Carpinus","monbeigiana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Carya","cordiformis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Carya","laciniosa",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Carya","ovata",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Castanea","sativa",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Cedrus","libani",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Celtis","caucasica",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Celtis","laevigata",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Celtis","occidentalis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Cephalanthus","occidentalis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Cercidiphyllum","japonicum",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Cercidiphyllum","magnificum",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Cercis","canadensis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Cercis","chinensis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Cladrastis","lutea",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Cornus","alba",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Cornus","kousa",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Corylopsis","sinensis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Corylopsis","spicata",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Corylus","avellana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Corylus","heterophylla",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Corylus","sieboldiana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Decaisnea","fargesii",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Deutzia","gracilis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Deutzia","scabra",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Elaeagnus","ebbingei",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Eleutherococcus","senticosus",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Eleutherococcus","setchuenensis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Eleutherococcus","sieboldianus",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Euonymus","europaeus",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Euonymus","latifolius",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Fagus","crenata",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Fagus","engleriana",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Fagus","orientalis",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Fagus","sylvatica",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Forsythia","ovata",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Forsythia","suspensa",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Fraxinus","latifolia",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Fraxinus","ornus",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Ginkgo","biloba",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Hamamelis","japonica",1,1,"3","1","2","1","1","130"
"zohner16","Exp1","Hamamelis","vernalis",1,1,"3","1","2","1","1","130"
