"datasetID","study","genus","species","prov.lat","prov.long","field.sample","force","photo","chill","chilltime","spp"
"ashby62","exp1","Tilia","americana",3,3,"1","1","3","1","1","1"
"ashby62","exp2","Tilia","americana",1,1,"4","1","3","1","1","1"
"basler12","exp1","Acer","pseudoplatanus",2,2,"1","1","2","1","1","14"
"basler12","exp1","Betula","pendula",2,2,"1","1","2","1","1","14"
"basler12","exp1","Aesculus","hippocastanum",2,2,"1","1","2","1","1","14"
"basler12","exp1","Syringa","vulgaris",2,2,"1","1","2","1","1","14"
"basler12","exp1","Corylus","avellana",2,2,"1","1","2","1","1","14"
"basler12","exp1","Fraxinus","excelsior",2,2,"1","1","2","1","1","14"
"basler12","exp1","Fagus","sylvatica",2,2,"1","1","2","1","1","14"
"basler12","exp1","Picea","abies",2,2,"1","1","2","1","1","14"
"basler12","exp1","Larix","decidua",2,2,"1","1","2","1","1","14"
"basler12","exp1","Prunus","avium",2,2,"1","1","2","1","1","14"
"basler12","exp1","Quercus","petraea",2,2,"1","1","2","1","1","14"
"basler12","exp1","Tilia","cordata",2,2,"1","1","2","1","1","14"
"basler12","exp1","Sorbus","aucuparia",2,2,"1","1","2","1","1","14"
"basler12","exp1","Abies","alba",2,2,"1","1","2","1","1","14"
"basler14","exp1","Acer","pseudoplatanus",1,1,"3","3","3","1","3","4"
"basler14","exp1","Fagus","sylvatica",1,1,"3","3","3","1","3","4"
"basler14","exp1","Quercus","petraea",1,1,"3","3","3","1","3","4"
"basler14","exp1","Picea","abies",1,1,"3","3","3","1","3","4"
"biasi12","exp1","Actinidia","deliciosa",1,1,"18","1","1","1","1","2"
"biasi12","exp1","Vitis","vinifera",1,1,"14","1","1","1","1","2"
"boyer","exp1","Pinus","taeda",2,2,"1","1","1","1","5","1"
"boyer","exp2","Pinus","taeda",3,4,"4","1","1","2","2","1"
"caffarra11a","exp1","Betula","pubescens",1,1,"1","1","1","1","1","4"
"caffarra11a","exp1","Salix","smithiana",1,1,"1","1","1","1","1","4"
"caffarra11a","exp1","Fagus","sylvatica",1,1,"1","1","1","1","1","4"
"caffarra11a","exp1","Tilia","cordata",1,1,"1","1","1","1","1","4"
"caffarra11a","exp2","Fagus","sylvatica",1,1,"1","5","1","1","1","4"
"caffarra11a","exp2","Tilia","cordata",1,1,"1","5","1","1","1","4"
"caffarra11a","exp2","Salix","smithiana",1,1,"1","5","1","1","1","4"
"caffarra11a","exp2","Betula","pubescens",1,1,"1","5","1","1","1","4"
"caffarra11a","exp3","Fagus","sylvatica",1,1,"1","1","2","1","0","4"
"caffarra11a","exp3","Fagus","sylvatica",1,1,"1","1","2","1","5","4"
"caffarra11a","exp3","Tilia","cordata",1,1,"1","1","2","1","3","4"
"caffarra11a","exp3","Salix","smithiana",1,1,"1","1","2","1","3","4"
"caffarra11a","exp3","Betula","pubescens",1,1,"1","1","2","1","0","4"
"caffarra11a","exp3","Betula","pubescens",1,1,"1","1","2","1","5","4"
"caffarra11b","exp2","Betula","pubescens",1,1,"4","1","4","1","0","1"
"caffarra11b","exp2","Betula","pubescens",1,1,"4","1","4","1","4","1"
