,datasetID,study,response,n,error.type,resp_error,figure.table..if.applicable.
670,basler14,exp1,timeonly,,,,fig 4
671,basler14,exp1,timeonly,,,,fig 4
672,basler14,exp1,timeonly,,,,fig 4
673,basler14,exp1,timeonly,,,,fig 4
674,basler14,exp1,timeonly,,,,fig 4
675,basler14,exp1,timeonly,,,,fig 4
721,caffarra11b,exp2,timeonly,,SE,,table 3
722,caffarra11b,exp2,timeonly,,SE,,table 3
808,ghelardini10,exp1,timeonly,,,,fig 2
809,ghelardini10,exp1,timeonly,,,,fig 2
810,ghelardini10,exp1,timeonly,,,,fig 2
811,ghelardini10,exp1,timeonly,,,,fig 2
812,ghelardini10,exp1,timeonly,,,,fig 2
813,ghelardini10,exp1,timeonly,,,,fig 2
814,ghelardini10,exp1,timeonly,,,,fig 2
815,ghelardini10,exp1,timeonly,,,,fig 2
816,ghelardini10,exp1,timeonly,,,,fig 2
817,ghelardini10,exp1,timeonly,,,,fig 2
818,ghelardini10,exp1,timeonly,,,,fig 2
819,ghelardini10,exp1,timeonly,,,,fig 2
820,ghelardini10,exp1,timeonly,,,,fig 2
821,ghelardini10,exp1,timeonly,,,,fig 2
822,ghelardini10,exp1,timeonly,,,,fig 2
823,ghelardini10,exp1,timeonly,,,,fig 2
824,ghelardini10,exp1,timeonly,,,,fig 2
825,ghelardini10,exp1,timeonly,,,,fig 2
826,ghelardini10,exp1,timeonly,,,,fig 2
827,ghelardini10,exp1,timeonly,,,,fig 2
828,ghelardini10,exp1,timeonly,,,,fig 2
829,ghelardini10,exp1,timeonly,,,,fig 2
830,ghelardini10,exp1,timeonly,,,,fig 2
831,ghelardini10,exp1,timeonly,,,,fig 2
832,ghelardini10,exp1,timeonly,,,,fig 2
833,ghelardini10,exp1,timeonly,,,,fig 2
834,ghelardini10,exp1,timeonly,,,,fig 2
835,ghelardini10,exp1,timeonly,,,,fig 2
836,ghelardini10,exp1,timeonly,,,,fig 2
837,ghelardini10,exp1,timeonly,,,,fig 2
838,ghelardini10,exp1,timeonly,,,,fig 2
839,ghelardini10,exp1,timeonly,,,,fig 2
840,ghelardini10,exp1,timeonly,,,,fig 2
841,ghelardini10,exp1,timeonly,,,,fig 2
842,ghelardini10,exp1,timeonly,,,,fig 2
843,ghelardini10,exp1,timeonly,,,,fig 2
844,ghelardini10,exp1,timeonly,,,,fig 2
845,ghelardini10,exp1,timeonly,,,,fig 2
846,ghelardini10,exp1,timeonly,,,,fig 2
847,ghelardini10,exp1,timeonly,,,,fig 2
848,ghelardini10,exp1,timeonly,,,,fig 2
849,ghelardini10,exp1,timeonly,,,,fig 2
850,ghelardini10,exp1,timeonly,,,,fig 2
851,ghelardini10,exp1,timeonly,,,,fig 2
852,ghelardini10,exp1,timeonly,,,,fig 2
853,ghelardini10,exp1,timeonly,,,,fig 2
854,ghelardini10,exp1,timeonly,,,,fig 2
855,ghelardini10,exp1,timeonly,,,,fig 2
856,ghelardini10,exp1,timeonly,,,,fig 2
857,ghelardini10,exp1,timeonly,,,,fig 2
858,ghelardini10,exp1,timeonly,,,,fig 2
859,ghelardini10,exp1,timeonly,,,,fig 2
860,ghelardini10,exp1,timeonly,,,,fig 2
861,ghelardini10,exp1,timeonly,,,,fig 2
862,ghelardini10,exp1,timeonly,,,,fig 2
863,ghelardini10,exp1,timeonly,,,,fig 2
864,ghelardini10,exp1,timeonly,,,,fig 2
865,ghelardini10,exp1,timeonly,,,,fig 2
866,ghelardini10,exp1,timeonly,,,,fig 2
867,ghelardini10,exp1,timeonly,,,,fig 2
868,ghelardini10,exp1,timeonly,,,,fig 2
869,ghelardini10,exp1,timeonly,,,,fig 2
870,ghelardini10,exp1,timeonly,,,,fig 2
871,ghelardini10,exp1,timeonly,,,,fig 2
872,ghelardini10,exp1,timeonly,,,,fig 2
873,ghelardini10,exp1,timeonly,,,,fig 2
874,ghelardini10,exp1,timeonly,,,,fig 2
875,ghelardini10,exp1,timeonly,,,,fig 2
876,ghelardini10,exp1,timeonly,,,,fig 2
877,ghelardini10,exp1,timeonly,,,,fig 2
878,ghelardini10,exp1,timeonly,,,,fig 2
879,ghelardini10,exp1,timeonly,,,,fig 2
880,ghelardini10,exp2,timeonly,,,,fig 4
881,ghelardini10,exp2,timeonly,,,,fig 4
882,ghelardini10,exp2,timeonly,,,,fig 4
883,ghelardini10,exp2,timeonly,,,,fig 4
884,ghelardini10,exp2,timeonly,,,,fig 4
885,ghelardini10,exp2,timeonly,,,,fig 4
886,ghelardini10,exp2,timeonly,,,,fig 4
887,ghelardini10,exp2,timeonly,,,,fig 4
888,ghelardini10,exp2,timeonly,,,,fig 4
889,ghelardini10,exp2,timeonly,,,,fig 4
890,ghelardini10,exp2,timeonly,,,,fig 4
891,ghelardini10,exp2,timeonly,,,,fig 4
892,ghelardini10,exp2,timeonly,,,,fig 4
893,ghelardini10,exp2,timeonly,,,,fig 4
894,ghelardini10,exp2,timeonly,,,,fig 4
895,ghelardini10,exp2,timeonly,,,,fig 4
896,ghelardini10,exp2,timeonly,,,,fig 4
897,ghelardini10,exp2,timeonly,,,,fig 4
898,ghelardini10,exp2,timeonly,,,,fig 4
899,ghelardini10,exp2,timeonly,,,,fig 4
900,ghelardini10,exp2,timeonly,,,,fig 4
901,ghelardini10,exp2,timeonly,,,,fig 4
902,ghelardini10,exp2,timeonly,,,,fig 4
903,ghelardini10,exp2,timeonly,,,,fig 4
904,ghelardini10,exp2,timeonly,,,,fig 4
905,ghelardini10,exp2,timeonly,,,,fig 4
906,ghelardini10,exp2,timeonly,,,,fig 4
907,ghelardini10,exp2,timeonly,,,,fig 4
908,ghelardini10,exp2,timeonly,,,,fig 4
909,ghelardini10,exp2,timeonly,,,,fig 4
910,ghelardini10,exp2,timeonly,,,,fig 4
911,ghelardini10,exp2,timeonly,,,,fig 4
912,ghelardini10,exp2,timeonly,,,,fig 4
913,ghelardini10,exp2,timeonly,,,,fig 4
914,ghelardini10,exp2,timeonly,,,,fig 4
915,ghelardini10,exp2,timeonly,,,,fig 4
916,ghelardini10,exp2,timeonly,,,,fig 4
917,ghelardini10,exp2,timeonly,,,,fig 4
918,ghelardini10,exp2,timeonly,,,,fig 4
919,ghelardini10,exp2,timeonly,,,,fig 4
920,ghelardini10,exp2,timeonly,,,,fig 4
921,ghelardini10,exp2,timeonly,,,,fig 4
922,ghelardini10,exp2,timeonly,,,,fig 4
923,ghelardini10,exp2,timeonly,,,,fig 4
924,ghelardini10,exp2,timeonly,,,,fig 4
925,ghelardini10,exp2,timeonly,,,,fig 4
926,ghelardini10,exp2,timeonly,,,,fig 4
927,ghelardini10,exp2,timeonly,,,,fig 4
928,ghelardini10,exp2,timeonly,,,,fig 4
929,ghelardini10,exp2,timeonly,,,,fig 4
930,ghelardini10,exp2,timeonly,,,,fig 4
931,ghelardini10,exp2,timeonly,,,,fig 4
932,ghelardini10,exp2,timeonly,,,,fig 4
933,ghelardini10,exp2,timeonly,,,,fig 4
934,ghelardini10,exp2,timeonly,,,,fig 4
935,ghelardini10,exp2,timeonly,,,,fig 4
936,ghelardini10,exp2,timeonly,,,,fig 4
937,ghelardini10,exp2,timeonly,,,,fig 4
938,ghelardini10,exp2,timeonly,,,,fig 4
939,ghelardini10,exp2,timeonly,,,,fig 4
940,ghelardini10,exp2,timeonly,,,,fig 4
941,ghelardini10,exp2,timeonly,,,,fig 4
942,ghelardini10,exp2,timeonly,,,,fig 4
943,ghelardini10,exp2,timeonly,,,,fig 4
944,ghelardini10,exp2,timeonly,,,,fig 4
945,ghelardini10,exp2,timeonly,,,,fig 4
946,ghelardini10,exp2,timeonly,,,,fig 4
947,ghelardini10,exp2,timeonly,,,,fig 4
948,ghelardini10,exp2,timeonly,,,,fig 4
949,ghelardini10,exp2,timeonly,,,,fig 4
950,ghelardini10,exp2,timeonly,,,,fig 4
951,ghelardini10,exp2,timeonly,,,,fig 4
952,ghelardini10,exp2,timeonly,,,,fig 4
953,ghelardini10,exp2,timeonly,,,,fig 4
954,ghelardini10,exp2,timeonly,,,,fig 4
955,ghelardini10,exp2,timeonly,,,,fig 4
956,ghelardini10,exp2,timeonly,,,,fig 4
957,ghelardini10,exp2,timeonly,,,,fig 4
958,ghelardini10,exp2,timeonly,,,,fig 4
959,ghelardini10,exp2,timeonly,,,,fig 4
960,ghelardini10,exp2,timeonly,,,,fig 4
961,ghelardini10,exp2,timeonly,,,,fig 4
962,ghelardini10,exp2,timeonly,,,,fig 4
963,ghelardini10,exp2,timeonly,,,,fig 4
964,ghelardini10,exp2,timeonly,,,,fig 4
965,ghelardini10,exp2,timeonly,,,,fig 4
966,ghelardini10,exp2,timeonly,,,,fig 4
967,ghelardini10,exp2,timeonly,,,,fig 4
968,ghelardini10,exp2,timeonly,,,,fig 4
969,ghelardini10,exp2,timeonly,,,,fig 4
970,ghelardini10,exp2,timeonly,,,,fig 4
971,ghelardini10,exp2,timeonly,,,,fig 4
972,ghelardini10,exp2,timeonly,,,,fig 4
973,ghelardini10,exp2,timeonly,,,,fig 4
974,ghelardini10,exp2,timeonly,,,,fig 4
975,ghelardini10,exp2,timeonly,,,,fig 4
1048,laube14a,exp1,timeonly,,,,fig 2
1049,laube14a,exp1,timeonly,,,,fig 2
1050,laube14a,exp1,timeonly,,,,fig 2
1051,laube14a,exp1,timeonly,,,,fig 2
1052,laube14a,exp1,timeonly,,,,fig 2
1053,laube14a,exp1,timeonly,,,,fig 2
1054,laube14a,exp1,timeonly,,,,fig 2
1055,laube14a,exp1,timeonly,,,,fig 2
1056,laube14a,exp1,timeonly,,,,fig 2
1057,laube14a,exp1,timeonly,,,,fig 2
1058,laube14a,exp1,timeonly,,,,fig 2
1059,laube14a,exp1,timeonly,,,,fig 2
1060,laube14a,exp1,timeonly,,,,fig 2
1061,laube14a,exp1,timeonly,,,,fig 2
1062,laube14a,exp1,timeonly,,,,fig 2
1063,laube14a,exp1,timeonly,,,,fig 2
1064,laube14a,exp1,timeonly,,,,fig 2
1065,laube14a,exp1,timeonly,,,,fig 2
1066,laube14a,exp1,timeonly,,,,fig 2
1067,laube14a,exp1,timeonly,,,,fig 2
1068,laube14a,exp1,timeonly,,,,fig 2
1069,laube14a,exp1,timeonly,,,,fig 2
1070,laube14a,exp1,timeonly,,,,fig 2
1071,laube14a,exp1,timeonly,,,,fig 2
1072,laube14a,exp1,timeonly,,,,fig 2
1073,laube14a,exp1,timeonly,,,,fig 2
1074,laube14a,exp1,timeonly,,,,fig 2
1075,laube14a,exp1,timeonly,,,,fig 2
1076,laube14a,exp1,timeonly,,,,fig 2
1077,laube14a,exp1,timeonly,,,,fig 2
1078,laube14a,exp1,timeonly,,,,fig 2
1079,laube14a,exp1,timeonly,,,,fig 2
1080,laube14a,exp1,timeonly,,,,fig 2
1081,laube14a,exp1,timeonly,,,,fig 2
1082,laube14a,exp1,timeonly,,,,fig 2
1083,laube14a,exp1,timeonly,,,,fig 2
1084,laube14a,exp1,timeonly,,,,fig 2
1085,laube14a,exp1,timeonly,,,,fig 2
1086,laube14a,exp1,timeonly,,,,fig 2
1087,laube14a,exp1,timeonly,,,,fig 2
1088,laube14a,exp1,timeonly,,,,fig 2
1089,laube14a,exp1,timeonly,,,,fig 2
1090,laube14a,exp1,timeonly,,,,fig 2
1091,laube14a,exp1,timeonly,,,,fig 2
1092,laube14a,exp1,timeonly,,,,fig 2
1093,laube14a,exp1,timeonly,,,,fig 2
1094,laube14a,exp1,timeonly,,,,fig 2
1095,laube14a,exp1,timeonly,,,,fig 2
1096,laube14a,exp1,timeonly,,,,fig 2
1097,laube14a,exp1,timeonly,,,,fig 2
1098,laube14a,exp1,timeonly,,,,fig 2
1099,laube14a,exp1,timeonly,,,,fig 2
1100,laube14a,exp1,timeonly,,,,fig 2
1101,laube14a,exp1,timeonly,,,,fig 2
1102,laube14a,exp1,timeonly,,,,fig 2
1103,laube14a,exp1,timeonly,,,,fig 2
