"","lon","lat","minforce","minchill","minphoto","maxforce","maxchill","maxphoto","species"
"818",33.38,67.5,8,0,8,21,4238,24,"Ribes_nigrum"
"828",11.50293,48.16447,5,868.5,8,21,2223.5,24,"Corylus_avellana"
"830",11.711811,48.403008,4.9,0,6,25.3,3048,16,"Picea_abies"
"1012",11.81,43.8,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"1013",11.711811,48.403008,7,437,8,27.1675781272352,3048.5,16,"Pseudotsuga_menziesii"
"1014",7.033,46.2,5,0,6,25.3,4032,24,"Betula_pendula"
"1018",18.6,69,6,0,8,32,3264,24,"Betula_pubescens"
"1020",18.067,59.35,8,0,8,21,4238,24,"Ribes_nigrum"
"1032",26.68333333,61.93333333,4.9,0,6,25.3,3048,16,"Picea_abies"
"1214",11.82,38.2666,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"1216",9.53,46.85,5,0,6,25.3,4032,24,"Betula_pendula"
"1222",11.5,64,8,0,8,21,4238,24,"Ribes_nigrum"
"1234",24,61.08333333,4.9,0,6,25.3,3048,16,"Picea_abies"
"1416",11.96,43.82,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"1418",11.711811,48.403008,5,0,6,25.3,4032,24,"Betula_pendula"
"1424",21.397,65.3426,8,0,8,21,4238,24,"Ribes_nigrum"
"1436",27.5,60.78333333,4.9,0,6,25.3,3048,16,"Picea_abies"
"1618",7.033,46.2,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"1620",24.95,60.17,5,0,6,25.3,4032,24,"Betula_pendula"
"1626",20.154,51.966,8,0,8,21,4238,24,"Ribes_nigrum"
"1638",23.05,60.03333,4.9,0,6,25.3,3048,16,"Picea_abies"
"1820",9.53,46.85,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"1822",9.15,56.1,5,0,6,25.3,4032,24,"Betula_pendula"
"1840",29.583,64.85,4.9,0,6,25.3,3048,16,"Picea_abies"
"2022",8.265,46.315,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"2024",11.5,64,5,0,6,25.3,4032,24,"Betula_pendula"
"2042",24.983,60.35,4.9,0,6,25.3,3048,16,"Picea_abies"
"2224",-6.934,52.32,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"2226",18.6,69,5,0,6,25.3,4032,24,"Betula_pendula"
"2244",-72.928,41.306,4.9,0,6,25.3,3048,16,"Picea_abies"
"2426",10.83,59.67,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"2428",10.83,59.67,5,0,6,25.3,4032,24,"Betula_pendula"
"2446",11.50293,48.16447,4.9,0,6,25.3,3048,16,"Picea_abies"
"2628",7.6,47.5,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"2630",24.33,61.5,5,0,6,25.3,4032,24,"Betula_pendula"
"2830",22.5,49.3,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"2832",10.166,60.5,5,0,6,25.3,4032,24,"Betula_pendula"
"3032",12.5,55.75,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"3034",11.33,59.666,5,0,6,25.3,4032,24,"Betula_pendula"
"3234",11.711811,48.403008,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"3236",10.167,NA,5,0,6,25.3,4032,24,"Betula_pendula"
