"","sprtemp.-6","sprtemp.-5","sprtemp.-4","sprtemp.-3","sprtemp.-2","sprtemp.-1","sprtemp.0","sprtemp.1","sprtemp.2","sprtemp.3","sprtemp.4","sprtemp.5","sprtemp.6","sprtemp.7","sprtemp.8","sprtemp.9","sprtemp.10","sprtemp.11","sprtemp.12","sprtemp.13","sprtemp.14","sprtemp.15","sprtemp.16","sprtemp.17","sprtemp.18","sprtemp.19","sprtemp.20","sprtemp.21","sprtemp.22","sprtemp.23","sprtemp.24","sprtemp.25","sprtemp.26","sprtemp.27","sprtemp.28","sprtemp.29","sprtemp.30","sprtemp.31","sprtemp.32"
"wintemp.-6",59.8819050164241,59.0818699631127,58.2818349098014,57.4817998564901,56.6817648031788,55.8817297498675,55.0816946965561,54.2816596432448,53.4816245899335,52.6815895366222,51.8815544833108,51.0815194299995,50.2814843766882,49.4814493233769,48.6814142700656,47.8813792167542,47.0813441634429,46.2813091101316,45.4812740568203,44.6812390035089,43.8812039501976,43.0811688968863,42.281133843575,41.4810987902637,40.6810637369523,39.881028683641,39.0809936303297,38.2809585770184,37.4809235237071,36.6808884703957,35.8808534170844,35.0808183637731,34.2807833104618,33.4807482571504,32.6807132038391,31.8806781505278,31.0806430972165,30.2806080439052,29.4805729905938
"wintemp.-5",58.461303800139,57.6612687468277,56.8612336935164,56.0611986402051,55.2611635868937,54.4611285335824,53.6610934802711,52.8610584269598,52.0610233736485,51.2609883203371,50.4609532670258,49.6609182137145,48.8608831604032,48.0608481070918,47.2608130537805,46.4607780004692,45.6607429471579,44.8607078938466,44.0606728405352,43.2606377872239,42.4606027339126,41.6605676806013,40.8605326272899,40.0604975739786,39.2604625206673,38.460427467356,37.6603924140447,36.8603573607333,36.060322307422,35.2602872541107,34.4602522007994,33.660217147488,32.8601820941767,32.0601470408654,31.2601119875541,30.4600769342428,29.6600418809314,28.8600068276201,28.0599717743088
"wintemp.-4",55.8030597598643,55.003024706553,54.2029896532417,53.4029545999303,52.602919546619,51.8028844933077,51.0028494399964,50.202814386685,49.4027793333737,48.6027442800624,47.8027092267511,47.0026741734398,46.2026391201284,45.4026040668171,44.6025690135058,43.8025339601945,43.0024989068832,42.2024638535718,41.4024288002605,40.6023937469492,39.8023586936379,39.0023236403265,38.2022885870152,37.4022535337039,36.6022184803926,35.8021834270813,35.0021483737699,34.2021133204586,33.4020782671473,32.602043213836,31.8020081605247,31.0019731072133,30.201938053902,29.4019030005907,28.6018679472794,27.801832893968,27.0017978406567,26.2017627873454,25.4017277340341
"wintemp.-3",53.6161376776618,52.8161026243505,52.0160675710392,51.2160325177279,50.4159974644165,49.6159624111052,48.8159273577939,48.0158923044826,47.2158572511713,46.4158221978599,45.6157871445486,44.8157520912373,44.015717037926,43.2156819846147,42.4156469313033,41.615611877992,40.8155768246807,40.0155417713694,39.215506718058,38.4154716647467,37.6154366114354,36.8154015581241,36.0153665048128,35.2153314515014,34.4152963981901,33.6152613448788,32.8152262915675,32.0151912382562,31.2151561849448,30.4151211316335,29.6150860783222,28.8150510250109,28.0150159716995,27.2149809183882,26.4149458650769,25.6149108117656,24.8148757584543,24.0148407051429,23.2148056518316
"wintemp.-2",51.2970746481981,50.4970395948868,49.6970045415755,48.8969694882641,48.0969344349528,47.2968993816415,46.4968643283302,45.6968292750188,44.8967942217075,44.0967591683962,43.2967241150849,42.4966890617736,41.6966540084622,40.8966189551509,40.0965839018396,39.2965488485283,38.4965137952169,37.6964787419056,36.8964436885943,36.096408635283,35.2963735819717,34.4963385286603,33.696303475349,32.8962684220377,32.0962333687264,31.2961983154151,30.4961632621037,29.6961282087924,28.8960931554811,28.0960581021698,27.2960230488584,26.4959879955471,25.6959529422358,24.8959178889245,24.0958828356132,23.2958477823018,22.4958127289905,21.6957776756792,20.8957426223679
"wintemp.-1",49.029402887309,48.2293678339977,47.4293327806864,46.6292977273751,45.8292626740637,45.0292276207524,44.2291925674411,43.4291575141298,42.6291224608185,41.8290874075071,41.0290523541958,40.2290173008845,39.4289822475732,38.6289471942618,37.8289121409505,37.0288770876392,36.2288420343279,35.4288069810166,34.6287719277052,33.8287368743939,33.0287018210826,32.2286667677713,31.42863171446,30.6285966611486,29.8285616078373,29.028526554526,28.2284915012147,27.4284564479033,26.628421394592,25.8283863412807,25.0283512879694,24.2283162346581,23.4282811813467,22.6282461280354,21.8282110747241,21.0281760214128,20.2281409681014,19.4281059147901,18.6280708614788
"wintemp.0",46.4457663124716,45.6457312591603,44.845696205849,44.0456611525377,43.2456260992263,42.445591045915,41.6455559926037,40.8455209392924,40.0454858859811,39.2454508326697,38.4454157793584,37.6453807260471,36.8453456727358,36.0453106194245,35.2452755661131,34.4452405128018,33.6452054594905,32.8451704061792,32.0451353528678,31.2451002995565,30.4450652462452,29.6450301929339,28.8449951396226,28.0449600863112,27.2449250329999,26.4448899796886,25.6448549263773,24.844819873066,24.0447848197546,23.2447497664433,22.444714713132,21.6446796598207,20.8446446065093,20.044609553198,19.2445744998867,18.4445394465754,17.6445043932641,16.8444693399527,16.0444342866414
"wintemp.1",43.9332209743377,43.1331859210264,42.333150867715,41.5331158144037,40.7330807610924,39.9330457077811,39.1330106544698,38.3329756011584,37.5329405478471,36.7329054945358,35.9328704412245,35.1328353879132,34.3328003346018,33.5327652812905,32.7327302279792,31.9326951746679,31.1326601213565,30.3326250680452,29.5325900147339,28.7325549614226,27.9325199081113,27.1324848547999,26.3324498014886,25.5324147481773,24.732379694866,23.9323446415546,23.1323095882433,22.332274534932,21.5322394816207,20.7322044283094,19.932169374998,19.1321343216867,18.3320992683754,17.5320642150641,16.7320291617528,15.9319941084414,15.1319590551301,14.3319240018188,13.5318889485075
"wintemp.2",41.4122217409306,40.6121866876192,39.8121516343079,39.0121165809966,38.2120815276853,37.412046474374,36.6120114210626,35.8119763677513,35.01194131444,34.2119062611287,33.4118712078173,32.611836154506,31.8118011011947,31.0117660478834,30.2117309945721,29.4116959412607,28.6116608879494,27.8116258346381,27.0115907813268,26.2115557280154,25.4115206747041,24.6114856213928,23.8114505680815,23.0114155147702,22.2113804614588,21.4113454081475,20.6113103548362,19.8112753015249,19.0112402482136,18.2112051949022,17.4111701415909,16.6111350882796,15.8111000349683,15.0110649816569,14.2110299283456,13.4109948750343,12.610959821723,11.8109247684117,11.0108897151003
"wintemp.3",38.8597131686722,38.0596781153608,37.2596430620495,36.4596080087382,35.6595729554269,34.8595379021156,34.0595028488042,33.2594677954929,32.4594327421816,31.6593976888703,30.8593626355589,30.0593275822476,29.2592925289363,28.459257475625,27.6592224223137,26.8591873690023,26.059152315691,25.2591172623797,24.4590822090684,23.6590471557571,22.8590121024457,22.0589770491344,21.2589419958231,20.4589069425118,19.6588718892004,18.8588368358891,18.0588017825778,17.2587667292665,16.4587316759552,15.6586966226438,14.8586615693325,14.0586265160212,13.2585914627099,12.4585564093986,11.6585213560872,10.8584863027759,10.0584512494646,9.25841619615326,8.45838114284194
