"name","datasets","force","photo","chill","field.sample","prov.lat"
"Prunus_persica","3","3","4","5","8",3
"Fagus_sylvatica","11","20","14","4","29",19
"Ulmus_pumila","1","3","2","1","1",1
"Ulmus_parvifolia","1","3","2","1","1",1
"Ulmus_macrocarpa","1","1","2","1","1",1
"Ulmus_villosa","1","3","2","1","1",1
"Ulmus_glabra","1","1","2","1","1",1
"Ulmus_minor","1","3","2","1","1",1
"Pseudotsuga_menziesii","3","8","3","5","5",8
"Betula_pendula","14","15","16","9","26",21
"Prunus_padus","3","4","3","1","17",3
"Populus_tremula","3","5","4","1","12",2
"Alnus_incana","2","4","3","1","9",2
"Betula_pubescens","9","10","7","9","14",15
"Alnus_glutinosa","3","3","2","2","11",3
"Ribes_nigrum","6","8","9","13","15",12
"Betula_pendula,pubescens","1","5","1","1","1",2
"Picea_glauca","2","7","3","2","2",4
"Picea_abies","13","17","19","5","30",29
"Betula_nana","2","4","3","2","4",2
"Salix_pulchra","1","3","1","1","1",1
"Olea_europaea","1","3","1","1","6",1
"Quercus_faginea","2","5","4","1","2",2
"Quercus_ilex","3","5","4","1","2",3
"Quercus_coccifera","1","1","2","1","1",1
"Vaccinium_corymbosum","1","1","1","1","1",1
"Malus_domestica","6","5","4","3","30",7
"Tilia_americana","1","1","3","1","5",3
"Acer_pseudoplatanus","3","5","7","1","7",4
"Aesculus_hippocastanum","3","3","5","1","7",4
"Syringa_vulgaris","3","3","5","1","5",3
"Corylus_avellana","4","4","6","1","11",5
"Fraxinus_excelsior","2","2","5","1","4",3
"Larix_decidua","4","5","7","1","7",4
"Prunus_avium","3","6","7","1","5",4
"Quercus_patraea","1","1","2","1","1",2
"Tilia_cordata","2","7","4","2","2",3
"Sorbus_aucuparia","3","4","6","1","6",4
"Abies_alba","2","2","5","1","4",3
"Quercus_petraea","2","4","5","1","4",3
"Actinidia_deliciosa","2","2","2","2","24",2
"Vitis_vinifera","3","5","23","1","36",4
"Pinus_taeda","1","1","1","2","5",3
"Salix_smithiana","1","6","2","2","1",1
"Quercus_rubra","3","5","4","1","11",3
"Acer_saccharum","3","3","3","2","13",3
"Betula_alleghaniensis","2","4","2","1","10",2
"Picea_sitchensis","1","1","1","1","1",2
"Juglans_spp","1","5","1","1","2",2
"Quercus_robur","5","12","5","1","10",4
"Betula_ermanii","1","1","1","1","21",1
"Liquidambar_styrraciflua","1","3","1","1","1",1
"Populus_grandidentata","1","3","1","1","1",1
"Betula_papyrifera","1","1","2","1","1",17
"Malus_pumila","1","4","2","1","1",1
"Pyrus_communis L.","1","4","2","1","1",3
"Prunus_insititia","1","4","2","1","1",2
"Prunus_cerasus","1","4","2","1","1",2
"Sorbus_intermedia","1","3","2","1","1",1
"Sorbus_commixta","2","4","4","1","4",2
"Rubus_idaeus","2","2","3","4","6",2
"Carpinus_betulus","3","3","7","1","7",3
"Populus_trichocarpa","1","1","8","1","1",2
"Betula_occidentalis","1","3","1","1","5",2
"Acer_tataricum","1","1","3","1","3",1
"Amorpha_fruticosa","1","1","3","1","3",1
"Cornus_alba","2","2","3","1","6",2
"Cornus_mas","2","2","3","1","4",1
"Fraxinus_chinensis","1","1","3","1","3",1
"Fraxinus_pennsylvanica","1","1","3","1","3",1
"Juglans_ailantifolia","1","1","3","1","3",1
"Juglans_cinerea","1","1","3","1","3",1
"Juglans_regia","1","1","3","1","3",1
"Pinus_nigra","1","1","3","1","3",1
"Pinus_strobus","1","1","3","1","3",1
"Pinus_sylvestris","1","1","3","1","3",1
"Pinus_wallichiana","1","1","3","1","3",1
"Prunus_serotina","1","1","3","1","3",1
"Robinia_pseudoacacia","2","2","3","1","4",1
"Abies_homolepis","1","1","3","1","3",1
"Acer_negundo","1","1","3","1","3",1
"Quercus_bicolor","1","1","3","1","3",1
"Symphoricarpos_albus","2","2","3","1","4",1
"Quercus_pubescens","1","3","1","1","1",1
"Picea_jezoensis","1","1","2","1","1",3
"Picea_pungens","1","1","2","1","1",1
"Picea_engelmannii","1","1","1","1","1",3
"Picea_glehnii","1","1","2","1","1",1
"Picea_breweriana","1","1","1","1","1",1
"Pyrus_pyrifolia","2","3","3","1","8",2
"Rhododendron_simsii","1","8","6","1","1",1
"Pieris_japonica","1","5","2","1","3",1
"Vaccinium_ashei","1","1","1","2","8",1
"Populus_deltoides","1","1","1","2","1",1
"Acer_saccharinum","1","1","1","2","3",1
"Fraxinus_americana","1","1","1","2","3",1
"Acer_barbinerve","1","1","2","1","3",1
"Acer_campestre","1","1","2","1","3",1
"Acer_ginnala","1","1","2","1","3",1
"Berberis_dielsiana","1","1","2","1","3",1
"Betula_lenta","1","1","2","1","3",1
"Betula_populifolia","1","1","2","1","3",1
"Buddleja_albiflora","1","1","2","1","3",1
"Buddleja_alternifolia","1","1","2","1","3",1
"Buddleja_davidii","1","1","2","1","3",1
"Caragana_pygmaea","1","1","2","1","3",1
"Carpinus_laxiflora","1","1","2","1","3",1
"Carpinus_monbeigiana","1","1","2","1","3",1
"Carya_cordiformis","1","1","2","1","3",1
"Carya_laciniosa","1","1","2","1","3",1
"Carya_ovata","1","1","2","1","3",1
"Castanea_sativa","1","1","2","1","3",1
"Cedrus_libani","1","1","2","1","3",1
"Salix_gracilistyla","1","1","2","1","3",1
"Acer_platanoides","1","1","2","1","3",1
"Aesculus_flava","1","1","2","1","3",1
"Aesculus_parviflora","1","1","2","1","3",1
"Alnus_maximowiczii","1","1","2","1","3",1
"Amelanchier_alnifolia","1","1","2","1","3",1
"Amelanchier_florida","1","1","2","1","3",1
"Amelanchier_laevis","1","1","2","1","3",1
"Aronia_melanocarpa","1","1","2","1","3",1
"Ulmus_laevis","1","1","2","1","3",1
"Viburnum_betulifolium","1","1","2","1","3",1
"Viburnum_buddleifolium","1","1","2","1","3",1
"Viburnum_carlesii","1","1","2","1","3",1
"Viburnum_opulus","1","1","2","1","3",1
"Viburnum_plicatum","1","1","2","1","3",1
"Weigela_coraeensis","1","1","2","1","3",1
"Weigela_florida","1","1","2","1","3",1
"Weigela_maximowiczii","1","1","2","1","3",1
"Celtis_caucasica","1","1","2","1","3",1
"Celtis_laevigata","1","1","2","1","3",1
"Celtis_occidentalis","1","1","2","1","3",1
"Cephalanthus_occidentalis","1","1","2","1","3",1
