"cat","datasetID"
"cookcronje","cook05"
"other","swartz81"
"bonhomme","charrier11"
"other","pagter15"
"other","laube14a"
"other","ashby62"
"other","basler14"
"other","basler12"
"other","thielges75"
"heide",""
"other","bernier81"
"other","biasi12"
"other","calme94"
"other","biran73"
"heide","ghelardini10"
"other","okie11"
"other","gutterman88"
"bonhomme","dantec14"
"other","boyer"
"other","bradford10"
"chuinejones","jones12"
"other","karlsson03"
"chuinejones","caffarra11a"
"chuinejones","caffarra11b"
"heide","falusi90"
"heide","falusi96"
"heide","falusi03"
"heide","falusi97"
"other","campbell75"
"other","fu13"
"other","gunderson12"
"other","cannell83"
"other","sanzperez10"
"other","sanzperez09"
"herter","chavarria09"
"chuinejones","morin10"
"cookcronje","cronje03"
"cookcronje","cook00b"
"other","spann04"
"other","devries82"
"other","hawkins12"
"other","skuterud94"
"other","spiers74"
"other","durner84"
"other","laube14b"
"hanninenh","granhus09"
"other","gomory15"
"other","guak98"
"other","runger81"
"other","nishimoto95"
"other","howe95"
"other","gianfagna85"
"other","guerriero90"
"heide","verheul07"
"hanninenh","viheraaarnio06"
"other","takimoto64"
"hanninenh","junttila12"
"hanninenh","partanen98"
"hanninenh","partanen05"
"hanninenh","rinne97"
"herter","hawerroth13"
"heide","heide12"
"heide","sonsteby06"
"heide","heide01"
"heide","myking95"
"heide","heide77"
"heide","heide08"
"heide","heide05"
"heide","heide93"
"heide","heide07"
"heide","sonsteby14"
"heide","heide03"
"heide","heide15"
"heide","heide11"
"heide","sonsteby13"
"heide","heide93a"
"hanninenh","skre08"
"hanninenh","sogaard08"
"hanninenh","rinne94"
"other","linkosalo06"
"hanninenh","partanen01"
"hanninenh","li05"
"other","man10"
"other","manson91"
"other","worrall67"
"other","nerd95"
"heide","myking97"
"heide","myking98"
"other","pop2000"
"other","ramos99"
"other","rinne94"
"other","schnabel87"
"other","smeets82"
"other","smeets80"
