"datasetID","study","mainmodel","chill.manipulated"
"basler12","exp1","yes","no"
"laube14a","exp1","yes","yes"
"zohner16","Exp1","yes","yes"
"basler14","exp1","yes","yes"
"webb78","exp2","yes","yes"
"webb78","exp1","yes","yes"
"calme94","exp1","yes","yes"
"biasi12","exp1","no","no"
"guerriero90","exp3","no","no"
"guerriero90","exp2","no","no"
"guerriero90","exp1","no","no"
"heide93","exp1","yes","yes"
"heide93","exp2","yes","yes"
"myking98","exp1","yes","yes"
"li05","exp1","yes","yes"
"rinne97","exp1","no","no"
"laube14b","exp1","yes","no"
"linkosalo06","exp1","no","no"
"myking95","exp1","yes","yes"
"skuterud94","exp1","yes","yes"
"rinne94","exp1","yes","yes"
"caffarra11a","exp3","yes","yes"
"caffarra11a","exp2","yes","no"
"caffarra11b","exp2","yes","yes"
"myking97","exp1","yes","no"
"heide93a","exp3","yes","no"
"heide93","exp3","yes","yes"
"falusi03","exp1","yes","yes"
"falusi90","exp1","yes","no"
"falusi96","exp1","no","no"
"falusi96","exp2","no","no"
"falusi96","exp3","yes","yes"
"falusi97","exp2","yes","yes"
"falusi97","exp1","yes","no"
"heide93a","exp1","yes","yes"
"heide93a","exp2","yes","no"
"gomory15","exp1","no","no"
"cook00b","exp1","no","no"
"gianfagna85","exp1","no","no"
"swartz81","exp1","no","no"
"ramos99","exp1","no","no"
"partanen01","exp1","yes","no"
"partanen98","exp1","yes","yes"
"partanen98","exp2","yes","yes"
"partanen98","exp3","yes","yes"
"worrall67","exp 3","yes","yes"
"worrall67","exp 4","yes","yes"
"man10","exp1","no","no"
"thielges75","exp1","yes","yes"
"chavarria09","exp1","no","no"
"guak98","exp1","no","no"
"campbell75","exp3","yes","yes"
"sanzperez10","exp1","no","no"
"Sanz-Perez09","exp1","yes","no"
"morin10","exp1","no","no"
"jones12","exp2","no","no"
"jones12","exp1","no","no"
"heide12","exp3","no","no"
"heide12","exp2","no","no"
"heide12","exp1","no","no"
"pagter15","exp1","no","no"
"sonsteby14","exp2","no","no"
"sonsteby14","exp3","no","no"
"sonsteby14","exp4","no","no"
"sonsteby14","exp5","no","no"
"sonsteby14","exp1","no","no"
"ghelardini10","exp1","yes","yes"
"ghelardini10","exp2","yes","yes"
"spiers74","exp2","yes","yes"
"spiers74","exp1","yes","yes"
"spann04","exp1","yes","no"
"schnabel87","exp1","no","no"
