"datasetID","study","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","chilltemp","chilldays","fieldsample.date","provenance.lat","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports","latbi","complex","force.z","photo.z","chill.z"
"basler12","exp1","Abies","alba","","yes","5","","9.5","timeonly",56.42,1345,"","","3-Mar-2009",46.2,5,9.5,5.14375,56.42,"ramped","ramped","fldest",1345,81.8044874041654,"Abies_alba",1,-1.84015559309761,-0.810875410824428,-0.113320721383578
"basler12","exp1","Abies","alba","","yes","5","","11","timeonly",52.17,1297,"","","3-Mar-2009",46.85,5,11,4.97708333333333,52.17,"ramped","ramped","fldest",1297,89.6547488698292,"Abies_alba",1,-1.84015559309761,-0.545418102445882,-0.163759660438993
"basler12","exp1","Abies","alba","","yes","5","","9.5","timeonly",59.62,1345,"","","3-Mar-2009",46.2,5,9.5,5.14375,59.62,"ramped","ramped","fldest",1345,81.8044874041654,"Abies_alba",1,-1.84015559309761,-0.810875410824428,-0.113320721383578
"basler12","exp1","Abies","alba","","yes","5","","11","timeonly",49.25,1297,"","","3-Mar-2009",46.85,5,11,4.97708333333333,49.25,"ramped","ramped","fldest",1297,89.6547488698292,"Abies_alba",1,-1.84015559309761,-0.545418102445882,-0.163759660438993
"basler12","exp1","Abies","alba","","yes","5","","9.5","timeonly",61.51,1345,"","","3-Mar-2009",46.2,5,9.5,5.14375,61.51,"ramped","ramped","fldest",1345,81.8044874041654,"Abies_alba",1,-1.84015559309761,-0.810875410824428,-0.113320721383578
"basler12","exp1","Abies","alba","","yes","5","","11","timeonly",55.09,1297,"","","3-Mar-2009",46.85,5,11,4.97708333333333,55.09,"ramped","ramped","fldest",1297,89.6547488698292,"Abies_alba",1,-1.84015559309761,-0.545418102445882,-0.163759660438993
"basler12","exp1","Abies","alba","","yes","5","","9.5","timeonly",61.6,1345,"","","3-Mar-2009",46.2,5,9.5,5.14375,61.6,"ramped","ramped","fldest",1345,81.8044874041654,"Abies_alba",1,-1.84015559309761,-0.810875410824428,-0.113320721383578
"basler12","exp1","Abies","alba","","yes","5","","11","timeonly",51.51,1297,"","","3-Mar-2009",46.85,5,11,4.97708333333333,51.51,"ramped","ramped","fldest",1297,89.6547488698292,"Abies_alba",1,-1.84015559309761,-0.545418102445882,-0.163759660438993
"laube14a","exp1","Abies","alba","","yes","7","","8","timeonly",29,2239,"","110","14-Mar-2012",48.403008,7,8,7.50625,29,"ramped","exp","fldest",2239,103.547699511753,"Abies_alba",1,-1.48807251799134,-1.07633271920297,0.601651239726928
"laube14a","exp1","Abies","alba","","yes","7","","12","timeonly",28,2239,"","110","14-Mar-2012",48.403008,7,12,7.50625,28,"ramped","exp","fldest",2239,103.547699511753,"Abies_alba",1,-1.48807251799134,-0.368446563526852,0.601651239726928
"laube14a","exp1","Abies","alba","","yes","7","","16","timeonly",29,2239,"","110","14-Mar-2012",48.403008,7,16,7.50625,29,"ramped","exp","fldest",2239,103.547699511753,"Abies_alba",1,-1.48807251799134,0.33943959214927,0.601651239726928
"laube14a","exp1","Abies","alba","","yes","7","","12","timeonly",38,1003,"","33","14-Dec-2011",48.403008,7,12,3.61875,38,"ramped","exp","fldest",1003,51.6913728053825,"Abies_alba",1,-1.48807251799134,-0.368446563526852,-0.574837013740624
"laube14a","exp1","Abies","alba","","yes","7","","16","timeonly",34,1003,"","33","14-Dec-2011",48.403008,7,16,3.61875,34,"ramped","exp","fldest",1003,51.6913728053825,"Abies_alba",1,-1.48807251799134,0.33943959214927,-0.574837013740624
"laube14a","exp1","Abies","alba","","yes","7","","8","timeonly",26,1780,"","73","30-Jan-2012",48.403008,7,8,5.82916666666667,26,"ramped","exp","fldest",1780,79.879632404017,"Abies_alba",1,-1.48807251799134,-1.07633271920297,0.0941094154818159
"laube14a","exp1","Abies","alba","","yes","7","","12","timeonly",24,1780,"","73","30-Jan-2012",48.403008,7,12,5.82916666666667,24,"ramped","exp","fldest",1780,79.879632404017,"Abies_alba",1,-1.48807251799134,-0.368446563526852,0.0941094154818159
"laube14a","exp1","Abies","alba","","yes","7","","16","timeonly",24,1780,"","73","30-Jan-2012",48.403008,7,16,5.82916666666667,24,"ramped","exp","fldest",1780,79.879632404017,"Abies_alba",1,-1.48807251799134,0.33943959214927,0.0941094154818159
"laube14a","exp1","Abies","homolepis","","yes","7","","8","timeonly",30,2239,"","110","14-Mar-2012",48.403008,7,8,7.50625,30,"ramped","exp","fldest",2239,103.547699511753,"Abies_homolepis",2,-1.48807251799134,-1.07633271920297,0.601651239726928
"laube14a","exp1","Abies","homolepis","","yes","7","","12","timeonly",28,2239,"","110","14-Mar-2012",48.403008,7,12,7.50625,28,"ramped","exp","fldest",2239,103.547699511753,"Abies_homolepis",2,-1.48807251799134,-0.368446563526852,0.601651239726928
"laube14a","exp1","Abies","homolepis","","yes","7","","16","timeonly",29,2239,"","110","14-Mar-2012",48.403008,7,16,7.50625,29,"ramped","exp","fldest",2239,103.547699511753,"Abies_homolepis",2,-1.48807251799134,0.33943959214927,0.601651239726928
"laube14a","exp1","Abies","homolepis","","yes","7","","8","timeonly",27,1780,"","73","30-Jan-2012",48.403008,7,8,5.82916666666667,27,"ramped","exp","fldest",1780,79.879632404017,"Abies_homolepis",2,-1.48807251799134,-1.07633271920297,0.0941094154818159
"laube14a","exp1","Abies","homolepis","","yes","7","","12","timeonly",27,1780,"","73","30-Jan-2012",48.403008,7,12,5.82916666666667,27,"ramped","exp","fldest",1780,79.879632404017,"Abies_homolepis",2,-1.48807251799134,-0.368446563526852,0.0941094154818159
"laube14a","exp1","Abies","homolepis","","yes","7","","16","timeonly",27,1780,"","73","30-Jan-2012",48.403008,7,16,5.82916666666667,27,"ramped","exp","fldest",1780,79.879632404017,"Abies_homolepis",2,-1.48807251799134,0.33943959214927,0.0941094154818159
"zohner16","Exp1","Acer","barbinerve","","yes","18","14","8","timeonly",21.875,989,"","","21-Dec-2013",48.16447,15.3333333333333,8,4.44791666666667,21.875,"exp","exp","fldest",989,61.1148070881309,"Acer_barbinerve",3,-0.0210597050485631,-1.07633271920297,-0.323903291939935
"zohner16","Exp1","Acer","barbinerve","","yes","18","14","8","timeonly",17.75,1831,"","","10-Feb-2014",48.16447,15.3333333333333,8,6.875,17.75,"exp","exp","fldest",1831,95.3468886724268,"Acer_barbinerve",3,-0.0210597050485631,-1.07633271920297,0.410613758054544
"zohner16","Exp1","Acer","barbinerve","","yes","18","14","16","timeonly",19.1875,989,"","","21-Dec-2013",48.16447,16.6666666666667,16,4.44791666666667,19.1875,"exp","exp","fldest",989,61.1148070881309,"Acer_barbinerve",3,0.213662345022282,0.33943959214927,-0.323903291939935
"zohner16","Exp1","Acer","barbinerve","","yes","18","14","16","timeonly",17,1831,"","","10-Feb-2014",48.16447,16.6666666666667,16,6.875,17,"exp","exp","fldest",1831,95.3468886724268,"Acer_barbinerve",3,0.213662345022282,0.33943959214927,0.410613758054544
"zohner16","Exp1","Acer","campestre","","yes","18","14","8","timeonly",47.0625,989,"","","21-Dec-2013",48.16447,15.3333333333333,8,4.44791666666667,47.0625,"exp","exp","fldest",989,61.1148070881309,"Acer_campestre",4,-0.0210597050485631,-1.07633271920297,-0.323903291939935
"zohner16","Exp1","Acer","campestre","","yes","18","14","8","timeonly",27.125,1831,"","","10-Feb-2014",48.16447,15.3333333333333,8,6.875,27.125,"exp","exp","fldest",1831,95.3468886724268,"Acer_campestre",4,-0.0210597050485631,-1.07633271920297,0.410613758054544
"zohner16","Exp1","Acer","campestre","","yes","18","14","8","timeonly",23.9375,2380,"","","21-Mar-2014",48.16447,15.3333333333333,8,9.26458333333333,23.9375,"exp","exp","fldest",2380,123.490985386386,"Acer_campestre",4,-0.0210597050485631,-1.07633271920297,1.13378204676156
"zohner16","Exp1","Acer","campestre","","yes","18","14","16","timeonly",47.3125,989,"","","21-Dec-2013",48.16447,16.6666666666667,16,4.44791666666667,47.3125,"exp","exp","fldest",989,61.1148070881309,"Acer_campestre",4,0.213662345022282,0.33943959214927,-0.323903291939935
"zohner16","Exp1","Acer","campestre","","yes","18","14","16","timeonly",29.75,1831,"","","10-Feb-2014",48.16447,16.6666666666667,16,6.875,29.75,"exp","exp","fldest",1831,95.3468886724268,"Acer_campestre",4,0.213662345022282,0.33943959214927,0.410613758054544
"zohner16","Exp1","Acer","campestre","","yes","18","14","16","timeonly",23.5625,2380,"","","21-Mar-2014",48.16447,16.6666666666667,16,9.26458333333333,23.5625,"exp","exp","fldest",2380,123.490985386386,"Acer_campestre",4,0.213662345022282,0.33943959214927,1.13378204676156
"zohner16","Exp1","Acer","ginnala","","yes","18","14","8","timeonly",25.25,989,"","","21-Dec-2013",48.16447,15.3333333333333,8,4.44791666666667,25.25,"exp","exp","fldest",989,61.1148070881309,"Acer_ginnala",5,-0.0210597050485631,-1.07633271920297,-0.323903291939935
"zohner16","Exp1","Acer","ginnala","","yes","18","14","8","timeonly",26.8125,1831,"","","10-Feb-2014",48.16447,15.3333333333333,8,6.875,26.8125,"exp","exp","fldest",1831,95.3468886724268,"Acer_ginnala",5,-0.0210597050485631,-1.07633271920297,0.410613758054544
"zohner16","Exp1","Acer","ginnala","","yes","18","14","16","timeonly",23,989,"","","21-Dec-2013",48.16447,16.6666666666667,16,4.44791666666667,23,"exp","exp","fldest",989,61.1148070881309,"Acer_ginnala",5,0.213662345022282,0.33943959214927,-0.323903291939935
